On the Underworld and the Soul
Ἀποσπάσματα
by Democritus of Abdera
eul_wid: byu-ab    eul_aid: byu

Period   Classical
Dialect  Ionic
Domain   Philosophy
Format   Collection

The work conventionally titled On the Underworld and the Soul is not a discrete, surviving text by the pre-Socratic philosopher Democritus of Abdera. It is a modern scholarly construct, a thematic compilation of his doctrines pieced together from fragmentary quotations and testimonia preserved by later ancient authors. Democritus, a prolific writer of the 5th and 4th centuries BCE and a principal architect of atomist philosophy, posited that all reality consists of indivisible particles, or atoms, moving in void space. Within this rigorously materialist system, he defined the soul as a composite of particularly fine, spherical, and mobile atoms. Consequently, his view of death entailed the dissolution of this atomic compound, precluding any form of personal immortality or a literal afterlife. References to Hades in the surviving fragments are thus generally interpreted by modern scholarship not as descriptions of a subterranean realm of the dead, but as ethical allegories for a life of moral and psychological wretchedness.

No complete work by Democritus survives. Our knowledge derives entirely from secondary sources, including over four hundred fragments and reports collected from authors such as Aristotle, Sextus Empiricus, Plutarch, and the anthologist Stobaeus. These fragments reveal a wide-ranging intellect who applied his atomic theory to ethics, advocating for a state of tranquility, or euthymia, achieved through moderation, intellectual cultivation, and freedom from irrational fears, including the terror of divine retribution after death. His physical and ethical theories were critically adopted and developed by Epicurus in the following century and were later given powerful poetic expression by Lucretius, securing Democritus's enduring influence on the history of materialist and scientific thought.

Text
----

tit,0a-4a	ΔΗΜΟΚΡΙΤΟΥ ΗΘΙΚΑ
14,1	VITRUV. IX 6, 3 de naturalibus autem rebus Thales Milesius, Anaxagoras Clazomenius, Pythagoras Samius, Xenophanes Colophonius, D. Abderites rationes, quibus eae res natura rerum gubernarentur quemadmodumcumque effectus habeant, excogitatas reliquerunt. quorum inventa secuti siderum 〈ortus〉 et occasus tempestatumque significatus Eudoxus, Euctemon, Callippus, Meto, Philippus, Hipparchus, Aratus ceterique ex astrologia parapegmatorum disciplinis invenerunt et eas posteris explicatas reliquerunt. IX 5, 4 quae figurata conformataque sunt siderum in mundo simulacra natura divinaque mente designata, ut Democrito physico placuit, exposui, sed tantum ea quorum ortus et occasus possumus animadvertere et oculis contueri.
14,2	EUDOX. Ars astron. coll. 22, 21 [p. 25 Blass] Εὐδόξωι Δημοκρίτωι χειμεριναὶ τροπαὶ ἀθὺρ ὁτὲ μὲν κ ὁτὲ δὲ ιθ . 23, 3 ἀπὸ ἰσημερίας μεθοπωρινῆς ἐπὶ χειμερινὰς τροπὰς Εὐδόξωι ἡμέραι ϙβ , Δημοκρίτωι ἡμέραι ϙα ..., ἀπὸ τροπῶν χειμερινῶν εἰς ἰσημερίαν ἐαρινὴν Εὐδόξωι καὶ Δ—ωι ἡμέραι ϙα , Εὐκτήμονι ϙβ .
14,3	[GEMIN.] Isag. p. 218, 14 Manit. ἐν δὲ τῆι δ ἡμέραι Δημοκρίτωι Πλειάδες δύνουσιν ἅμα ἠοῖ· ἄνεμοι χειμέριοι ὡς τὰ πολλὰ καὶ ψύχη ἤδη καὶ πάχνη ἐπιπνεῖν φιλε ῖ· φυλλορροεῖν ἄρχεται τὰ δένδρα μάλιστα. p. 220, 5 ἐν δὲ τῆι ιγ Δ—ωι Λύρα ἐπιτέλλει ἅμα ἡλίωι ἀνίσχοντι· καὶ ὁ ἀὴρ χειμέριος γίνεται ὡς ἐπὶ τὰ πολλά. p. 222, 9 ἐν δὲ τῆι ις Δ—ωι Ἀετὸς ἐπιτέλλει ἅμα ἡλίωι· καὶ ἐπισημαίνειν φιλεῖ βροντῆι καὶ ἀστραπῆι καὶ ὕδατι ἢ ἀνέμωι ἢ ἀμφότερα ὡς ἐπὶ τὰ πολλά. p. 224, 5 ἐν δὲ τῆι ιβ Δ—ωι νότος πνεῖ ὡς 〈ἐπὶ τὰ πολλά〉. p. 224, 22 ἐν δὲ τῆι γ Εὐκτήμονι ὑετία. Δ—ωι ἄλογχο ς, χειμών. p. 226, 4 ἐν δὲ τῆι ις Δ—ωι ζέφυρος πνεῖν ἄρχεται καὶ παραμένει. ἡμέραι γ καὶ μ ἀπὸ τροπῶν. p. 226, 15 ἐν δὲ τῆι δ Δ—ωι ποικίλαι ἡμέραι γίνονται ἁλκυονίδες καλούμεναι. p. 226, 23 ἐν δὲ τῆι ιδ Δ—ωι ἄνεμοι πνέουσι ψυχροί, οἱ ὀρνιθίαι καλούμενοι, ἡμέρας μάλιστα ἐννέα. p. 228, 23 Δ—ωι Πλειάδες κρύπτονται ἅμα ἡλίωι ἀνίσχοντι καὶ ἀφανεῖς γίνονται νύκτας μ . p. 232, 16 ἐν δὲ τῆι ι Δ—ωι ὕδωρ γίνεται. p. 232, 21 ἐν δὲ τῆι κθ Δ—ωι ἄρχεται Ὠρίων ἐπιτέλλειν καὶ φιλεῖ ἐπισημαίνειν ἐπ’ αὐτῶι.
14,4	PLIN. N. H. XVIII 231 D. talem futuram hiemem arbitratur qualis fuerit brumae dies et circa eum terni, item solstitio aestatem. (Vgl. THEOPHR. q. f. de sign. 57.) 312 dein consentiunt, quod est rarum, Philippus ... Democritu s, Eudoxus IIII Kal. Oct. [ 28. Sept.] Capellam matutino exoriri et III Kal. [ 29. Sept.] Haedos.
14,5	SCHOL. APOLL. RHOD. B 1098 [‘Ζεὺς δ’ ἀνέμου βορέαο μένος κίνησεν ἀῆναι, ὕδατι σημαίνων διερὴν ὁδὸν Ἀρκτούροιο‘] τοῦτο δὲ ἔφη, ἐπεὶ κατὰ τὴν ἐπιτολὴν τοῦ Ἀρκτούρου σφοδροὶ καταχέονται ὄμβροι, ὥς φησι Δ. ἐν τῶι Περὶ ἀστρονομίας καὶ Ἄρατος [Phaen. 745].
14,6	CLODII CALEND. in Lydus de ost. ed. Wachsm. 2 p. 157, 18 καὶ ταῦτα μὲν ὁ Κλώδιος ἐκ τῶν παρὰ Θούσκοις ἱερῶν πρὸς λέξιν· καὶ οὐκ αὐτὸς μόνος, ἀλλὰ μὴν καὶ Εὔδοξός τε ὁ πολύς, Δημόκριτος πρῶτος αὐτῶν, Βάρρων τε ὁ Ῥωμαῖος κτλ.
14,7	PTOLEM. Apparit. epileg. ebenda p. 275, 1 καὶ τούτων ἀνέγραψα τὰς ἐπισημασίας καὶ κατέταξα κατά τε Αἰγυπτίους καὶ Δοσίθεον ... Δημόκριτο ν. τούτων δὲ Αἰγύπτιοι ἐτήρησαν παρ’ ἡμῖν ... Δ. ἐν Μακεδονίαι καὶ Θράικηι. διὸ δὴ μάλιστα ἄν τις ἐφαρμόζοι τὰς μὲν τῶν Αἰγυπτίων ἐπισημασίας ταῖς περὶ τοῦτον τὸν παράλληλον χώραις, ... τὰς δὲ Δημοκρίτου ..., καθ’ ὃν ἡ μεγίστη τῶν ἡμερῶν ὡρῶν ἐστιν ἰσημερινῶν ιε . p. 213, 19 Thoth ιζ ... Δ—ωι Ἀβδηρίτηι 〈ἐπισημαίνει καὶ〉 χελιδὼν ἀφανίζεται. p. 215, 18. Thoth κθ Δ—ωι ὑετὸς καὶ ἀνέμων ἀταξία. p. 217, 12. Phaophi η Δ—ωι χειμάζει· σπόρου ὥρα. p. 220, 13. Athyr β Δ—ωι ψύχη ἢ πάχνη. p. 223, 14. Athyr ιζ Δ—ωι χειμὼν καὶ κατὰ γῆν καὶ κατὰ θάλασσαν. p. 227, 5. Choiak α Δ—ωι ὁ οὐρανὸς ταραχώδης καὶ ἡ θάλασσα ὡς τὰ πολλά. p. 229, 10. Choiak θ Δ—ωι χειμών. p. 230, 11. Choiak ιδ Δ—ωι βρονταί, ἀστραπαί, ὕδωρ, ἄνεμοι. p. 233, 8. Tybi α Δ—ωι μέγας χειμών. p. 233, 15. Tybi γ Δ—ωι ἐπισημαίνει. p. 234, 17. Tybi θ Δ—ωι νότος ὡς τὰ πολλά. p. 237, 17. Tybi κε Δ—ωι ἐφύει. p. 238, 6. Tybi κθ Δ—ωι μέγας χειμών. p. 240, 12. Mechir ιβ Δ—ωι ζέφυρος ἄρχεται πνεῖν. p. 241, 6. Mechir ιδ Δ—ωι ζέφυρος πνεῖ. p. 243, 5. Mechir λ Δ—ωι ποικίλαι ἡμέραι αἱ καλούμεναι ἁλ κυονίδε ς. p. 245, 1. Phamenoth ια Δ—ωι ἄνεμοι ψυχροί· ὀρνιθίαι ἐπὶ ἡμέρας θ . p. 246, 16. Phamenoth κβ Δ—ωι ἐπισημαίνει, ἄνεμος ψυχρός. p. 247, 18. Pharmuthi α Δ—ωι ἐπισημαίνει. p. 252, 2. Pharmuthi κθ Δ—ωι ἐπισημαίνει. p. 258, 10. Payni γ Δ—ωι ὑετία. p. 259, 9. Payni θ Δ—ωι ὕδωρ ἐπιγίνεται. p. 262, 19. Payni κη Δ—ωι ἐπισημαίνει. p. 263, 18. Epiphi δ Δ—ωι ζέφυρος καὶ ὕδωρ ἑῶιον, εἶτα βορέαι πρόδρομοι ἐπὶ ἡμέρας ζ . p. 267, 4. Epiphi κβ Δ—ωι ὕδωρ, καταιγίδες. p. 268, 21. Mesori β Δ—ωι, Ἱππάρχωι νότος καὶ καῦμα. p. 271, 22. Mesori κϛ Δ—ωι ἐπισημαίνει ὕδασι καὶ ἀνέμοις.
14,8	IOANN. LYD. de mens. IV 16ff. p. 78, 15 Wünsch Δ—ος δὲ τὸν λίβα μετὰ ὄμβρου φησὶ γίνεσθαι. p. 79, 5 Δ—ος λέγει δύεσθαι τὸν Δελφῖνα καὶ τροπὴν ὡς ἐπὶ πολὺ γίνεσθαι. p. 79, 16 Δ—ος ἄνεμον λίβα πνεῦσαι λέγει. p. 109, 3 ἐν δὲ τῆι ἡμέραι τῶν Βακχαναλίων Δ—ος δύεσθαι τοὺς Ἰχθύας λέγει. p. 159, 16 ἐν ταύτηι τῆι ἡμέραι ὁ Δ. λέγει ἐναλλαγὴν ἀνέμων συμβαίνειν καὶ βροχῆς ἐπικράτειαν. p. 163, 10 ὁ Δ—ος τοὺς Ἐρίφους ἀνίσχειν καὶ βορρᾶν πνεῖν διισχυρίζεται. p. 169, 3 ὁ Δ—ος λέγει τὸν ἥλιον 〈ἐν〉 Τοξότηι γίνεσθαι.
14a	ΑΜΙΛΛΑ ΚΛΕΨΥΔΡΑΙ [?].
14b	ΟΥΡΑΝΟΓΡΑΦΙΗ.
14c	ΓΕΩΓΡΑΦΙΗ.
15	AGATHEM. I 1. 2 εἶτα (1) Δαμάστης ὁ Σιγειεὺς [F Gr Hist. 5 T 4 I 153] τὰ πλεῖστα ἐκ τῶν Ἑκαταίου μεταγράψας Περίπλουν ἔγραψεν· ἑξῆς Δ. καὶ Εὔδοξος [fr. 1 Gisinger Στοιχεῖα VI, 10] καὶ ἄλλοι τινὲς γῆς περιόδους καὶ περίπλους ἐπραγματεύσαντο. (2) οἱ μὲν οὖν παλαιοὶ τὴν οἰκουμένην ἔγραφον στρογγύλην, μέσην δὲ κεῖσθαι τὴν Ἑλλάδα καὶ ταύτης Δελφούς· τὸν ὀμφαλὸν γὰρ ἔχειν τῆς γῆς. πρῶτος δὲ Δ. πολύπειρος ἀνὴρ συνεῖδεν, ὅτι προμήκης ἐστὶν ἡ γῆ ἡμιόλιον τὸ μῆκος τοῦ πλάτους ἔχουσα· συνήινεσε τούτωι καὶ Δικαίαρχος ὁ Περιπατητικός.
15a	ΠΟΛΟΓΡΑΦΙΗ.
15b	ΑΚΤΙΝΟΓΡΑΦΙΗ.
tit,15c-26a	ΜΟΥΣΙΚΑ
15c	ΠΕΡΙ ΡΥΘΜΩΝ ΚΑΙ ΑΡΜΟΝΙΗΣ.
16	MALLIUS THEODOR. de metr. VI 589, 20 Keil metrum dactylicum hexametrum inventum primitus ab Orpheo Critias [ 88 B 3] asserit, D. a Musaeo.
16a	ΠΕΡΙ ΠΟΙΗΣΙΟΣ.
17	CIC. de orat. II 46, 194 saepe enim audivi poetam bonum neminem (id quod a Democrito et Platone in scriptis relictum esse dicunt) sine inflammatione animorum existere posse et sine quodam adflatu quasi furoris. de divin. I 38, 80 negat enim sine furore D. quemquam poetam magnum esse posse, quod idem dicit Plato. HORAT. d. art. poet. 295 ingenium misera quia fortunatius arte credit et excludit sanos Helicone poetas Democritus etc.
18	CLEM. Strom. VI 168 [II 518, 20 St.] καὶ ὁ Δ. ὁμοίως ‘ ποιητὴς δὲ ἅσσα μὲν ἂν γράφηι με τ ’ ἐνθουσιασμοῦ καὶ ἱεροῦ πνεύματο ς , καλὰ κάρτα ἐστίν .. .‘
18a	ΠΕΡΙ ΚΑΛΛΟΣΥΝΗΣ ΕΠΕΩΝ.
18b	ΠΕΡΙ ΕΥΦΩΝΩΝ ΚΑΙ ΔΥΣΦΩΝΩΝ ΓΡΑΜΜΑΤΩΝ
19	EUSTATH. ad. Γ 1 p. 370, 15 τὸ γάμμα στοιχεῖον γέμμα φασὶν Ἴωνες καὶ μάλιστα Δ., ὃς καὶ τὸ μῦ μῶ λέγει aus Photius, dessen Glosse μῶ: τὸ μῦ στοιχεῖον Δ. erhalten ist.
20	SCHOL. DIONYS. THRAC. p. 184, 3ff. Hilg. τὰ ὀνόματα τῶν στοιχείων ἄκλιτά εἰσιν ... παρὰ Δημοκρίτωι δὲ κλίνονται· λέγει γὰρ δέλτατος καὶ θήτατο ς.
20a	ΠΕΡΙ ΟΜΗΡΟΥ ἢ ΟΡΘΟΕΠΕΙΗΣ ΚΑΙ ΓΛΩΣΣΕΩΝ.
21	DIO 36, 1 [II 109, 21 Arnim] ὁ μὲν Δ. περὶ Ὁμήρου φησὶν οὕτως· Ὅμηρος φύσεως λαχὼν θεαζούσης ἐπέων κόσμον ἐτεκτήνατο παντοίων ‘, ὡς οὐκ ἐνὸν ἄνευ θείας καὶ δαιμονίας φύσεως οὕτως καλὰ καὶ σοφὰ ἔπη ἐργάσασθαι.
22	PORPHYR. Quaest. hom. I 274, 9 Schrad. [zu Φ 252] οἱ δὲ κατεψεύσαντο τοῦ ποιητοῦ ὡς ‘ μελανόστου ‘ (statt μέλανος τοῦ) ὑφ’ ἓν ὡς Ὀρέστου εἰρηκότος διὰ τὸ καὶ Δημόκριτον ἱστορεῖν ἐπὶ τοῦ ἀετοῦ τὰ ὀστᾶ μέλανα εἶναι καταψευδόμενοι τῆς ἀληθείας.
23	SCHOL. HOM. Α Zu H 390 τὸ ‘ὡς πρὶν ὤφελλ’ ἀπολέσθαι‘ εἴτε καὶ τοῖς Ἕλλησιν εἰς ἐπήκοον λέγει ὁ κῆρυξ πρὸς τὸ συγγνωμονεῖν τοῖς ἄλλοις Τρωσὶν ὡς καὶ αὐτοῖς ὀργιζομένοις, εἴτε καθ’ ἑαυτὸν καὶ ἠρέμα, ὡς Δ. ἀξιοῖ ἀπρεπὲς ἡγησάμενος τὸ φανερῶς λέγεσθαι, ἀμφότερα προστικτέον.
24	EUSTATH. Zu ο 376 p. 1784 ἰστέον δὲ ὅτι ἐς τοσοῦτον ἠξιώθη λόγου τοῖς παλαιοῖς ὁ εὐνοϊκὸς οὗτος δοῦλος Εὔμαιο ς, ὥστε καὶ μητέρα αὐτοῦ ἐξευρίσκουσι. Δ. μὲν Πενίαν, Εὐφορίων δὲ Πάνθειαν, Φιλόξενος δὲ ὁ Σιδώνιος Δανάην.
25	—Zu μ 62 p. 1713 ἄλλοι δὲ Δία μὲν νοοῦσι τὸν ἥλιον ..., ἀμβροσίαν δὲ τὰς ἀτμίδας αἷς ὁ ἥλιος τρέφεται, καθὰ δοξάζει καὶ Δ.
26	PROCL. in Crat. 16 p. 5, 25 Pasqu. ὅτι τῆς Κρατύλου δόξης γέγονε Πυθαγόρας τε καὶ Ἐπίκουρος, Δ. δὲ καὶ Ἀριστοτέλης τῆς Ἑρμογένους ... p. 6, 10 διὰ δὲ τοῦ θεμένου τὰ ὀνόματα τὴν ψυχὴν ἠινίττετο, ἥτις ἀπὸ νοῦ μὲν ὑπέστη· καὶ αὐτὰ μὲν τὰ πράγματα οὐκ ἔστιν ὥσπερ ὁ νοῦς πρώτως, ἔχει δ’ αὐτῶν εἰκόνας καὶ λόγους οὐσιώδεις διεξοδικοὺς οἷον ἀγάλματα τῶν ὄντων ὥσπερ τὰ ὀνόματα ἀπομιμούμενα τὰ νοερὰ εἴδη, τοὺς ἀριθμούς· τὸ μὲν οὖν εἶναι πᾶσιν ἀπὸ νοῦ τοῦ ἑαυτὸν γινώσκοντος καὶ σοφοῦ, τὸ δ’ ὀνομάζεσθαι ἀπὸ ψυχῆς τῆς νοῦν μιμουμένης. οὐκ ἄρα, φησὶ Πυθαγόρας, τοῦ τυχόντος ἐστὶ τὸ ὀνοματουργεῖν, ἀλλὰ τοῦ τὸν νοῦν ὁρῶντος καὶ τὴν φύσιν τῶν ὄντων· φύσει ἄρα τὰ ὀνόματα. ὁ δὲ Δ. θέσει λέγων τὰ ὀνόματα διὰ τεσσάρων ἐπιχειρημάτων τοῦτο κατεσκεύαζεν· ἐκ τῆς ὁμωνυμίας· τὰ γὰρ διάφορα πράγματα τῶι αὐτῶι καλοῦνται ὀνόματι· οὐκ ἄρα φύσει τὸ ὄνομα· καὶ ἐκ τῆς πολυωνυμίας· εἰ γὰρ τὰ διάφορα ὀνόματα ἐπὶ τὸ αὐτὸ καὶ ἓν πρᾶγμα ἐφαρμόσουσιν, καὶ ἐπάλληλα, ὅπερ ἀδύνατον· τρίτον ἐκ τῆς τῶν ὀνομάτων μεταθέσεως. διὰ τί γὰρ τὸν Ἀριστοκλέα μὲν Πλάτωνα, τὸν δὲ Τύρταμον Θεόφραστον μετωνομάσαμεν, εἰ φύσει τὰ ὀνόματα; ἐκ δὲ τῆς τῶν ὁμοίων ἐλλείψεως· διὰ τί ἀπὸ μὲν τῆς φρονήσεως λέγομεν φρονεῖν, ἀπὸ δὲ τῆς δικαιοσύνης οὐκέτι παρονομάζομεν; τύχηι ἄρα καὶ οὐ φύσει τὰ ὀνόματα. καλεῖ δὲ ὁ αὐτὸς τὸ μὲν πρῶτον ἐπιχείρημα πολύσημο ν, τὸ δὲ δεύτερον ἰσόρροπο ν, 〈τὸ δὲ τρίτον μετώνυμον 〉, τὸ δὲ τέταρτον νώνυμο ν.
26a	ΟΝΟΜΑΣΤΙΚΩΝ.
tit,26b-28c	ΤΕΧΝΙΚΑ
26b	ΠΡΟΓΝΩΣΙΣ
26c (tit)	ΠΕΡΙ ΔΙΑΙΤΗΣ ἢ ΔΙΑΙΤΗΤΙΚΟΝ. Vgl. Hipp. Περὶ διαίτης Anf. [VI 466 L.] εἰ μέν μοί τις ἐδόκει τῶν πρότερον συγγραψάντων περὶ διαίτης ἀνθρωπίνης τῆς πρὸς ὑγίειαν ὀρθῶς ἐγνωκὼς συγγεγραφέναι πάντα διὰ παντὸς ... ἱκανῶς ἂν εἶχέ μοι ... τούτοισι χρέεσθαι ... νῦν δὲ πολλοὶ μὲν ἤδη συνέγραψαν κτλ.
26d	ΙΗΤΡΙΚΗ ΓΝΩΜΗ.
26e	ΑΙΤΙΑΙ ΠΕΡΙ ΑΚΑΙΡΙΩΝ ΚΑΙ ΕΠΙΚΑΙΡΙΩΝ.
26f	ΠΕΡΙ ΓΕΩΡΓΙΗΣ ἢ ΓΕΩΡΓΙΚΟΝ (ΓΕΩΡΓΙΚΑ). VARRO de r. rust. I 1, 8 [47 B 8]. COLUMELLA de r. rust. I praef. 32 accedit huc quod illi, quem nos perfectum esse volumus agricolam, si quidem artis consummatae sit et in universa rerum natura sagacitatem Democriti vel Pythagorae fuerit consecutus ..., ... profecerit, si ...
27	COLUM. III 12, 5 status caeli, cuius regionem quam spectare debeant vineae vetus est dissensio ... Democrito et Magone laudantibus caeli plagam septentrionalem, quia existiment ei subiectas feracissimas fieri vineas, quae tamen bonitate vini superentur.
27a	—IX 14, 6 progenerari posse apes iuvenco perempto Democritus et Mago nec minus Vergilius prodiderunt.
28	COLUM. XI 3, 2 Democritus in eo libro quem Georgicon appellavit parum prudenter censet eos facere, qui hortis exstruant munimenta, quod neque latere fabricata maceries perennare possit pluviis ac tempestatibus plerumque infestata, eque lapide supra rei dignitatem poscat inpensa;; si vero amplum modum sepire quis velit, patrimonio esse opus.
28a	ΠΕΡΙ ΖΩΓΡΑΦΙΗΣ.
28b	ΤΑΚΤΙΚΟΝ.
28c	ΟΠΛΟΜΑΧΙΚΟΝ.
29	APOLLON. Cit. in Hipp. p. 6, 29 Schöne ταύτης δὲ τῆς ἐμβολῆς τὴν ἰσχυροτάτην ἀνάγκην περιεχούσης ὁ Βακχεῖος τὴν ἐπὶ τοῦ μοχλοειδοῦς ξύλου λεγομένην ἄμβην ἐν τοῖς Περὶ τῶν Ἱπποκρατείων λέξεων ἐξηγεῖται, ὅτι ‘ἐν ταῖς λέξεσιν ἀναγέγραπται, ὡς Ῥόδιοι ἄμβωνας καλοῦσι τοὺς τῶν ὀρῶν λόφους καὶ καθόλου τὰς προσαναβάσεισ‘. καὶ διὰ τούτων φησὶν πάλιν· ‘ἀναγέγραπται δὲ καὶ ὡς ὁ Δ. εἴη καλῶν τῆς ἴτυος τὴν τῶι κοίλωι περικειμένην ὀφρὺν ἄμβην‘.
29a	APOLL. DYSC. de pron. p. 92, 20 Schn. αἱ πληθυντικαὶ καὶ κοινολεκτοῦνται κατ’ εὐθεῖαν πρός τε Ἰώνων καὶ Ἀττικῶν ἡμεῖ ς , ὑμεῖ ς , σφεῖ ς, ἔστιν 〈δὲ〉 πιστώσασθαι καὶ τὸ ἀδιαίρετον τῆς εὐθείας παρ’ Ἴωσιν ἐκ τῶν περὶ Δημόκριτον, Φερεκύδην [7 B 11], Ἑκαταῖον [FGrHist. 1 F 360 I 45].
30	CLEM. Protr. 68 (I 52, 16 St.). Strom. V 103 (II 394, 21). τῶν λογίων ἀνθρώπων ὀλίγοι ἀνατείναντες τὰς χεῖρας ἐνταῦθ α , ὃν νῦν ἠέρα καλέομεν οἱ Ἕλληνε ς · ‘ πάντ α , 〈εἶπαν 〉 , Ζεὺς μυθέεται (? ) καὶ πάν θ ’ οὗτος οἶδε καὶ διδοῖ καὶ ἀφαιρέεται καὶ βασιλεὺς οὗτος τῶν πάντων ‘ .
31	CLE M . Pae d . I 6 ( I 9 3 , 15 Stäh l. ) ἰατρικὴ μὲν γὰρ κατὰ Δημόκριτον σώματος νόσους ἀκέετα ι , σοφίη δὲ ψυχὴν παθῶν ἀφαιρεῖτα ι.
32	— —94 (I 214, 9 St.) Hipp. Ref. VIII 14 (p. 234, 5 W.). STOB. III 6, 28. ξυνουσίη ἀποπληξίη σμικρ ή · ἐξέσσυται γὰρ ἄνθρωπος ἐξ ἀνθρώπου καὶ ἀποσπᾶται πληγῆι τινι μεριζόμενο ς.
33	CLEM. Strom. IV 151 (II 314, 12 St.) STOB. II 31, 65 [II 213, 1 W.]. ἡ φύσις καὶ ἡ διδαχὴ παραπλήσιόν ἐστ ι . καὶ γὰρ ἡ διδαχὴ μεταρυσμοῖ τὸν ἄνθρωπο ν , μεταρυσμοῦσα δὲ φυσιοποιε ῖ.
34	DAVID Prol. 38, 14 Busse καὶ ὥσπερ ἐν τῶι παντὶ ὁρῶμεν τὰ μὲν μόνως ἄρχοντα οἷον τὰ θεῖα, τὰ δὲ καὶ ἄρχοντα καὶ ἀρχόμενα οἷον τὰ ἀνθρώπεια (ταῦτα γὰρ καὶ ἄρχονται ἐκ τῶν θείων καὶ ἄρχουσι τῶν ἀλόγων ζώιων), τὰ δὲ μόνως ἀρχόμενα ὡς τὰ ἄλογα ζῶια, τὸν αὐτὸν τρόπον καὶ ἐν τῶι ἀνθρώπωι μικρῶι κόσμωι ὄντι κατὰ τὸν Δημόκριτον ταῦτα θεωροῦνται. καὶ τὰ μὲν μόνως ἄρχουσιν, ὥσπερ ὁ λόγος, τὰ δὲ καὶ ἄρχονται καὶ ἄρχουσιν ὡς ὁ θυμός ... τὰ δὲ μόνως ἄρχονται ὥσπερ ἡ ἐπιθυμία. GAL. de usu partt. III 10 (III 241 K., I 177, 10 Helmr.) ἀλλὰ καὶ τὸ ζῶιον οἷον μικρόν τινα κόσμον εἶναί φασιν ἄνδρες παλαιοὶ περὶ φύσιν ἱκανοί.
tit,35-115	ΔΗΜΟΚΡΑΤΟΥΣ ΓΝΩΜΑΙ
35	DEMOKRATES 1. γνωμέων μευ τῶνδε εἴ τις ἐπαΐοι ξὺν νόω ι , πολλὰ μὲν ἕρξει πράγμα τ ’ ἀνδρὸς ἀγαθοῦ ἄξι α , πολλὰ δὲ φλαῦρα οὐχ ἕρξε ι.
36	DEMOKRATES 2. ψυχῆς .. . τίθησιν [STOB. III 1, 27; s. B 187].
37	—3. ὁ τὰ ψυχῆς ἀγαθὰ αἱρεόμενος τὰ θειότερα αἱρέετα ι · ὁ δὲ τὰ σκήνεος τὰ ἀνθρωπήϊ α .
38	— 4 . καλὸν μὲν τὸν ἀδικέοντα κωλύει ν · εἰ δὲ μ ή , μὴ ξυναδικέει ν.
39	—5. ἀγαθὸν ἢ εἶναι χρεὼν ἢ μιμεῖσθαι [Stob. III 37, 25].
40	—6. οὔτε σώμασιν οὔτε χρήμασιν εὐδαιμονοῦσιν ἄνθρωπο ι , ἀλ λ ’ ὀρθοσύνηι καὶ πολυφροσύνη ι.
41	—7. μὴ διὰ φόβο ν , ἀλλὰ διὰ τὸ δέον ἀπέχεσθαι ἁμαρτημάτων [Stob. III 1, 95]
42	—8. μέγα τὸ ἐν ξυμφορῆισι φρονεῖν ἃ δεῖ [Stob. IV 44, 68].
43	—9. μεταμέλεια ἐ π ’ αἰσχροῖσιν ἔργμασι βίου σωτηρί η.
44	—10. ἀληθόμυθον χρὴ εἶνα ι , οὐ πολύλογον [Stob. III 12, 13].
45	DEMOKRAT. 11. ὁ ἀδικῶν τοῦ ἀδικουμένου κακοδαιμονέστερο ς.
46	—12. μεγαλοψυχίη τὸ φέρειν πραέως πλημμέλειαν [Stob. IV 44, 69].
47	—13. νόμωι καὶ ἄρχοντι καὶ τῶι σοφωτέρωι εἴκειν κόσμιον [Stob. III 1, 45].
48	—14. μωμεομένων φλαύρων ὁ ἀγαθὸς οὐ ποιεῖται λόγον [Stob. III 38, 46].
49	—15. χαλεπὸν ἄρχεσθαι ὑπὸ χερείονος [Stob. IV 4, 27].
50	—16. ὁ χρημάτων παντελῶς ἥσσων οὐκ ἄν ποτε εἴη δίκαιο ς.
51	—17. ἰσχυρότερος ἐς πειθὼ λόγος πολλαχῆι γίνεται χρυσοῦ [Stob. II 4, 12].
52	—18. τὸν οἰόμενον νοῦν ἔχειν ὁ νουθετέων ματαιοπονεῖ [Stob. III 10, 42].
53	—19. πολλοὶ λόγον μὴ μαθόντες ζῶσι κατὰ λόγο ν.
53a	—. πολλοὶ δρῶντες τὰ αἴσχιστα λόγους ἀρίστους ἀσκέουσιν [Stob. II 15, 33].
54	—20. οἱ ἀξύνετοι δυστυχέοντες σωφρονέουσ ι .
55	—21. ἔργα καὶ πρήξιας ἀρετῆ ς , οὐ λόγου ς , ζηλοῦν χρειών [Stob. II 15, 36].
56	—22. τὰ καλὰ γνωρίζουσι καὶ ζηλοῦσιν οἱ εὐφυέες πρὸς αὐτ ά.
57	—23. κτηνέων μὲν εὐγένεια ἡ τοῦ σκήνεος εὐσθένει α , ἀνθρώπων δὲ ἡ τοῦ ἤθεος εὐτροπίη [Stob. IV 29, 18].
58	—23a. ἐλπίδες αἱ τῶν ὀρθὰ φρονεόντων ἐφικτα ί , αἱ δὲ τῶν ἀξυνέτων ἀδύνατοι [Stob. IV 46, 18].
59	—24. οὔτε τέχνη οὔτε σοφίη ἐφικτό ν , ἢν μὴ μάθηι τις [Stob. II 31, 71].
60	DEMOKRAT. 25. κρέσσον τὰ οἰκήϊα ἐλέγχειν ἁμαρτήματα ἢ τὰ ὀθνεῖα [Stob. III 13, 46].
