Fragments on Exile and Lineage
Ἀποσπάσματα περὶ Φυγῆς καὶ Γένους
by Euripides
eul_wid: cbm-am    eul_aid: cbm

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The title "Fragments on Exile and Lineage" refers not to an ancient work by Euripides but to a modern scholarly compilation of passages from his lost dramas, thematically united by their exploration of displacement and ancestry. Euripides, the Athenian tragedian of the fifth century BCE, wrote numerous plays, of which only a fraction survive complete. The majority are known only through fragments, and the twin themes of exile and lineage recur with striking frequency across both his extant and fragmentary output. These fragments are preserved through quotations by later Greek and Roman authors, papyrus discoveries, and entries in ancient library catalogs. A modern collection organized under this title would constitute an editorial synthesis drawn from these disparate sources.

The content of such a compilation would center on fundamental Euripidean preoccupations. Exile is portrayed as a profound psychological and political catastrophe, often explored through the plight of refugees, suppliants, and outcasts. Lineage, or the claims of noble birth, is frequently subjected to critical scrutiny, with dramatic situations emphasizing the conflict between inherited status and demonstrated personal virtue. Characters of disputed or obscured parentage are common, serving to question aristocratic privilege. These themes converge in a deeper exploration of identity, examining how the self is constructed or shattered when traditional ties of family and city are broken, and probing the tension between innate human nature and social convention.

Euripides’ treatment of these subjects constituted a critical interrogation of the social and political foundations of Classical Athens. His psychologically complex portraits of displacement and his destabilization of traditional aristocratic values exerted a profound influence on later Hellenistic and Roman drama. Furthermore, his sententious and philosophically charged verses on these topics were extensively quoted and debated by subsequent philosophers, rhetoricians, and moralists, securing his legacy as a pivotal and provocative voice in the ancient literary tradition.

Text
----

book 1.1	ποίαν
book 324.1	ὦ χρυσέ, δεξίωμα κάλλιστον βροτοῖς, ὡς οὔτε μήτηρ ἡδονὰς
book 324.2	τοίας ἔχει, οὐ παῖδες ἀνθρώποισιν, οὐ φίλος
book 324.3	πατήρ, οἵας σὺ χοἱ σὲ δώμασιν κεκτημένοι.[ln_5]εἰ δ’ ἡ Κύπρις
book 324.4	τοιοῦτον ὀφθαλμοῖς ὁρᾷ, οὐ θαῦμ’ ἔρωτας μυρίους αὐτὴν
book 324.5	τρέφειν.
book 325.1	κρείσσων γὰρ οὔτις
book 325.2	χρημάτων πέφυκ’ ἀνήρ, πλὴν εἴ τις· ὅστις δ’ οὗτός ἐστιν οὐχ ὁρῶ.
book 326.1	ἆρ’ οἶσθ’ ὁθούνεχ’ οἱ μὲν εὐγενεῖς βροτῶν πένητες ὄντες οὐδὲν ἀλφάνους’ ἔτι, οἳ δ’ οὐδὲν ἦσαν
book 326.2	πρόσθεν, ὄλβιοι δὲ νῦν, δόξαν φέρονται
book 326.3	τοῦ νομίσματος χάριν[ln_5]καὶ συμπλέκοντες
book 326.4	σπέρμα καὶ γάμους τέκνων; δοῦναι δὲ πᾶς
book 326.5	τις μᾶλλον ὀλβίῳ κακῷ πρόθυμός ἐστιν ἢ πένητι κἀγαθῷ. κακὸς δ’ ὁ μὴ ἔχων, οἱ δ’ ἔχοντες ὄλβιοι.
book 327.1	φιλοῦσι γάρ
book 327.2	τοι τῶν μὲν ὀλβίων βροτοὶ σοφοὺς τίθεσθαι
book 327.3	τοὺς λόγους, ὅταν δέ τις λειτῶν ἀπ’ οἴκων εὖ λέγῃ πένης ἀνήρ, γελᾶν· ἐγὼ δὲ πολλάκις
book 327.4	σοφωτέρους[ln_5]πένητας ἄνδρας εἰσορῶ τῶν
book 327.5	πλουσίων καὶ 〈τοὺσ〉 θεοῖσι μικρὰ θύοντας τέλη τῶν βουθυτούντων ὄντας εὐσεβεστέρους.
book 328.1	ὅστις δόμους μὲν ἥδεται
book 328.2	πληρουμένους, γαστρὸς δ’ ἀφαιρῶν σῶμα δύστηνος κακοῖ, τοῦτον νομίζω κἂν θεῶν
book 328.3	συλᾶν βρέτη
book 328.4	τοῖς
book 328.5	φιλτάτοις
book 328.6	τε πολέμιον
book 328.7	πεφυκέναι.
book 329.1	φεῦ, τοῖσι γενναίοισιν ὡς ἁπανταχοῦ πρέπει
book 329.2	χαρακτὴρ
book 329.3	χρηστὸς εἰς εὐψυχίαν.
book 330.1	ἐς
book 330.2	ταὐτὸν ἥκειν
book 330.3	φημὶ ταῖς βροτῶν τύχαις τόνδ’ ὃν καλοῦσιν αἰθέρ’, ᾧ τάδ’ ἔστι δή. οὗτος θέρους
book 330.4	τε λαμπρὸν ἐκπέμπει σέλας, χειμῶνά τ’ αὔξει
book 330.5	συντιθεὶς
book 330.6	πυκνὸν νέφος,[ln_5]θάλλειν
book 330.7	τε καὶ μή, ζῆν
book 330.8	τε καὶ φθίνειν
book 330.9	ποεῖ· οὕτω δὲ θνητῶν
book 330.10	σπέρμα τῶν μὲν εὐτυχεῖ λαμπρᾷ γαλήνῃ, τῶν δὲ συννέφει πάλιν, ζῶσίν
book 330.11	τε σὺν κακοῖσιν, οἳ δ’ ὄλβου μέτα
book 330.12	φθίνους’ ἐτείοις
book 330.13	προσφερεῖς μεταλλαγαῖς.
book 331.1	φίλος γὰρ ἦν μοι, καί μ’ ἔρως ἕλοι
book 331.2	ποτὲ οὐκ εἰς τὸ μῶρον οὐδέ μ’ εἰς Κύπριν
book 331.3	τρέπων.
book 332.1	δοκεῖς τὸν Ἅιδην σῶν
book 332.2	τι φροντίζειν γόων καὶ παῖδ’ ἀνήσειν τὸν σόν, εἰ θέλοις
book 332.3	στένειν; παῦσαι· βλέπουσα δ’ εἰς τὰ τῶν πέλας κακὰ ῥᾴων γένοι’ ἄν, εἰ λογίζεσθαι θέλοις[ln_5]ὅσοι
book 332.4	τε δεσμοῖς ἐκμεμόχθηνται βροτῶν ὅσοι
book 332.5	τε γηράσκουσιν ὀρφανοὶ τέκνων, τοὺς δ’ ἐκ μέγιστον ὀλβίας
book 332.6	τυραννίδος τὸ μηδὲν ὄντας· ταῦτά σε
book 332.7	σκοπεῖν
book 332.8	χρεών.
book 333.1	φεῦ φεῦ, παλαιὸς αἶνος ὡς καλῶς ἔχει· οὐκ ἂν γένοιτο
book 333.2	χρηστὸς ἐκ κακοῦ πατρός.
book 334.1	πολλοῖς
book 334.2	παρέστην κἀφθόνησα δὴ βροτῶν ὅστις κακοῖσιν ἐσθλὸς ὢν ὅμοιος ᾖ, λόγων ματαίων εἰς ἅμιλλαν ἐξιών. τὸ δ’ ἦν ἄρ’ οὐκ ἀκουστὸν οὐδ’ ἀνασχετόν,[ln_5]σιγᾶν κλύοντα δεινὰ πρὸς κακιόνων.
book 335.1	τυραννικόν
book 335.2	τοι πόλλ’ ἐπίστασθαι λέγειν.
book 336.1	εἰς δ’ εὐγένειαν ὀλίγ’ ἔχω
book 336.2	φράσαι καλά· ὁ μὲν γὰρ ἐσθλὸς εὐγενὴς ἔμοιγ’ ἀνήρ, ὁ δ’ οὐ δίκαιος κἂν ἀμείνονος
book 336.3	πατρὸς Ζηνὸς
book 336.4	πεφύκῃ, δυσγενὴς εἶναι δοκεῖ.
book 337	μὴ νεῖκος, ὦ γεραιέ, κοιράνοις τίθου· σέβειν δὲ τοὺς κρατοῦντας ἀρχαῖος νόμος.
book 338.1	ὄντων δὲ παίδων καὶ πεφυκότος γένους καινοὺς
book 338.2	φυτεῦσαι
book 338.3	παῖδας ἐν δόμοις θέλεις, ἔχθραν μεγίστην
book 338.4	σοῖσι
book 338.5	συμβάλλων τέκνοις.
book 339.1	πατέρα
book 339.2	τε παισὶν ἡδέως
book 339.3	συνεκφέρειν φίλους ἔρωτας ἐκβαλόντ’ αὐθαδίαν, παῖδάς
book 339.4	τε πατρί· καὶ γὰρ οὐκ αὐθαίρετοι βροτοῖς ἔρωτες οὐδ’ ἑκουσία νόσος.[ln_5]σκαιόν
book 339.5	τι δὴ τὸ χρῆμα γίγνεσθαι
book 339.6	φιλεῖ, θεῶν ἀνάγκας ὅστις ἰᾶσθαι θέλει.
book 340.1	Κύπρις γὰρ οὐδὲν νουθετουμένη
book 340.2	χαλᾷ, ἤν τ’ αὖ βιάζῃ, μᾶλλον ἐντείνειν
book 340.3	φιλεῖ, κἄπειτα τίκτει πόλεμον· εἰς δ’ ἀνάστασιν δόμων
book 340.4	περαίνει
book 340.5	πολλάκις τὰ τοιάδε.
book 341.1	μή μοί ποτ’ εἴη
book 341.2	χρημάτων νικωμένῳ κακῷ γενέσθαι, μηδ’ ὁμιλοίην κακοῖς.
book 342.1	.. τί μ’ ἄρτι
book 342.2	πημάτων λελησμένην ὀρθοῖς;
book 343	θάρσει· τό τοι δίκαιον ἰσχύει μέγα.
book 344.1	νέος, πόνοις δέ γ’ οὐκ ἀγύμναστος
book 344.2	φρένας.
book 345.1	ἐγὼ νομίζω
book 345.2	πατρὶ φίλτατον τέκνα
book 345.3	παισίν
book 345.4	τε τοὺς
book 345.5	τεκόντας, οὐδὲ συμμάχους ἄλλους γενέσθαι φήμ’ ἂν ἐνδικωτέρους.
book 346.1	εἷς γάρ
book 346.2	τις ἔστι κοινὸς ἀνθρώποις νόμος καὶ θεοῖσι
book 346.3	τοῦτο δόξαν, ὡς
book 346.4	σαφῶς λέγω, θηρσίν
book 346.5	τε πᾶσι, τέκνα τίκτουσιν
book 346.6	φιλεῖν· τὰ δ’ ἄλλα
book 346.7	χωρὶς
book 346.8	χρώμεθ’ ἀλλήλων νόμοις.
book 347.1	εἰ δ’ ἦσθα μὴ κάκιστος, οὔποτ’ ἂν πάτραν τὴν σὴν ἀτίζων τήνδ’ ἂν ηὐλόγεις πόλιν· ὡς ἔν γ’ ἐμοὶ κρίνοιτ’ ἂν οὐ καλῶς
book 347.2	φρονεῖν ὅστις
book 347.3	πατρῴας γῆς ἀτιμάζων ὅρους[ln_5]ἄλλην ἐπαινεῖ καὶ τρόποισιν ἥδεται.
book 348	ἁζοίμην
book 349	Αἰθιοπίαν νιν ἐξέσῳς’ ἐπὶ χθόνα
book 350.1	καί μοι, πολὺν γὰρ πέλανον ἐκπέμπεις δόμων, φράσον
book 350.2	σελήνας τάσδε
book 350.3	πυρίνου
book 350.4	χλόης
book 351	ὀλολύζετ’, ὦ γυναῖκες, ὡς ἔλθῃ θεὰ χρυσῆν ἔχουσα Γοργόν’ ἐπίκουρος πόλει.
book 352.1	ὡς σὺν θεοῖσι
book 352.2	τοὺς
book 352.3	σοφοὺς κινεῖν δόρυ
book 352.4	στρατηλάτας
book 352.5	χρή, τῶν θεῶν δὲ μὴ βίᾳ.
book 353.1	οὐδεὶς
book 353.2	στρατεύσας ἄδικα σῶς ἦλθεν πάλιν.
book 354.1	τὰς οὐσίας γὰρ μᾶλλον ἢ τὰς ἁρπαγὰς
book 354.2	τιμᾶν δίκαιον· οὔτε γὰρ
book 354.3	πλοῦτός
book 354.4	ποτε βέβαιος ἄδικος
book 355.1	ναῦς ἡ μεγίστη κρεῖσσον ἢ μικρὸν
book 355.2	σκάφος.
book 356	ὀλίγους ἐπαινῶ μᾶλλον ἢ πολλοὺς κακούς.
book 357.1	ζεῦγος
book 357.2	τριπάρθενον
book 358.1	οὐκ ἔστι μητρὸς οὐδὲν ἥδιον τέκνοις· ἐρᾶτε μητρός, παῖδες, ὡς οὐκ ἔστ’ ἔρως
book 358.2	τοιοῦτος ἄλλος ὅστις ἡδίων ἐρᾶν.
book 359.1	θετῶν δὲ παίδων
book 359.2	ποῦ κράτος; τὰ φύντα γὰρ κρείσσω νομίζειν τῶν δοκημάτων
book 359.3	χρεών.
book 360.1	τὰς χάριτας ὅστις εὐγενῶς
book 360.2	χαρίζεται, ἥδιον ἐν βροτοῖσιν· οἳ δὲ δρῶσι μέν, χρόνῳ δὲ δρῶσι, δυσγενέστερον .. ἐγὼ δὲ δώσω
book 360.3	παῖδα τὴν ἐμὴν κτανεῖν.[ln_5]λογίζομαι δὲ πολλὰ πρῶτα μὲν πόλιν οὐκ ἄν
book 360.4	τιν’ ἄλλην τῆσδε βελτίω λαβεῖν· ᾗ πρῶτα μὲν λεὼς οὐκ ἐπακτὸς ἄλλοθεν, αὐτόχθονες δ’ ἔφυμεν· αἱ δ’ ἄλλαι πόλεις
book 360.5	πεσσῶν ὁμοίως διαφοραῖς ἐκτισμέναι[ln_10]ἄλλαι
book 360.6	παρ’ ἄλλων εἰσὶν εἰσαγώγιμοι. ὅστις δ’ ἀπ’ ἄλλης πόλεος οἰκήσῃ πόλιν, ἁρμὸς
book 360.7	πονηρὸς ὥσπερ ἐν ξύλῳ παγείς, λόγῳ πολίτης ἐστί, τοῖς δ’ ἔργοισιν οὔ. ἔπειτα τέκνα
book 360.8	τοῦδ’ ἕκατι τίκτομεν,
book 360.1	[ln_15]ὡς θεῶν
book 360.2	τε βωμοὺς
book 360.3	πατρίδα
book 360.4	τε ῥυώμεθα. πόλεως δ’ ἁπάσης
book 360.5	τοὔνομ’ ἕν, πολλοὶ δέ νιν ναίουσι· τούτους πῶς διαφθεῖραί με
book 360.6	χρή, ἐξὸν
book 360.7	προπάντων μίαν ὑπερδοῦναι θανεῖν; εἴπερ γὰρ ἀριθμὸν οἶδα καὶ τοὐλάσσονος[ln_20]τὸ μεῖζον, οὑνὸς οἶκος οὐ πλέον
book 360.8	σθένει
book 360.9	πταίσας ἁπάσης πόλεος οὐδ’ ἴσον φέρει. εἰ δ’ ἦν ἐν οἴκοις ἀντὶ θηλειῶν
book 360.10	στάχυς ἄρσην, πόλιν δὲ πολεμία κατεῖχε
book 360.11	φλόξ, οὐκ ἄν νιν ἐξέπεμπον εἰς μάχην δορός,[ln_25]θάνατον
book 360.12	προταρβοῦς’; ἀλλ’ ἔμοιγ’ εἴη τέκνα 〈ἃ〉 καὶ μάχοιτο καὶ μετ’ ἀνδράσιν
book 360.13	πρέποι,
book 360.1	μὴ σχήματ’ ἄλλως ἐν πόλει
book 360.2	πεφυκότα. τὰ μητέρων δὲ δάκρυ’ ὅταν πέμπῃ τέκνα, πολλοὺς ἐθήλυν’ εἰς μάχην ὁρμωμένους.[ln_30]μισῶ γυναῖκας αἵτινες
book 360.3	πρὸ τοῦ καλοῦ ζῆν
book 360.4	παῖδας εἵλοντ’ ἢ παρῄνεσαν κακά. καὶ μὴν θανόντες γ’ ἐν μάχῃ πολλῶν μέτα τύμβον
book 360.5	τε κοινὸν ἔλαχον εὔκλειάν τ’ ἴσην· τἠμῇ δὲ παιδὶ στέφανος εἷς μιᾷ μόνῃ[ln_35]πόλεως θανούσῃ τῆσδ’ ὑπερδοθήσεται. καὶ τὴν
book 360.6	τεκοῦσαν καὶ σὲ δύο θ’ ὁμοσπόρω σώσει· τί τούτων οὐχὶ δέξασθαι καλόν; τὴν οὐκ ἐμὴν .. πλὴν φύσει δώσω κόρην θῦσαι
book 360.7	πρὸ γαίας. εἰ γὰρ αἱρεθήσεται[ln_40]πόλις, τί παίδων τῶν ἐμῶν μέτεστί μοι; οὐκ οὖν ἅπαντα
book 360.8	τοὐπ’ ἐμοὶ σωθήσεται; ἄρξουσιν ἄλλοι, τήνδ’ ἐγὼ σώσω πόλιν. ἐκεῖνο δ’ οὗ 〈τὸ〉 πλεῖστον ἐν κοινῷ μέρος, οὐκ ἔσθ’ ἑκούσης τῆς ἐμῆς
book 360.9	ψυχῆς ἄτερ[ln_45]προγόνων
book 360.10	παλαιὰ θέσμι’ ὅστις ἐκβαλεῖ· οὐδ’ ἀντ’ ἐλαίας
book 360.11	χρυσέας
book 360.12	τε Γοργόνος
book 360.13	τρίαιναν ὀρθὴν
book 360.14	στᾶσαν ἐν πόλεως βάθροις Εὔμολπος οὐδὲ Θρῂξ ἀναστέψει λεὼς
book 360.15	στεφάνοισι, Παλλὰς δ’ οὐδαμοῦ τιμήσεται.
book 360.1	χρῆσθ’, ὦ πολῖται, τοῖς ἐμοῖς λοχεύμασιν, σῴζεσθε, νικᾶτ’· ἀντὶ γὰρ
book 360.2	ψυχῆς μιᾶς οὐκ ἔσθ’ ὅπως οὐ τήνδ’ ἐγὼ σώσω πόλιν. ὦ πατρίς, εἴθε πάντες οἳ ναίουσί σε οὕτω
book 360.3	φιλοῖεν ὡς ἐγώ· καὶ ῥᾳδίως[ln_55]οἰκοῖμεν ἄν
book 360.4	σε κοὐδὲν ἂν πάσχοις κακόν.
book 361.1	ἐγὼ δὲ τοὺς καλῶς
book 361.2	τεθνηκότας ζῆν
book 361.3	φημὶ μᾶλλον
book 361.4	τοῦ βλέπειν
book 361.5	τοὺς μὴ καλῶς.
book 362.1	ὀρθῶς μ’ ἐπήρου· βούλομαι δὲ σοί, τέκνον, φρονεῖς γὰρ ἤδη κἀποσῴσαι’ ἂν
book 362.2	πατρὸς γνώμας
book 362.3	φράσαντος, ἢν θάνω, παραινέσαι κειμήλι’ ἐσθλὰ καὶ νέοισι
book 362.4	χρήσιμα.[ln_5]βραχεῖ δὲ μύθῳ πολλὰ συλλαβὼν ἐρῶ. πρῶτον
book 362.5	φρένας μὲν ἠπίους ἔχειν
book 362.6	χρεών· τῷ πλουσίῳ τε τῷ τε μὴ διδοὺς μέρος ἴσον
book 362.7	σεαυτὸν εὐσεβεῖν πᾶσιν δίδου. δυοῖν
book 362.8	παρόντοιν
book 362.9	πραγμάτοιν
book 362.10	πρὸς θάτερον[ln_10]γνώμην
book 362.11	προσάπτων τὴν ἐναντίαν μέθες. ἀδίκως δὲ μὴ κτῶ χρήματ’, ἢν βούλῃ πολὺν
book 362.12	χρόνον μελάθροις ἐμμένειν· τὰ γὰρ κακῶς οἴκους ἐσελθόντ’ οὐκ ἔχει
book 362.13	σωτηρίαν. ἔχειν δὲ πειρῶ· τοῦτο γὰρ τό τ’ εὐγενὲς[ln_15]καὶ τοὺς γάμους δίδωσι
book 362.14	τοὺς
book 362.15	πρώτους ἔχειν. ἐν τῷ πένεσθαι δ’ ἐστὶν ἥ τ’ ἀδοξία, κἂν ᾖ σοφός
book 362.16	τις, ἥ τ’ ἀτιμία βίου. φίλους δὲ τοὺς μὲν μὴ χαλῶντας ἐν λόγοις κέκτησο· τοὺς δὲ πρὸς χάριν σὺν ἡδονῇ
book 362.1	[ln_20]τῇ σῇ πονηροὺς κλῇθρον εἰργέτω
book 362.2	στέγης. ὁμιλίας δὲ τὰς γεραιτέρων φίλει, ἀκόλαστα δ’ ἤθη λαμπρὰ συγγελᾶν μόνον μίσει· βραχεῖα τέρψις ἡδονῆς κακῆς. ἐξουσίᾳ δὲ μήποτ’ ἐντρυφῶν, τέκνον,[ln_25]αἰσχροὺς ἔρωτας δημοτῶν διωκαθεῖν. ὃ καὶ σίδηρον ἀγχόνας τ’ ἐφέλκεται, χρηστῶν
book 362.3	πενήτων ἤν
book 362.4	τις αἰσχύνῃ τέκνα. καὶ τοὺς
book 362.5	πονηροὺς μήποτ’ αὔξαν’ ἐν πόλει· κακοὶ γὰρ ἐμπλησθέντες ἢ νομίσματος[ln_30]ἢ πόλεος ἐμπεσόντες εἰς ἀρχήν
book 362.6	τινα
book 362.7	σκιρτῶσιν, ἀδόκητ’ εὐτυχησάντων δόμων. ἀλλ’ ὦ τέκνον μοι δὸς χέρ’, ὡς θίγῃ πατήρ, καὶ χαῖρ’· ὑπ’ αἰδοῦς δ’ οὐ λίαν ἀσπάζομαι·
book 362	γυναικόφρων γὰρ θυμὸς ἀνδρὸς οὐ σοφοῦ.
book 363	εἷς μὲν λόγος μοι δεῦρ’ ἀεὶ περαίνεται.
book 364.1	ἐκ τῶν πόνων
book 364.2	τοι τἀγάθ’ αὔξεται βροτοῖς. [ὁ δ’ ἡδὺς αἰὼν ἡ κακή τ’ ἀνανδρία οὔτ’ οἶκον οὔτε πόλιν ἀνορθώσειεν ἄν.]
book 365	αἰδοῦς δὲ καὐτὸς δυσκρίτως ἔχω πέρι· καὶ δεῖ γὰρ αὐτῆς κἄστιν αὖ κακὸν μέγα.
book 366	τοὐνθένδ’ ἀπίχθυς βαρβάρους οἰκεῖν δοκῶ
book 367	ἐν ἀστρώτῳ πέδῳ εὕδουσι, πηγαῖς δ’ οὐχ ὑγραίνουσιν πόδας.
book 368	μίασμα δρυός
book 369.1	κείσθω δόρυ μοι μίτον ἀμφιπλέκειν ἀράχναις, μετὰ δ’ ἡσυχίας
book 369.2	πολιῷ γήρᾳ συνοικοίην· ἀείδοιμι δὲ στεφάνοις κάρα
book 369.3	πολιὸν
book 369.4	στεφανώσας Θρηίκιον πέλταν
book 369.5	πρὸς Ἀθάνας[ln_5]περικίοσιν ἀγκρεμάσας θαλάμοις δέλτων τ’ ἀναπτύσσοιμι γῆρυν ἃν
book 369.6	σοφοὶ κλέονται.
book 371	πέμπεις δ’ ἐς Ἅιδου ζῶντα κοὐ τεθνηκότα, καί μοι τὸ τέρθρον δῆλον εἰσπορεύομαι.
book 372.1	οὐκ ἔστιν, ὦ γεραιέ, μὴ δείσῃς τάδε· τὰ Δαιδάλεια πάντα κινεῖσθαι δοκεῖ λέγειν τ’ ἀγάλμαθ’· ὧδ’ ἀνὴρ κεῖνος
book 372.2	σοφός.
book 373.1	πᾶς δ’ ἐξεθέρισεν ὥστε πύρινον 〈στάχυν〉 σπάθῃ κολούων
book 373.2	φασγάνου μελανδέτου.
book 374.1	ἢ κύαθον ἢ χαλκήλατον ἡθμὸν
book 374.2	προσίσχων
book 374.3	τοῖσδε
book 374.4	τοῖς ὑπωπίοις
book 375.1	πιστὸν μὲν οὖν εἶναι
book 375.2	χρὴ τὸν διάκονον
book 375.3	τοιοῦτον εἶναι καὶ στέγειν τὰ δεσποτῶν.
book 376.1	οὐκ οἶδ’ ὅτῳ χρὴ κανόνι τὰς βροτῶν τύχας ὀρθῶς
book 376.2	σταθμήσαντ’ εἰδέναι τὸ δραστέον.
book 377.1	μάτην δὲ θνητοὶ τοὺς νόθους
book 377.2	φεύγους’ ἄρα
book 377.3	παῖδας
book 377.4	φυτεύειν· ὃς γὰρ ἂν
book 377.5	χρηστὸς φύῃ, οὐ τοὔνομ’ αὐτοῦ τὴν φύσιν διαφθερεῖ.
book 378.1	νῦν δ’ ἤν
book 378.2	τις οἴκων
book 378.3	πλουσίαν ἔχῃ φάτνην, πρῶτος γέγραπται τῶν τ’ ἀμεινόνων κρατεῖ· τὰ δ’ ἔργ’ ἐλάσσω
book 378.4	χρημάτων νομίζομεν.
book 379.1	σκύφος
book 379.2	τε μακρός
book 380	Ταρτάρειος
book 381.1	σχεδὸν
book 381.2	παρ’ αὐτοῖς κρασπέδοις Εὐρωπίας
book 382.1	ἐγὼ πέφυκα γραμμάτων μὲν οὐκ ἴδρις, μορφὰς δὲ λέξω καὶ σαφῆ τεκμήρια. κύκλος
book 382.2	τις ὡς τόρνοισιν ἐκμετρούμενος, οὗτος δ’ ἔχει
book 382.3	σημεῖον ἐν μέσῳ σαφές·[ln_5]τὸ δεύτερον δὲ πρῶτα μὲν γραμμαὶ δύο, ταύτας διείργει δ’ ἐν μέσαις ἄλλη μία· τρίτον δὲ βόστρυχός
book 382.4	τις ὣς εἱλιγμένος· τὸ δ’ αὖ τέταρτον ἣ μὲν εἰς ὀρθὸν μία, λοξαὶ δ’ ἐπ’ αὐτῆς
book 382.5	τρεῖς κατεστηριγμέναι[ln_10]εἰσίν· τὸ πέμπτον δ’ οὐκ ἐν εὐμαρεῖ φράσαι· γραμμαὶ γάρ εἰσιν ἐκ διεστώτων δύο, αὗται δὲ συντρέχουσιν εἰς μίαν βάσιν·
book 382	τὸ λοίσθιον δὲ τῷ τρίτῳ προσεμφερές.
book 383.1	τοία
book 383.2	Στυγός
book 383.3	σε μελανοκάρδιος πέτρα Ἀχερόντιός
book 383.4	τε σκοπελὸς αἱματοσταγὴς
book 383.5	φρουροῦσι Κωκυτοῦ τε
book 383.6	περίδρομοι κύνες Ἔχιδνά θ’ ἑκατογκέφαλος, ἣ τὰ σπλάγχνα
book 383.7	σου διασπαράξει, πλευμόνων τ’ ἀνθάψεται[ln_475]Ταρτησσία μύραινα· τὼ νεφρὼ δέ σου αὐτοῖσιν ἐντέροισιν ᾑματωμένω διασπάσονται Γοργόνες
book 383.8	Τειθράσιαι.
book 384.1	κάρα
book 384.2	τε γάρ
book 384.3	σου
book 384.4	συγχέω κόμαις ὁμοῦ, ῥανῶ τε
book 384.5	πεδός’ ἐγκέφαλον· ὀμμάτων δ’ ἄπο αἱμοσταγῆ πρηστῆρε ῥεύσονται κάτω.
book 385	τί με δῆτ’, ὦ μελέα μᾶτερ, ἔτικτες;
book 386.1	ἀνόνητον ἄγαλμ’, ὦ πάτερ, οἴκοισι
book 386.2	τεκών
book 387.1	καίτοι
book 387.2	φθόνου μὲν μῦθον ἄξιον
book 387.3	φράσω
book 388.1	ἀλλ’ ἔστι δή τις ἄλλος ἐν βροτοῖς ἔρως
book 388.2	ψυχῆς δικαίας σώφρονός
book 388.3	τε κἀγαθῆς. καὶ χρῆν δὲ τοῖς βροτοῖσι τόνδ’ εἶναι νόμον τῶν εὐσεβούντων οἵτινές
book 388.4	τε σώφρονες[ln_5]ἐρᾶν, Κύπριν δὲ τὴν Διὸς
book 388.5	χαίρειν ἐᾶν.
book 389.1	ἀνὴρ γὰρ ὅστις
book 389.2	χρημάτων μὲν ἐνδεής, δρᾶσαι δὲ χειρὶ δυνατός, οὐκ ἀφέξεται τὰ τῶν ἐχόντων
book 389.3	χρήμαθ’ ἁρπάζειν βίᾳ.
book 390	συμπολίτης
book 391.1	οὐκ ἔστιν οὐδὲν
book 391.2	χωρὶς ἀνθρώποις θεῶν· σπουδάζομεν δὲ πόλλ’ ὑπ’ ἐλπίδων, μάτην πόνους ἔχοντες, οὐδὲν εἰδότες
book 391.3	σαφές.
book 392	εἰ δ’ ἄτερ πόνων δοκεῖς ἔσεσθαι, μῶρος εἶ, θνητὸς γεγώς.
book 393	γνώμης γὰρ οὐδὲν ἁρετὴ μονουμένη.
book 394	οὐ πώποτ’ ἔργου μᾶλλον εἱλόμην λόγους.
book 395.1	πλούτου δ’ ἀπορρυέντος ἀσθενεῖς γάμοι· τὴν μὲν γὰρ εὐγένειαν αἰνοῦσιν βροτοί, μᾶλλον δὲ κηδεύουσι
book 395.2	τοῖς εὐδαίμοσιν.
book 396.1	ἀλλ’ εἴπερ ἔστιν ἐν βροτοῖς
book 396.2	ψευδηγορεῖν
book 396.3	πιθανά, νομίζειν
book 396.4	χρή σε καὶ τοὐναντίον, ἄπιστ’ ἀληθῆ πολλὰ συμβαίνειν βροτοῖς.
book 397.1	θεοῦ θέλοντος κἂν ἐπὶ ῥιπὸς
book 397.2	πλέοις.
book 398.1	εὕδουσα δ’ Ἰνοῦς
book 398.2	συμφορὰ χρόνον
book 398.3	πολὺν νῦν ὄμμ’ ἐγείρει
book 399.1	φίλαι γυναῖκες, πῶς ἂν ἐξ ἀρχῆς δόμους Ἀθάμαντος οἰκήσαιμι τῶν
book 399.2	πεπραγμένων δράσασα μηδέν;
book 400.1	ὦ θνητὰ πράγματ’, ὦ γυναικεῖαι
book 400.2	φρένες· ὅσον νόσημα τὴν Κύπριν κεκτήμεθα.
book 401.1	φεῦ, ὅσῳ τὸ θῆλυ δυστυχέστερον γένος πέφυκεν ἀνδρῶν· ἔν
book 401.2	τε τοῖσι γὰρ καλοῖς
book 401.3	πολλῷ λέλειπται κἀπὶ τοῖς αἰσχροῖς
book 401.4	πλέον.
book 402.1	νόμοι γυναικῶν οὐ καλῶς κεῖνται πέρι· χρῆν γὰρ τὸν εὐτυχοῦνθ’ ὅπως
book 402.2	πλείστας ἔχειν [γυναῖκας, εἴπερ
book 402.3	τροφὴ δόμοις
book 402.4	παρῆν], ὡς τὴν κακὴν μὲν ἐξέβαλλε δωμάτων,[ln_5]τὴν δ’ οὖσαν ἐσθλὴν ἡδέως ἐσῴζετο. νῦν δ’ εἰς μίαν βλέπουσι, κίνδυνον μέγαν ῥίπτοντες· οὐ γὰρ τῶν
book 402.5	τρόπων
book 402.6	πειρώμενοι νύμφας ἐς οἴκους ἑρματίζονται βροτοί.
