Works of Libanius
Ἔργα Λιβανίου
by Libanius of Antioch
eul_wid: swk-ah    eul_aid: swk

Period   Late Antique
Dialect  Atticizing
Domain   Oratory
Format   Oration

The surviving works of Libanius of Antioch constitute one of the most extensive and significant literary corpora from a single author in Late Antiquity. Composed in refined Attic Greek during the mid-to-late fourth century CE, the collection encompasses sixty-four orations, fifty-one declamations, a substantial body of preliminary rhetorical exercises known as progymnasmata, and over fifteen hundred letters. The orations demonstrate remarkable variety, ranging from formal panegyrics celebrating cities to autobiographical accounts, judicial speeches, and direct political appeals to imperial authorities. His extensive epistolary collection offers an unparalleled view into the intricate social, professional, and intellectual networks of the period.

Operating from Antioch, a major cultural and administrative hub of the Eastern Roman Empire, Libanius wrote as a devoted adherent of traditional Hellenic religion and a master teacher of rhetoric. His works functioned both as pedagogical models for his renowned school of rhetoric and as active engagements with the profound political and religious transformations of his era. Modern scholarship interprets his prolific output as a sustained, sophisticated defense of classical Greek paideia—the system of education and civic values—against the rising cultural and institutional dominance of Christianity. Numerous orations address contemporary events with directness, such as advocating for the interests of Antioch or expressing support for the policies of the pagan emperor Julian.

The texts survive in a notably complete state, a testament to Libanius's enduring reputation as a preeminent stylistic model throughout the Byzantine educational tradition. A complex manuscript tradition has preserved the majority of his orations and declamations. The vast corpus of letters, while immense, is generally considered a curated selection from an originally even larger body of personal and professional correspondence.

Text
----

1	*Epist. 1–839: vol. 10 Κλεάρχῳ.
Ep 386 3	κείσθω δὴ ταῦτα εἶναι τοῦ καιροῦ. μετὰ ταῦτα σὺ καλούμενος ἐκ Κιλικίας ἐπὶ λαμπροτέραν δύναμιν γράψας πρὸς Θεόφιλον ὡς ἀπαίροις προσπαρέγραψας ἐμὲ προσαγορεύειν, καὶ ἦν τοὐμὸν ὄνομα προσθήκη τῆς πρὸς ἄλλον ἐπιστολῆς.
Ep 386 5	τοῦτό με πρῶτον ἐτάραξε καὶ παρεῖχεν ὑπονοεῖν, ὡς ἄρα τἀρχαῖα κεκίνηται. καὶ ἐφαίνου δή μοι τῷ μὲν μὴ πρὸς ἐμὲ γεγραφέναι μεταβεβλῆσθαι, τῷ δὲ ἐν τῇ πρὸς ἄλλον ἐπιστολῇ μνησθῆναι κατὰ μικρὸν λύειν ἐθέλειν τὰ πρὸς ἐμὲ τοῦ μὴ τοὺς ἀνθρώπους ἐκπλαγῆναι τῇ μεταστάσει. φέρειν ᾤμην δεῖν καὶ τοῦτο καὶ μήπω πάντα ἡγεῖσθαι διακεκόφθαι. Γαλατῶν ἀρχὴ τῶν ἑσπερίων, καὶ Κυρίνου κλῆσις εἰς κοινωνίαν πόνων καὶ γράμματα πρὸς ἐκεῖνον, ἐμοὶ δὲ οὔ.
Ep 386 6	τί δὴ νομίζειν ἐχρῆν τὸν πάλαι μὲν πρὸ τῶν ἄλλων ἁπάντων, ὕστερον δὲ ἐν οὐδενὶ λόγῳ; Κυρίνῳ μὲν οὖν παρῄνουν ὑπακούειν καὶ ταῦτα ἀτιμαζόμενος, ἀλλ’, οἶμαι, τῆς ἐμῆς ἐκράτει συμβουλῆς ὁ περὶ τῷ παιδὶ φόβος.
Ep 386 7	ἀκούων δέ σου τὰ πολλὰ καὶ μεγάλα, εἰ γὰρ ἐν μικροῖς σὺ μέγας, τίς ἂν ἦσθα τηλικοῦτον ἅρμα ἐλαύνων; φιλῶν ἔτι τῷ λήξαντι τοῦ φιλεῖν συνηδόμην. ἐκβαίνεις δὴ πάλιν εἰς ἰδιώτην διὰ σπουδῆς, μεθ’ ἧς ἀεὶ τὸ ἄρχειν ἀπέθου, καὶ Βιθυνίας ἐπιβὰς οὐδ’ ὑπὸ τοῦ χωρίου πρὸς μνήμην ἡμῶν ἐκινήθης.
Ep 386 8	ἐν ᾧ δὴ χωρίῳ μικρὰς μὲν ἐδέξω παρ’ ἡμῶν ᾠδάς, ἴσως δὲ οὐ φαύλας. ἀλλὰ χρόνοις ὕστερον ἀφικνεῖταί τις Γαλάτης, ἐπιεικὴς ἄνθρωπος, Ἀρσακίου συγγενής.
Ep 386 9	δίκη δὲ ἦν αὐτῷ καὶ ἔδει τῆς τοῦ κρινοῦντος εὐνοίας. οὗτός μοι κομίζει γράμματα σά τε καὶ οὐ σά. τῆς μὲν γὰρ σῆς ἦν, οἶμαι, χειρός, τῆς δὲ σῆς οὐκ ἦν διανοίας, μᾶλλον δὲ τῆς σῆς ταυτησὶ τῆς δευτέρας· οὕτως οὐδὲν τῆς συνηθείας ἐκείνης ἐνετετύπωτο, ἀλλὰ πικρά τε ἦν καὶ ἄγρια καὶ δηλοῦντα, ὡς ἄρα ἀναγκασθείης καὶ πρὸς τὴν ἀνάγκην ἄχθοιο. ἐγὼ μὲν οὖν ἐμεμψάμην τὴν ἐπιστολήν, ἐκεῖνος δὲ τὴν ἐμὴν οὐκ ἐμέμψατο προθυμίαν.
Ep 386 10	ἀπὸ τούτων ἐγνώκειν μὲν σιωπᾶν, τί γὰρ δεῖ μὴ βουλομένῳ γράφειν; Μαρτιάλης δὲ κελεύων οὐκ ἐπέτρεπεν ἀρνεῖσθαι. σὺ δὲ ἂν μὲν τὴν οὖσαν ἐθέλῃς αἰτίαν εἰπεῖν, ἥ σε μετέστησεν, οὐκ ἂν δέοιο μακρῶν λόγων· κρύπτων δὲ ἐκείνην ἀεὶ μὲν ἐρεῖς, ἀεὶ δὲ δεήσῃ λόγων.
Ep 386 11	οὕτως οὐ λύσεις τὴν αἰτίαν. βούλει μαθεῖν ἃ τοῖς φίλοις εἰκάζουσι παρέστη; νομίζουσιν Εὔρυμόν τινα ταῦτα εἰργάσθαι.
Ep 386 12	ὁ δὲ Εὔρυμος ἐκεῖνος διέβαλλε τῷ Κάστορι τὸν ἀδελφόν, ἀλλ’ οὐχ ὁ Κάστωρ ἐσίγησεν, ἀλλ’ ὁ μὲν ἔφρασεν, ὁ δὲ Πολυδεύκης ἀγαθὸς ἐγένετο πύκτης ἐπὶ τὸν Εὔρυμον. Θαλασσίῳ.
Ep 387 1	Χρηστὸς εἶ γράμματα ζητῶν καὶ φάσκων τῷ μὲν οὐ λαβεῖν ἀρρωστεῖν, πάντως δ’ ἂν ὑγιᾶναι λαβών. ἐκεῖνό γε μήν, οὐδ’ εἰ πάνυ βουλοίμην χαρίζεσθαι, χρηστὸν ἔχω καλεῖν τὸ τρεῖς ἐπιστολὰς εἰληφότα κατηγορεῖν ὡς ὅλως σεσιγηκότος. ὅτι μὲν γὰρ ἡ τοῦ πάλιν ἐθέλειν λαβεῖν ἐπιθυμία πρὸς τὸ ψεῦδος ἄγει, δῆλον· ἐξῆν μέντοι καὶ τὸ δοθὲν ὡς μικρὸν αἰτιώμενον ἀληθεύειν τε ὁμοῦ καὶ πλείω ζητεῖν. ἀλλ’ ἡμεῖς γε παρὰ τῶν σῶν ὁμολογοῦμεν ἀεί τε καὶ πολλὰ λαμβάνειν καὶ ὧν βουλόμεθα πλείω.
Ep 387 2	οἷς ἀντιδίδομεν χάριν τὸ σοὶ παραινεῖν μνησθῆναι τῆς ἀγαθῆς γυναικὸς καὶ πρὸς σαυτὸν ἀεὶ λέγειν ὅτι πατὴρ οὔπω γέγονας. Στρατηγίῳ.
Ep 388 1	Οὔπω με καθαρῶς ἀπαλλαγέντα τοῦ ἐν τῇ κεφαλῇ κακοῦ μεῖζον ἕτερον ἔλαβε κακόν, ὃ τὴν ψυχὴν ἐνέπλησε ζόφου καὶ δι’ ὃ πολλοὶ τῶν φίλων πολύν μοι παρεκάθηντο χρόνον πάσαις ἐπῳδαῖς πειρώμενοι διασῶσαί μου τὰς φρένας. τίνα γὰρ οἴει με γενέσθαι πυθόμενον ὡς ἡ φιλτάτη πόλις ἐπὶ τοῖς φιλτάτοις πέπτωκεν ἀνδράσιν; ἠμέλησα μὲν σιτίων, ἔρριψα δὲ λόγους, ἀπεωσάμην δὲ ὕπνον, σιγῇ δὲ ἐπὶ πλεῖστον ἐκείμην, δάκρυα δὲ ἡμῶν ἅμα μὲν ἐπ’ ἐκείνοις, τῶν δὲ ἐπιτηδείων ἐπ’ ἐμοί, πρὶν δή τις παρῄνεσεν ἐν λόγοις θρηνῆσαι τήν τε πόλιν καὶ τὸν οὐ τοιαύτης ἄξιον, ὦ Ζεῦ, τελευτῆς.
Ep 388 2	ᾧ πεισθεὶς καὶ τοῦ πάθους τι μέρος ἐπὶ τῆς γραφῆς ἐκβαλὼν ἤδη πενθῶ σωφρονῶν. εἰ μὲν οὖν μὴ καὶ σοὶ τεταράχθαι τὴν γνώμην ἡγούμην ἐστερημένῳ φίλου δείξαντος ἔργοις τοὔνομα, ἐδεόμην ἄν μοι παρὰ σοῦ φοιτᾶν παραμυθίαν· ἐπεὶ δὲ ἡ πληγὴ κοινή, λείπεταί μοι στένειν, ὃ δὴ καὶ ποιῶ.
Ep 389 t	Μοδέστῳ. Οἱ μὲν ὡς ἥξεις ἀγγέλλοντες πολλοί, τὸ δὲ ἔργον ὁρῶμεν οὔπω.
Ep 389 1	ποίησον οὖν ἡμῖν τὴν σκιὰν τῆς ἡδονῆς εὐφροσύνην ἀληθινήν. εἴτε γὰρ ἐδεῖτο φροντίδος τὰ περὶ τὸν Εὐφράτην, ἱκανῶς τεθεράπευται· εἴτε ἔδει τοὺς ἀνθρώπους μαθεῖν ὅστις εἶ πρὸς ἥλιον φλέγοντα, τῆς Ἡρακλέους καρτερίας οὐ λελεῖφθαι δοκεῖς. τί οὖν πόλιν μεγάλην καὶ καλὴν κατατείνεις ἐρῶσαν, ᾗ χάριτας μὲν ὀφείλεις τοῦ φίλτρου, μέμψασθαι δὲ οὐκ ἔχεις; ἀλλ’, ὦ γενναῖε, συνθεὶς ἀπολογίαν ἧκε παρ’ ἄνδρας ἠδικημένους.
Ep 389 3	κἂν γὰρ αὐτίκα φανῇς, ὅ γε παρελθὼν χρόνος ἀπαιτεῖ ῥήτορος τέχνην. πάντως δὲ οὐδέν σε δεῖ μισθοῦσθαι τὸν ἐροῦντα πολλοὺς αὐτὸν ἤδη σεσωκότα τῇ φωνῇ. Ἱεροκλεῖ.
Ep 390 1	Εἰ τὸ τῆς δυνάμεως ἐλάττω ποιεῖν ἑκόντα ῥᾳθυμεῖν ἐστι, πόρρω τῆς αἰτίας ἐγώ. βραχύτερα μὲν γὰρ ἢ ὁ καιρὸς ἀπῄτει γέγραφα, πλείω δὲ οὐκ εἶχον ὑπ’ ἀρρωστίας. τὴν μέντοι συμβᾶσάν σοι πρὸς τὸν ἄνδρα τουτονὶ ταραχὴν ἴσθι μακρὰν ἡμῖν γεγονέναι συμφοράν.
Ep 390 2	τὸ γὰρ οὓς εἰκὸς ἦν μάλιστα συμπνεῖν, τούτους ὁρᾶν ἐν στάσει καὶ τῷ γιγνομένῳ μὲν ἀλγεῖν, παῦσαι δὲ αὐτὸ μὴ δύνασθαι πῶς οὐκ ἐμοί τε καὶ τοῖς σοῖς ἀδελφοῖς καὶ πᾶσιν οἷς εὔνοια πρὸς τὰ σὰ νομίζοιτ’ ἂν συμφορά; ὃ δέ γε τούτου δεινότερον, οἴχεται Χρωμάτιος, ὦ Ζεῦ καὶ θεοί, καὶ πάλιν ἐρῶ Χρωμάτιος, ὃς ἐκόσμει μὲν τὴν Παλαιστίνην τῷ φῦναι αὐτόθι, ἐκόσμει δὲ τὰς Ἀθήνας εὖ τἀκεῖθεν δεξάμενος.
Ep 390 4	ἦν δὲ τῷ γένει μὲν κλέος, τοῖς φίλοις δὲ λιμήν. μόνος δὲ ὧν ἴσμεν μάλιστα μὲν ἐθαυμάσθη, ἥκιστα δὲ ἐφθονήθη. τοῖς λόγοις μὲν ἐξέπληττε, τῷ τρόπῳ δὲ ἔθελγεν αὐτὸς ὢν καὶ ῥήτωρ δεινὸς καὶ ἀνὴρ χρηστός. τί πρῶτον ἐννοήσω καὶ διὰ τί πρῶτον ὀδύρωμαι; ὡς ἓν ἡμᾶς οἴκημα εἶχεν Ἀθήνησιν; ὡς τράπεζα μία; ὡς τοῖς αὐτοῖς ἐχαίρομεν; ὡς ταὐτὰ ἐφροντίζομεν; ὡς ἠκονῶμεν ἀλλήλους ἀλλήλοις ὄντες κριταί; ἀλλ’ ὅτε ἐπανῆκον τὴν προτέραν ἐπιδημίαν, τίνας οὐ παρῆλθε κρότῳ τε καὶ τοῖς ἄλλοις, ἃ σοφιστῶν ὠφελεῖν σχῆμα δοκεῖ; καὶ μὴν ὅπως μὲν αὖθις ἐπανέλθοιμι, προὔτρεψεν, ἐγένετο δὲ ἀντὶ πολλῶν ἀφιγμένῳ.
Ep 390 7	καὶ ταῦτα ἔπραττεν εἰδὼς ὅτι λυπήσει τινὰ βέλτιστος ὢν εἰς ἐμέ. ἀλλ’ ὅμως οὐκ ἀπέστησεν αὐτὸν τῆς ὑπὲρ ἡμῶν ἀνδρίας τό τινα μέμψιν παρὰ τοῦ δεῖνος ἀκολουθήσειν, ἀλλ’ ὃ δίκαιον ᾤετο, ἐλευθέρως ἐποίει καὶ τοὺς ἀξιοῦντας αὐτὸν αὑτοῖς χαριζόμενον ἀδικεῖν ὡς οὐ σφόδρα ὑγιαίνοντας ἀπεσείετο. τοιαῦτα ἡμῖν βοηθῶν ἠσθένησε καὶ τοσούτῳ κακῷ πιεζόμενος ἐκαρτέρει σιγῇ.
Ep 390 8	ἔπειτα ἀναστὰς ὥρμησε μὲν ἐπὶ Κιλικίας, ὥρμησε δὲ εἰς Ἅιδου. καὶ τὸ χωρίον, οἷ μετέστη, πρότερον δοκοῦν ἥδιστον πῶς, οἴει, κέκριται χαλεπόν; ἐγὼ δὲ εὐθὺς μὲν ἀκούσας ἄφωνος ἦν ὡς ἐπὶ πλεῖστον· ἐπεὶ δὲ ἠδυνήθην ῥῆξαι φωνήν, ἀφῆκα πρώτην, ὡς ἄρα τὸ κάλλιστον τῶν ἐπὶ γῆς ἀπελήλυθεν, ἀνὴρ σωφρονέστερος μὲν Πηλέως, θεοφιλὴς δὲ οὐχ ἧττον ἢ Σοφοκλῆς, δεινὸς εἰπεῖν, ἀμείνων κρῖναι, φίλος σαφής, οὐδέν τι χείρων ἐκείνων τῶν Συρακουσίων οἷς ἐπίδειξις ἐγένετο τοῦ πράγματος ἐν τῇ Διονυσίου τυραννίδι.
Ep 390 10	καὶ ταῦτα ἐγὼ διῆλθον, Ἱερόκλεις, δακρύων. ἔπειτα ἐξ αὐτῶν ὧν ἐδάκρυον ἐνεθυμήθην πως, ὅτι ἄρα οὐ χρὴ δακρύειν. τὸ γὰρ οὕτω βεβιωκέναι καλῶς εἰς τὴν τελευτὴν παραμύθιον. ὃ μὲν γὰρ ἔπαθε, κοινόν· ἐφ’ οἷς δὲ ἐπαινεῖται, ταῦτα οὐ κοινά. καὶ δὴ καὶ σὲ δεῖ μᾶλλον χαίρειν, ὅτι τοιοῦτον ἀδελφιδοῦν ἐκτήσω καὶ κηδεστὴν ἢ τῷ συμβεβηκότι πλήττεσθαι.
Ep 390 11	λογίζου δὲ ὅτι θεῶν μὲν γνώμῃ πάντα πράττεται, θεοὶ δὲ τὸν ὧδε ἔχοντα ἀρετῆς οὐκ ἄν τι κακὸν ἔδρων. δίκαιοι γὰρ καὶ οὐκ ἂν ὃν τιμᾶν ἐχρῆν ἐκόλαζον. οὐκ ἄρα ὅπως τι δεινὸν εἴη πεπονθώς, ἀπέθνησκεν, ἀλλ’ ἐπὶ τῷ βελτίονι.
Ep 390 12	δοκοῦσι γάρ μοι νομίσαντες τὸν ἄνδρα κρείττω μὲν ἢ διατρίβειν ἐν γῇ, τῷ δὲ αὑτῶν πρέπειν χορῷ μετενεγκεῖν ἐνθένδε εἰς οὐρανόν. οὕτως αὐτόν τε σὲ δεῖ φρονεῖν καὶ τὴν θυγατέρα πείθειν καὶ οἴεσθαι τῆς ἐκείνου παιδείας ἄξιον εἶναι τὸ ὑμᾶς ἐπίστασθαι φέρειν. καὶ περὶ μὲν τῆς τελευτῆς τοῦ ἑταίρου πλείω μὲν ἔνι λέγειν, δεῖ δὲ οὐδέν, εἰδότι γὰρ ἂν λέγοιτο.
Ep 390 13	τὴν δὲ ἐνθάδε ταραχὴν ἡμεῖς τε ὅπως καταστήσεται φροντίζομεν σόν τε μέρος οὐ μικρόν. οἱ μὲν γὰρ τοιοῦτοι καιροὶ φρονίμου δέονται, σὺ δέ, εἴπερ τις, ἐπὶ τῷ φρονεῖν δόξαν ἔχεις. ὥσπερ οὖν εἰ κυβερνήτης ἐτύγχανες, ἠξίουν ἄν σε ἐν χειμῶνι δεικνύναι τὴν τέχνην, οὕτως, ἐπειδὴ συνέσει νικᾷς, ἄνδρα ὀργιζόμενον διάλλαξον.
Ep 391 t	Ἀνατολίῳ. Ἐγὼ τοὺς ὄντας μοι φίλους βουλοίμην, ἅττα ἂν λέγωσιν, ἀληθῆ δοκεῖν λέγειν.
Ep 391 1	σὲ δὲ ἐν πρώτοις τε γράφομαι τῶν ἐπιτηδείων καὶ ὅπως πόρρω εἴης τοῦ ψεύδεσθαι ποιῶ. τούτου οὖν, ὦ ’γαθέ, κηδόμενος ἐσίγων τὸν ἄχρι τοῦδε χρόνον.
Ep 391 2	ἔδει γὰρ εὐθὺς μὲν ἐμοῦ γράφοντος ψεύστην εἶναι σέ, μὴ γράφοντος δὲ καθαρεύειν τῆς αἰτίας, ὥστε σε ἐκόσμησα τῇ σιγῇ. σὺ δὲ ὡς ἠδικημένος ἐγκαλεῖς ἐπαινεῖν ἀφείς. αἴνιγμά σοι δοκῶ λέγειν. ἄκουε δῆτα σαφῶς. σὺ τὴν πρώτην ἐκείνην γράφων ἐπιστολὴν σκώμμασί τε ἡμᾶς ἔτρωσας οὐκ ὀλίγοις καὶ τελευτῶν ἐπέθηκας ὡς κατασύραις ἡμᾶς ἐν τοῖς γράμμασι, καὶ ὅρκος ἐπῆν.
Ep 391 4	ἐσκόπουν οὖν, ὅπως ἄν σοι τοῦτο ὀρθῶς εἰρῆσθαι δοκοῖ καὶ νικῶν φαίνοιο καθαρῶς. νίκη δὲ σαφὴς τὸ μηδ’ αὐτὸν τὸν ἡττημένον ἀναισχυντεῖν, ὡς ἄρα οὐ κεκράτηται, ὃ δὴ μὴ γράφων ὁμολογεῖ νενικῆσθαι τῷ μὴ ἔχειν ὅ τι γράψειεν. ἔχεις οὖν καὶ τουτονὶ τὸν στέφανον ἐπ’ ἐκείνῳ τῷ διὰ δικαιοσύνην σοι δεδομένῳ.
Ep 391 5	καὶ δύο νίκας ἡμῖν ὁ καλὸς Ἀνατόλιος ἀνῄρηται, τὴν μὲν ὡς ἄριστος δικαστῶν, τὴν δὲ ὡς κράτιστος σοφιστῶν, τὸ μὲν ἁπάντων ᾀδόντων, ἐμοῦ δὲ τὸ δεύτερον, ὃ σὺ φαίης ἂν οὐκ εἶναι φαυλότερον. ὁρᾶν δοκῶ σε γελῶντα καὶ ἀκούειν βοῶντος καί τινα ἀφιέντος ῥήματα τῶν εἰωθότων.
Ep 391 6	οὐ γὰρ ἂν σύ γε τοῦτο τὸ μέρος ἄνευ τοῦ ταῦτα ποιεῖν ἐπέλθοις. τὸ μὲν οὖν τῆς παιδιᾶς ἐνταῦθα ὡρίσθω, πάντως δὲ δεῖ καὶ ἐπιστέλλοντι παίζειν ὡσπεροῦν συνόντι, τὴν δὲ οὖσαν αἰτίαν ὑφ’ ἧς βραδέως ἐπιστέλλω νῦν ἀποδώσω.
Ep 391 8	ᾔδειν ὅτι μέγα τι περὶ ἡμῶν ἐθελήσεις ἀκοῦσαι πρέπον μὲν τῇ πόλει, πρέπον δὲ ταῖς ἐλπίσιν, ὑφ’ ὧν κινηθεὶς ἧκον. ἕως μὲν οὖν οὔπω τοῦτο ἀπήντα, μέλλειν ᾤμην δεῖν· ἐπεὶ δὲ ἔστι τι καὶ τοιοῦτον, γράφω. τὸ μὲν γὰρ πρῶτον εἰσήλθομεν εἰς ἄνδρας οὐ πιστεύοντας ὅτι βιώσονται.
Ep 391 9	καὶ ὅπως μὴ εἴπῃς· τί οὖν εἰσῆλθε ς ; οὐ γὰρ ἀκίνδυνον ἀναστρέφει ν. ἔπειτα τοῦ φοβοῦντος ἀπελθόντος διαφυγὼν ἐγὼ θάνατον, ὃν ἀκήκοας, ἐπὶ πολλοῖς λόγοις, οὓς τὸ θέρος ἐδέξατο, διδασκαλεῖον ἀνέῳξα καὶ ὁ φθόνος ἔπνει λαμπρός.
Ep 391 10	εἰδὼς δὲ ὅτι οὐκ ἔστιν αὐτὸν ἄλλως ἢ λόγοις καταχῶσαι, τοῦ σώματος μὲν ἠμέλουν καὶ ὅσοις τοῦτο ἥδεται, χαίρειν εἴων, τοῦ δὲ ὅπως μηδὲν ἀνήσω λέγων, ἐφρόντισα. τοῖς βελτίστοις δὲ ἡμῶν πολίταις τὰ πολλὰ οὐ πολλὰ ἐδόκει, ἀλλ’ ἐγὼ μὲν αὐτοὺς ἡγούμην ἠνωχλῆσθαι, οἱ δὲ ἀγεύστοις ἐῴκεσαν.
Ep 391 11	νέοι δὲ οἱ μὲν οὔπω πρότερον ὡμιληκότες σοφισταῖς, οἱ δὲ οἷς ὡμίλουν ἀφέντες ὑφ’ ἡμῖν ἐτάττοντο, οἱ μὲν ἐνθένδε προσιόντες, οὐκ ὀλίγοι δ’ ἐπῆλθον. ἀλλ’ οὔπω πάντα εὐδαιμονία σοῦ γε ἀπόντος· οὗ παρόντος ταῦτά γε ἦν ἂν μείζω.
Ep 391 12	καὶ αὐτό γε τὸ παρεῖναί σε πάσης τῆς περὶ ταῦτα εὐπραξίας ἄμεινον. παρεμυθεῖτο δέ με τὸ κεκλῆσθαί σε πρὸς ἀρχήν, ἣ κεφάλαιον ἀρχῶν εἶναι δοκεῖ, καὶ μεγαλαυχούμεθά γε Σύροι Ῥωμαίοις παρέχοντες ἄνδρα δεινὸν κοσμῆσαι πόλεων πράγματα.
Ep 391 14	τὸ δ’ ὡς φεύγεις τοῦτον τὸν πόνον, ἀκοῦσαι μὲν ὑπῆρξέ μοι, πιστεῦσαι δὲ ἥκιστα, οὐχ ὅτι σε οἴομαι σπουδαρχίδην, ᾧ γὰρ αἱ ἀρχαὶ πενίας ἀφορμαί, πῶς ἂν τὸ ἄρχειν διώκοι; ἀλλὰ διεστάναι δή φασι τὴν Ῥώμην καὶ τοὺς πολλοὺς δυσκόλως ἔχειν πρὸς τὴν βουλήν, σὲ δὲ τοῦτο δεῖσαι λογιζόμενον, ὡς ἢ τὸν δῆμον ἢ τοὺς βελτίστους ἀνιάσεις. τοῦτον ἐγὼ τὸν φόβον οὐ πείθομαι τῆς σῆς εἶναι ψυχῆς.
Ep 391 15	καὶ γὰρ καὶ τῶν ἡνιόχων τοὺς ἄκρους ὁρῶ θαρρούντως ἀναβαίνοντας ἅρμα ἵππων ἀπειθεστέρων εἰδότας, ὡς ἰσχυροτέραν κέκτηνται τέχνην τῆς ἐκείνων κακίας. ἤδη δέ τις καὶ κυβερνήτης ἐγηγερμένης θαλάττης λύσας ἀνήχθη πιστεύων περιέσεσθαι τῇ τέχνῃ τῆς ζάλης. σὲ μὲν οὖν ἵλεως πέμψειε βασιλεύς, ἵλεως δὲ Ἀθηνᾶ δέξαιτο καὶ μετὰ ταῦτα ἡμεῖς λαμπρὸν ἀπὸ λαμπρῶν ἔργων· ἐμὲ δὲ ἕλκει πάλιν ἡ πόλις ἡ παρόντι μὲν οὐ χρωμένη, ζητοῦσα δὲ ἀπόντα.
Ep 391 17	σὺ δ’ ὅ τι ἂν ἔχῃς βοήθει καὶ παῦε τὸν θυμὸν καὶ ὡς ἀρρωστῶ λέγε. καὶ οὐ ψεύσῃ λέγων· φάρμακά τε γὰρ πεπώκαμεν, ἃ ἐν μεγίστῳ κακῷ πίνεται φλέβα τε ἐτμήθην οὐκ εἰωθώς, ὃ προσιοῦσαν ἐκώλυσε τὴν τελευτήν. Φιλίππῳ.
Ep 392 1	Ὅτι τε ἐπέστειλας ἡμῖν ἥσθην καὶ ὅτι τὰ τοιαῦτα δι’ ἡμῶν καθίστασο· πιστεύοντος γὰρ ἦν φιλεῖσθαι καὶ ἐγνωκότος φιλεῖν. ἐγὼ δὲ τήν τε ἐπιστολὴν ἀνέγνων αὐτῷ καὶ ἡδόμενον ἑώρων καὶ πρὸς γράμματα ὡρμηκότα.
Ep 392 2	ἃ κεκώλυκε μὴ γενέσθαι θόρυβός τις ἐμπεσὼν καὶ πείσας αὐτῷ προσέχειν, ἥξει δέ σοι ταῦτα, ἐπειδὰν ἐκεῖνος παρέλθῃ. Ὑγιεινῷ.
Ep 393 1	Ἔμελλεν ἄρα ὁ περὶ τῆς κεφαλῆς μοι λόγος, ὃν ἐπλαττόμην, εἰς ἔργον ἥξειν παιδεύοντος, οἶμαι, τοῦ θεοῦ μὴ τὰ τοιαῦτα κομψεύεσθαι. ὡς γὰρ ἀφικόμην, ἡμέρᾳ δεκάτῃ μοι προσέβαλεν ἴλιγγος καὶ παρῄνει Δαμάλιος πίνειν φάρμακον. ἐγὼ δὲ οὐκ ἐνεγκὼν αὐξῆσαι ἐν τῷ θέρει τὸ κακὸν τοῦ φθινοπώρου πίνω Μαρκέλλου δόντος ἱερὰν αὐτήν, οἶμαι, καλεῖτε.
Ep 393 2	καὶ ἔπινον ἐκείνης, ἧς γευομένων ἑτέρων ἐταραττόμην, καὶ τοσαύτην ἐπικουρίαν δεξάμενος μετὰ φόβου θαυμαστοῦ τὸν χειμῶνα διῆλθον Ὀλυμπίου τὸ πεπωκέναι τε ἐπαινοῦντος καὶ κελεύοντος αὖθις ἦρι πιεῖν. ἄρτι δὲ ὑπολάμποντος πόνος ἰσχυρὸς προσέπεσε τοῖς νεφροῖς βρόχον ἀναγκάζων ζητεῖν.
Ep 393 3	ἔπειτα μῆνα διαλιπὼν προσέπεσε πικρότερος καὶ ἐποίησεν ἀνάγκην πράγματος, ὃ διετέλουν ἀναβαλλόμενος. Πανόλβιος γὰρ τῶν ἄλλων ἐλαίῳ τὰς ἀλγηδόνας ἀξιούντων κοιμίζειν τέμνει μοι φλέβα, καὶ ῥᾴων μὲν εὐθὺς ἐγενόμην, θαρρεῖν δὲ ὑπὲρ τοῦ παντὸς οὐκ ἔχω. τῷ τοίνυν ἐνταῦθα ὄντι κακῶν, πῶς ἂν ταῦτα διαφύγοι, λέγε.
Ep 393 4	σοφιστὰς δὲ ἑτέρωθεν μεταπέμπου. καὶ ὥσπερ ἐγὼ σὲ βούλομαι παρεῖναι τῷ βασιλεῖ, οὕτως ἐμὲ σὺ νοσεῖν παρὰ τοῖς οἰκείοις, ἐπειδὴ νοσεῖν ἀνάγκη. Ἀραβίῳ.
Ep 394 1	Παρὰ Ἀπελλίωνι τῷ χρηστῷ περὶ ὧν ἀδικεῖσθαι φῂς ἀγωνιῇ, τοῦτον γὰρ ἀπέδειξέ σοι δικαστὴν ὁ γενναῖος Στρατήγιος. ὁ δὲ ἀνὴρ πολίτης τε ἐμὸς καὶ διδοὺς ἡμῖν σεμνύνεσθαι· οὕτω καλός τε κἀγαθὸς εἶναι βούλεται. μαθὼν δὲ παρ’ ἡμῶν, ὅστις εἴης πρὸς ἡμᾶς, ἐκέλευσε γράψαι, καὶ ὑπήκουσα ἄσμενος νομίζων ἔσεσθαι καὶ σοὶ καὶ τοῖς σοῖς καταφυγὴν τὴν Ἀπελλίωνος γνώμην.
Ep 394 3	περὶ δὲ τῆς δίκης ὡδί σε χρὴ φρονεῖν· εἰ μὲν ἀδικεῖς, οὐδεὶς οὕτως αἰδέσιμος τῷ δικαστῇ, δι’ ὃν οὐ δώσεις δίκην· εἰ δὲ παρὰ σοὶ τοῦ δικαίου τὸ μέρος, οὐδεὶς οὕτω σοι δυσμενὴς δυνατός, δι’ ὃν οὐ λήψῃ δίκην. Ἀνθίῳ.
