Strategicon
Στρατηγικόν
by Pseudo-Maurice the Tactician
eul_wid: vvi-aa    eul_aid: vvi

Period   Late Antique
Dialect  Technical Koine
Domain   Science
Format   Treatise

The Strategicon is a comprehensive military manual written in Koine Greek during the late 6th or early 7th century CE. Although traditionally credited to the Byzantine Emperor Maurice, modern scholars often attribute it to an anonymous author or committee writing under his authority, leading to the designation "Pseudo-Maurice." The work is a practical guide organized into twelve books containing 691 passages. It systematically covers cavalry and infantry tactics, drill, formations, logistics, and the organization of the army. A significant feature is its detailed analysis of the empire's various enemies—including Persians, Avars, Slavs, and Franks—describing their tactics and advising on tailored counter-strategies. Unlike earlier classical theorists, the Strategicon reflects the realities of its time, emphasizing the central role of heavy cavalry and combined-arms warfare.

The manual was composed during a period of intense military pressure on the Byzantine Empire, and it is thought to have been written to standardize doctrine and improve the effectiveness of commanders. The complete text survives through a relatively strong manuscript tradition, with the oldest copy dating from the 11th century. Its practical approach made it highly influential, serving as a foundational reference for later Byzantine military writings and impacting neighboring cultures through translations like the Old Slavonic version.

Text
----

pin 1 t	ΛΟΓΟΣ Αʹ. ΕΙΣΑΓΩΓΗ. ΚΕΦΑΛΑΙΑ ΤΟΥ ΠΡΩΤΟΥ ΛΟΓΟΥ Αʹ.
2 12 3	ὅταν δὲ οἱ ἐχθροὶ ἐγγίσωσι καὶ λοιπὸν φαινομένης τῆς δευτέρας οὐ φθάσουσιν ἁρμόσασθαι, τότε ἐπιφαίνεσθαι καὶ ἕως τεσσάρων σαγιττοβόλων ἐγγίζειν τῇ πρώτῃ καὶ κανονίζειν αὐτήν. οὐδὲ γὰρ μήκοθεν πολὺ θέλει εἶναι τῆς πρώτης ἐν καιρῷ τῆς συμβολῆς, ἵνα μὴ ἀβοήθητον αὐτὴν ποιήσῃ, οὐδὲ πολὺ ἐγγύς, ἵνα μὴ συμφύρηται τῇ πρώτῃ ἐν ταῖς συμβολαῖς, κονιορτοῦ μάλιστα κινουμένου, καὶ πρὸ τοῦ διαλυθῆναι τοὺς πολεμίους κατὰ τῆς διώξεως τῆς πρώτης εὑρηθῇ καὶ ἡ δευτέρα συμβαλοῦσα ἔτι ἐν τῇ ταραχῇ εὑρισκομένης τῆς πρώτης τάξεως καὶ μὴ συνελθεῖν αὐτῇ δυναμένης. Τὰ δὲ τάγματα ὄπιθεν τῶν ἄκρων τῆς δευτέρας ἑκατέρωθεν τασσόμενα δεῖ ὡς ἀπὸ ἑνὸς σαγιττοβόλου αὐτῶν εἰς νωτοφυλακὴν ταῦτα ποιεῖν καὶ οὕτως ἀκολουθεῖν.
2 13 t	Περὶ μέτρου καὶ διαφορᾶς βάνδων. Περὶ δὲ τῶν βάνδων ἤτοι τῶν σημείων αὐτῶν χρὴ ἐν ἑκάστῳ μέρει τὰ μὲν τῶν ταγμάτων μικρότερα εἶναι καὶ εὐμετακόμιστα· οὐκ οἴδαμεν γὰρ διὰ ποίαν αἰτίαν ἐφεύρηται τέλεια καὶ δυσμετακόμιστα.
2 13 1	ἐν μόνοις δὲ τοῖς φλαμούλοις αὐτῶν ἔχειν τὸ διάλλαττον. τὰ δὲ τῶν μοιραρχῶν τελειότερα καὶ ἐξηλλαγμένα, ὁμοίως δὲ καὶ τὰ τῶν μεραρχῶν πρὸς τὰ τῶν ὑπ’ αὐτοὺς μοιραρχῶν ἐνηλλαγμένα. Δεῖ δὲ καὶ τὸ τοῦ ὑποστρατήγου βάνδον διαφορὰν πατὰ 〈τὰ〉 τῶν μεραρχῶν ἔχειν, ὥσπερ οὖν καὶ τὸ τοῦ στρατηγοῦ ἐπηλλαγμένον καὶ διαφανὲς παρὰ τὰ ἄλλα πάντα καὶ πᾶσιν εὔγνωστον, ἐφ’ ᾧ ἐν δευτέρᾳ τύχῃ πρὸς αὐτὸ βλέποντας εὐκόλως, ὡς ἐλέχθη, συνάγεσθαι καὶ ἑαυτοὺς ἀνακαλεῖσθαι. Περὶ φυλακῆς βάνδων.
2 14 1	Πάντων δὲ τῶν βάνδων ἰσομετώπων ἐν τάξει ἱσταμένων, ὡς δηλοῖ ἡ καταγραφή, δέον ἐκ τῶν περὶ αὐτὰ τασσομένων τοὺς γενναιοτέρους, κἂν δεκαπέντε ἢ καὶ εἴκοσι ἄνδρας, ἀφορίσαι ἐπὶ τῇ ἑκάστου αὐτῶν φυλακῇ καὶ δηφενσιῶνι. Περὶ στάσεως ἀρχόντων.
2 15 1	Ἀσφαλῶς δὲ χρὴ καὶ τοὺς ἄρχοντας 〈τοὺς μείζονασ〉 τάσσεσθαι εἰς τὸ μὴ προπετευομένους ἐν ταῖς μάχαις διαπίπτειν καὶ ἐντεῦθεν ὀλιγωρίαν τοῖς στρατιώταις ἐγγίνεσθαι. Ἐκ μὲν γὰρ τῶν μικροτέρων ἀρχόντων, εἰ συμβῇ παραπεσεῖν τινα, οὐδενὶ εὐκόλως γινώσκεται, εἰ μὴ τοῖς τοῦ ἰδίου τάγματος· εἰ δέ τις τῶν ἐμφανῶν διαπέσῃ, ἢ τοῖς πᾶσιν ἢ τοῖς πολλοῖς δηλούμενος ὁ θάνατος αὐτοῦ ὀλιγωρίαν τῷ ὅλῳ στρατῷ εἰσάγει. Διὸ χρὴ τόν τε ὑποστράτηγον καὶ τοὺς μεράρχας μέχρι μὲν ἀπὸ ἑνὸς ἢ δύο σαγιττοβόλων τῆς τῶν ἐχθρῶν παρατάξεως ἰσομετώπους τάσσεσθαι μετὰ τῶν βάνδων καὶ ἐπιβλέπειν καὶ ἁρμόζειν τὴν τάξιν.
2 15 2	Ὅταν δὲ μέλλῃ συμβολὴ γίνεσθαι, ἐκ τῶν ἰδικῶν αὐτῶν ἀνθρώπων τοὺς γενναιοτέρους εἰς 〈τὸ〉 πλάγιον αὐτῶν τασσομένους προέρχεσθαι εἰς ὄψιν αὐτῶν καὶ σκέπειν αὐτοὺς κἀκείνους μᾶλλον χεῖρας μιγνύειν. Τὸν μέντοι στρατηγόν, μέχρι μὲν ὁ καιρὸς τῆς συμβολῆς γίνεται, τάσσειν καὶ ἐπιβλέπειν καὶ ἁρμόζεσθαι τῇ τῶν ἐχθρῶν κινήσει, τότε δὲ ἐν τῷ ἰδικῷ αὐτοῦ ἔρχεσθαι τάγματι, ὅπερ οὐ πρὸς μάχην, ἀλλὰ πρὸς σκοπόν τινα καὶ κανόνα τῆς πρώτης καὶ δευτέρας τάξεως τέτακται, τουτέστιν ἐν τῷ μέσῳ χωρίῳ τῆς δευτέρας τάξεως.
2 16 t	Περὶ βουκίνων. Βούκινα δὲ πολλὰ λαλεῖν ἤτοι κινεῖν ἐν καιρῷ μάχης οὐ συμβουλεύομεν, ἵνα μὴ ἐντεῦθεν θόρυβός τις καὶ σύγχυσις γένηται καὶ μηδὲ τὰ παραγγελλόμενα ἐξακούεσθαι δεόντως δύναται.
2 16 1	ἀλλ’ εἰ μὲν ὁ τόπος ὁμαλὸς εὑρεθῇ ἀρκεῖ τὸ βούκινον τὸ τοῦ μέσου μέρους ἐν ἑκάστῃ παρατάξει· εἰ δὲ ἀνώμαλός ἐστιν ἢ ἄνεμος ὡς εἰκὸς ταραχώδης κινούμενος ἢ ἦχος ὕδατος παρεμποδίζει τῇ φωνῇ τοῦ καθαρῶς διακούεσθαι, οὐκ ἄτοπον τότε καὶ ἐν τοῖς λοιποῖς μέρεσιν ἓν βούκινον ἐν ἑκάστῳ 〈μέρει〉 λαλεῖν, ὥστε τρία λαλεῖν ἐν ὅλῃ τῇ παρατάξει. ὅσον γὰρ ἡσυχία φυλάττεται, τοσοῦτον καὶ οἱ νεώτεροι ἀτάραχοι καὶ τὰ ἄλογα 〈ἄπτυρτα〉 γίνονται καὶ ἡ τάξις φοβερωτέρα τοῖς ἐχθροῖς φαίνεται καὶ τὰ μανδάτα εὐκόλως γινώσκονται. Διὸ οὐδὲ τὴν οἱανοῦν φωνὴν ἀκαίρως δεῖ ἀφίεσθαι μετὰ τὸ κινῆσαι τὴν παράταξιν ἐπὶ πόλεμον. Περὶ τῆς φωνῆς τῆς ἐν τῇ συμβολῇ λεγομένης ποτέ.
2 17 1	Περὶ δὲ τῆς φωνῆς τῆς κατὰ συνήθειάν ποτε λεγομένης ἐν τῷ καιρῷ τῆς συμβολῆς, τουτέστι τὸ nobiscum, πάνυ ἡμῖν ἀσύμφορον καὶ ἐπιβλαβὲς φαίνεται καὶ πρόφασιν γίνεσθαι διαλύσεως τῇ παρατάξει τὸ κατ’ ἐκείνην τὴν ὥραν ταύτην κράζεσθαι. συμβαίνει γὰρ δι’ αὐτῆς τοὺς μὲν δειλοτέρους τῶν στρατιωτῶν εἰς μείζονα ἀγῶνα ἐμπίπτοντας ἐναπομένειν πρὸς τὴν ὁρμήν, τοὺς δὲ θρασυτέρους πρὸς ὀργὴν διεγειρομένους προπετεύεσθαι καὶ ἐξέρχεσθαι τῆς τάξεως. Ὁμοίως δέ ἐστι κατανοῆσαι καὶ ἐπὶ αὐτῶν τῶν ἵππων· διαφορὰ γὰρ καὶ ἐν αὐτοῖς ἐστιν. Ἐντεῦθεν οὖν ἄνισον καὶ ἀσύμφορον, μᾶλλον δὲ καὶ διαλελυμένην εὑρίσκεσθαι συμβαίνει πρὸ τῆς συμβολῆς τὴν παράταξιν, ὅπερ ἐστὶν ἐπικίνδυνον. ἀλλὰ δεῖ τὴν μὲν εὐχὴν γίνεσθαι ἐν ἐκείνῃ μάλιστα τῇ τοῦ πολέμου ἡμέρᾳ ἐν τῷ φοσσάτῳ, πρὶν ἤ τινα τῆς πόρτας ἐξελθεῖν, διά τε τῶν ἱερέων καὶ τοῦ στρατηγοῦ καὶ τῶν λοιπῶν ἀρχόντων τὸ «Κύριε, ἐλέησον» ἐπιμόνως πάντας λέγειν, εἶτα διὰ τὸ αἴσιον καὶ τὸ nobiscum Deus τρίτον ἕκαστον μέρος ἐξερχόμενον τοῦ φοσσάτου.
2 17 3	ἅμα δὲ τῷ ἐξελθεῖν τοῦ φοσσάτου τὸν στρατὸν ἐπὶ τὴν μάχην παντοίαν ἡσυχίαν ἄγειν καὶ μὴ ἀκαίρως φθέγγεσθαι. Τοῦτο γὰρ καὶ τὸν στρατὸν πλέον ἀτάραχον φυλάττει καὶ τὰ τῶν ἀρχόντων μανδάτα εὐπαράδεκτα ποιεῖ. Τὸ γὰρ μέτρον τῆς συμβολῆς αὐτὸ τὸ πρᾶγμα δοκιμάζει καὶ ἡ σφίγξις ἡ δέουσα καὶ ἡ τῶν ἐχθρῶν παρουσία.
2 17 5	Καὶ ἄλλου σημείου χρεία, ὅταν μέντοι εἰς χεῖρας ἔλθῃ ὁ στρατός, τότε ἀλαλάζειν ἢ ὠρυᾶσθαι, καὶ μάλιστα τοὺς ὄπιθεν τασσομένους πρὸς κατάπληξιν τῶν ἐχθρῶν καὶ διανάστασιν τῶν ἰδίων οὐκ ἄτοπόν ἐστιν. Περὶ καντατόρων.
2 18 1	Ἐπιτήδειον δὲ ἡμῖν φαίνεται καὶ τὸ τῶν καντατόρων ἔργον, ὥστε πρὸ τῆς συμβολῆς τινα λέγειν αὐτοὺς προτρεπτικὰ καὶ ἀναμιμνήσκοντα τοὺς στρατιώτας προλαβουσῶν ἐπιτυχιῶν. Τούτων οὕτως εἰρημένων δεῖ τάξαι καὶ γυμνάσαι ἕκαστον τάγμα. Περὶ διπλῶν βάνδων.
2 19 1	Ἐπειδὴ δὲ κατανοοῦμεν τοὺς στοχασμοὺς τῆς ποσότητος τοῦ στρατοῦ ὑπὸ τῶν ἐναντίων διὰ τοῦ ἀριθμοῦ ὡς ἐπίπαν τῶν βάνδων γίνεσθαι, ἀναγκαῖον λογιζόμεθα δύο ὅμοια εἶναι βάνδα καθ’ ἕκαστον τάγμα· ἓν μὲν τὸ αὐθεντικόν, τὸ ὀφεῖλον ἐπ’ ὀνόματι εἶναι τοῦ κόμητος ἤτοι τριβούνου ἑκάστου τάγματος, ἕτερον δὲ τοῦ ἑκατοντάρχου, τοῦ λεγομένου ἰλάρχου, ἐφ’ ἃ ἐξ ἴσης μοίρας ἑκάτερα τὰ βάνδα ἔχειν καὶ ἑκάτερα βαστάζεσθαι μέχρι τῆς ἡμέρας τοῦ πολέμου. Κατ’ αὐτὴν δὲ τὴν ἡμέραν τῆς συμβολῆς τὰ αὐθεντικὰ καὶ μονόβανδα ὑψοῦσθαι, ὥστε μὴ πολλῶν βάνδων ὀρθουμένων φύρσιν ἀπαντᾶν καὶ ἀνεπίγνωστα γίνεσθαι τοῖς ἰδίοις αὐτῶν. Ἐντεῦθεν γὰρ δυνατόν ἐστι καὶ πολὺν στρατὸν φαίνεσθαι ἐκ τοῦ ἀριθμοῦ τῶν βάνδων καῖ τῇ ἡμέρᾳ τοῦ πολέμου τὰ αὐθεντικά, ὡς εὐεπίγνωστα, φαίνεσθαι. Χρὴ τὰ τάγματα τὰ πολὺ ὀλιγώτερα σώματα ἔχοντα μὴ συγχωρεῖν ἐν δημοσίᾳ παρατάξει βάνδα ἀνορθοῦν, ἀλλ’ ὑπὸ ἕτερα βάνδα καθιστᾶν αὐτά, ἵνα μή, ὡς μικρὰ ὄντα, ἀδυνάτως ἔχωσιν ἐκδικεῖν τὰ βάνδα αὐτῶν καὶ φύρσιν προσάγωσι τῷ μέρει, ὡς πολλῶν σημείων τασσομένων ἐν αὐτῷ.
2 19 2	ἀλλ’, ὡς εἴρηται, κανονίσαι, ἵνα μηδὲ τῶν διακοσίων ἀνδρῶν ἔλαττον ἔχῃ ἕκαστον βάνδον, μηδὲ τῶν τετρακοσίων πλέον. ΛΟΓΟΣ Γʹ ΠΕΡΙ ΣΤΑΣΕΩΣ ΤΑΓΜΑΤΟΣ ΚΕΦΑΛΑΙΑ ΤΟΥ ΤΡΙΤΟΥ ΛΟΓΟΥ Αʹ.
3 pin 1	Γνῶσις σημείων δηλούντων τὴν τοῦ τάγματος στάσιν. Βʹ. Στάσις τάγματος ὡς ἐν ὑποθέσει ἀνδρῶν τριακοσίων δέκα. Γʹ. Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν ἡ σφίγξις γίνηται. Δʹ. Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν καὶ οὐρὰν ἡ σφίγξις γίνηται. Εʹ. Περὶ γυμνασίας τάγματος. Πῶς δεῖ γυμνάζειν αὐτό; ϛʹ. Στάσις μέρους. Γνῶσις σημείων δηλούντων τὴν στάσιν τοῦ μέρους καὶ τῶν ἐν αὐτῷ. Ζʹ. Γνῶσις σημείων δηλούντων τὴν στάσιν τῆς πρώτης καὶ δευτέρας τάξεως. Ηʹ. Πῶς δεῖ τάσσεσθαι τὴν πᾶσαν παράταξιν, ἐὰν ἀνάγκη γένηται καὶ τὸν τοῦλδον συντάσσεσθαι αὐτῇ; Θʹ. Μέρος ἕν. Ιʹ. Στάσις συμμέτρου στρατοῦ. ΙΑʹ. Περὶ μανδάτων καθολικῶν. ΙΒʹ. Περὶ μανδάτων τῶν τῆς πρώτης τάξεως διδομένων. ΙΓʹ. Περὶ μανδάτων τῶν τοῖς πλαγιοφύλαξι διδομένων. ΙΔʹ. Περὶ μανδάτων τῶν τοῖς ὑπερκερασταῖς διδομένων. ΙΕʹ. Περὶ μανδάτων τῶν τῇ δευτέρᾳ τάξει διδομένων. Ιϛʹ. Περὶ μανδάτων διδομένων τοῖς εἰς ἐνέδραν ἀπερχομένοις. Περὶ στάσεως ταγμάτων.
3 1 1	Γνῶσις σημείων δηλούντων τὴν τοῦ τάγματος στάσιν. Τ Ρ τὸ βάνδον Χ ὁ τοῦ τάγματος ἄρχων Β ὁ βουκινάτωρ Κ Π ὁ τὴν κάππαν βαστάζων Ρ Χ ὁ ἑκατοντάρχης ἢ ἰλάρχης Ι Χ ὁ δεκάρχης, κοντὸν μετὰ σκούτου Κ Χ ὁ πεντάρχης, κοντὸν μετὰ σκούτου Κ Γ ὁ τρίτος τῆς ἀκίας, τοξότης δίχα σκούτου Κ Δ ὁ τέταρτος τῆς ἀκίας καὶ οὐραγός, τοξότης μετὰ σκούτου Κ Ε ὁ πέμπτος τῆς ἀκίας, τοξότης δίχα σκούτου Κ ὁ καβαλλάρις ἤτοι στρατιώτης, μετὰ σκούτου, εἰ οἶδεν ἕκαστος τρακτεύειν Στάσις τάγματος ὡς ἐν ὑποθέσει ἀνδρῶν τριακοσίων δέκα.
3 2 t	Σχῆμα τάγματος, ὅταν ταξάμενον ἄρχηται τῆς ἐπὶ τὴν μάχην ὁδοῦ. Χρείαν γὰρ ἔχει ἀριστερᾶς περιπατεῖν, ἵνα μὴ στενοχωρούμενοι οἱ καβαλλάριοι ὑπ’ ἀλλήλων συντρίβωνται πρὸ τῆς μάχης, οὕτω μέντοι, ὥστε δύνασθαι ἕκαστον αὐτῶν ἀνεμποδίστως βουλόμενον τὸν ἑαυτοῦ περιστρέφειν ἵππον. Καὶ παραγγέλλειν· largiter ambla. Καὶ περιπατοῦντες ἀνετῶς κινοῦνται κατὰ τῶν ἐχθρῶν, ὡς δηλοῖ ἡ καταγραφή. [Omitted graphic marker] Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν ἡ σφίγξις γένηται.
3 3 1	Ὅταν ἐχθρῶν ἀφ’ ἑνὸς μιλίου φθασόντων δόξῃ κατὰ πλευρὰν τὴν σφίγξιν γίνεσθαι, παραγγέλλει· ad latus stringe! Καὶ σφιγγομένων τῶν ἐν αὐτοῖς καβαλλαρίων κατὰ πλευρὰν περιπατοῦσιν εἰς ἀπαντὴν τῶν ἐχθρῶν, ὡς δηλοῖ ἡ ὑποκειμένη καταγραφή. [Omitted graphic marker] Σχῆμα τοῦ αὐτοῦ τάγματος, ὅταν κατὰ πλευρὰν καὶ οὐρὰν ἡ σφίγξις γίνεται.
3 4 1	Ὅταν ἐγγίσῃ τῇ τῶν ἐχθρῶν παρατάξει ἀπὸ τριῶν ἢ τεσσάρων σαγιττοβόλων καὶ δόξῃ κατὰ πλευρὰν καὶ οὐρὰν σφιγχθῆναι αὐτό, ὡς καὶ ἡ χρεία ἀπαιτεῖ, παραγγέλλει· iunge! Καὶ σφιγγομένων κατ’ ὀλίγον ἐν τῷ περιπατεῖν τῆς τοξείας ἀρχομένης γίνεσθαι ἡνωμένων καὶ πεπυκνωμένων πάντοθεν συμβαλεῖ, ὡς δηλοῖ ἡ ὑποκειμένη καταγραφή. [Omitted graphic marker] Περὶ γυμνασίας τάγματος.
3 5 t	Πῶς δεῖ γυμνάζειν αὐτό; Τοῦ βάνδου συντεταγμένως ἱσταμένου δεῖ τὸν μανδάτορα παραγγέλλειν οὕτως· Silention! Nemo demittat, nemo anteceda bandum 〈,donec sequis inimicum〉! Si venias e recta facie, bandum capta! Ipso seque cum bando! Milix, talis est comodu miles barbatu! Si vero bandum demittes, eo modu non servies! Serva, milix, ordinem pos deum ipsa te ! Serva et tu, bandifer, sive pugnas, sive seque inimicum! Si venias e recta facie, non forte minare, ut nec sparges tu suum ordinem! Ἔστι δὲ καὶ ἡ καθ’ ἑαυτὴν τοῦ τάγματος γυμνασία αὕτη· κινεῖν καὶ ἵστασθαι σημείῳ ἢ συντεταγμένως ἢ ἀπὸ δρόμου.
3 5 2	Καὶ εἰ μὲν θέλει κινῆσαι, σημαίνει τῇ φωνῇ· move! ἢ τῷ βουκίνῳ ἢ νεύματι φλαμούλου. καὶ κινεῖ. Εἰ δὲ στῆναι, σημαίνει ἢ τῇ φωνῇ· sta! ἢ τῷ ἤχῳ τοῦ σκουταρίου ἢ τῇ χειρὶ νεύει ἢ τῇ τούβᾳ. καὶ ἵσταται. Ἴσως περιπατεῖν, ἐν ἀραιοτέροις πρῶτον διαστήμασι· καὶ παραγγέλλει· equaliter ambula! Σφίγγεσθαι κατὰ πλευρὰν μάλιστα δεόντως καὶ κατ’ οὐράν, ὡς δηλοῦσιν αἱ προκείμεναι καταγραφαί.
3 5 4	Καὶ παραγγέλλει· ad latus stringe! τουτέστι δεκάρχαι· ad decarchas! πεντάρχαι· ad pentarchas! τετράρχαι· ad tetrarchas! Καὶ σφίγγονται πάντες πλευρὰν πρὸς πλευρὰν ἐγγίσοντες, μὴ καθ’ ἑνὸς μέρους, ἀλλ’ ἐπὶ τὸν μέσον τόπον, τουτέστι τὸν βανδοφόρον, ἑκατέρωθεν συννεύοντες, ὅπερ δεῖ καὶ ἐπὶ τῶν μερῶν γίνεσθαι· συντόμως γὰρ ἡ τοιαύτη καὶ εὐτάκτως γίνεται σφίγξις. Ὥσπερ δὲ οἱ δεκάρχαι ἰσοῦνται, οὕτως χρὴ καὶ τοὺς τετράρχας ἤτοι οὐραγοὺς ἰσοῦσθαι· αὐτῶν γὰρ σφιγγομένων κατὰ λόγον, κἂν λειποτακτήσωσιν ἐν ταῖς συμβολαῖς οἱ ἔμπροσθεν, κωλύονται ὑπ’ αὐτῶν εἰς τὰ ὀπίσω τρέπεσθαι. 〈.
3 5 5	.. καὶ παραγγέλλει〉· iunge! Καὶ σφίγγονται κατ’ οὐρὰν συμβάλλειν. Καὶ μετὰ τὴν ἀκριβῆ πύκνωσιν τῆς κατὰ πλευρὰν μάλιστα σφίγξεως ἐν τῷ περιπατεῖν πεπυκνωμένους, ὅταν ἡ τοξεία ἄρχεται γίνεσθαι, παραγγέλλει· percute! Καὶ ἐπικλινομένων τῶν δεκαρχῶν καὶ πενταρχῶν ἐπὶ τὰ ἔμπροσθεν καὶ σκεπόντων τὰς ἑαυτῶν κεφαλὰς καὶ μέρος τῶν τραχήλων τῶν ἵππων μετὰ τῶν σκουταρίων αὐτῶν καὶ τοὺς κοντοὺς ἀναβασταζόντων ἐπὶ τοὺς ὤμους, ὡς τὰ ξανθὰ ἔθνη, καὶ ὑποκρυπτόντων τοῖς σκουταρίοις ἐπελαύνειν εὐτάκτως τριπόδῳ μόνῳ καὶ μὴ βιαίως, ἵνα μὴ τῇ ὀξύτητι τῆς ἐλασίας διαλυθῇ ἡ τάξις πρὸ μίξεως χειρῶν, ὅπερ ἐστὶν ἐπικίνδυνον.
3 5 6	τοὺς δὲ ὄπισθεν, ὅσοι τοξόται εἰσίν, τοξεύειν. Ἐπιδιώκειν ὅτε σὺν ἐλασίᾳ ὡς κούρσορας, ὅτε συντεταγμένως ὡς δηφένσορας.
3 5 7	Καὶ εἰ μὲν ὡς κούρσορας, παραγγέλλει· curso mina! Καὶ ἕως ἑνὸς σημείου ἀκολουθεῖν σὺν ἐλασίᾳ· ἐὰν δὲ ὡς δηφένσορας, cum ordine seque! Καὶ ἀκολουθεῖν συντεταγμένως. Ὑποχωρεῖν ὀλίγον καὶ πάλιν ἀντιστρέφεσθαι.
3 5 8	Καὶ ὅτε μὲν θέλει ὑποχωρῆσαι ὁ κούρσωρ, κράζει· cede! Καὶ ὑποχωρεῖ 〈σὺν〉 ἐλασίᾳ ὡς ἓν ἢ δεύτερον σαγιττοβόλον ἐπὶ τοὺς δηφένσορας. Καὶ πάλιν κράζει· torna, mina! Καὶ ἀνθυποστρέφουσιν ὡσανεὶ κατὰ τῶν ἐναντίων. Καὶ τοῦτο ποιεῖν πολλάκις, μὴ μόνον ἐπὶ τὰ πρόσωπα, ἀλλὰ καὶ δεξιὰ καὶ ἀριστερά, καὶ πάλιν ὡσανεὶ ἐπὶ τὴν δευτέραν τάξιν. Καὶ ὅτε μὲν ἐν αὐτῷ διαλείμματι ταύτης, ὅτε δὲ ἐν τῷ μεταξὺ αὐτῆς ἐξελίσσεσθαι καὶ ἅμα δρουγγιστὶ ὁρμᾶν κατὰ τῶν ἐχθρῶν. Ἐν δὲ ταῖς γυμνασίαις κοντοὺς ἄνω βασταζομένους ἔχειν καὶ μὴ εἰς πλάγιν, ἵνα μὴ οἱ ἵπποι ἐν τῇ ἐλασίᾳ ἐμποδίζωνται. Μετατίθεσθαι συντεταγμένως ἀριστερὰ καὶ δεξιά, ὅπερ ἁρμόζει πλαγιοφύλλαξι καὶ ὑπερκερασταῖς.
3 5 9	Καὶ 〈εἰ μὲν ἀριστερὰ μετατίθεσθαι βούλεται,〉 παραγγέλλει· depone senestra! εἰ δὲ δεξιά· depone dextra! Καὶ μετατίθεται, εἰ μὲν ἓν βάνδον ἐστί, τὸ ἕν, εἰ δὲ πλείονα, ὁμοίως τοῦ ἑνὸς μετατιθεμένου καὶ τὰ λοιπὰ ὁμοίως καθ’ ἓν βάνδον ποιοῦσιν. Μεταλλάσσεσθαι, ὅταν μὲν ἐν οἷς ἵστανται τόποις, ὅταν δὲ καὶ τὸ μέτωπον τῆς παρατάξεως ἀλλάσσοντες.
3 5 10	Εἰ μὲν γὰρ αἰφνιδιασμός τις γένηται ὑπὸ ἐχθρῶν κατὰ νώτου ἐπιφερομένων, παραγγέλλει· transfurma! Καί, ὡς ἵστανται ἐν τοῖς τόποις αὐτῶν, ἐπὶ οὐρὰν βλέπουσι τῶν βανδοφόρων μόνων μετὰ τῶν ἀρχόντων εἰς τὸ κατ’ οὐρὰν μέτωπον ἐρχομένων. Εἰ δὲ πλῆθος ἐχθρῶν ἐπιφανῇ ὄπιθεν, τὸ transmuta! λέγεται, καὶ κατὰ βάνδον μετατίθενται. Ὅτι οὐ μόνον, ὡς ἡ καταγραφὴ δηλοῖ, ἐπὶ μῆκος ὀρδινεύειν καὶ γυμνάζειν ἀναγκαῖόν ἐστι τὸ τάγμα—τοῦτο γὰρ πρὸς μόνην συμβολὴν καὶ ὤθησιν χρήσιμον τυγχάνει—, ἀλλὰ καὶ δρουγγιστὶ τάσσειν καὶ ἐξελαύνειν ἐπ’ εὐθείας καὶ κύκλους διαφόρους, πρῶτον μὲν διὰ τὰς ὑποχωρήσεις καὶ ἀντιστροφάς, εἶτα διὰ τὰς αἰφνιδίους κατὰ τῶν ἐχθρῶν ἐφόδους, λοιπὸν δὲ καὶ διὰ τὸ συντόμως τοῖς δεομένοις ἐπιβοηθεῖν.
3 5 11	Εἰ γὰρ οὕτως ἐθισθῶσι τὰ τάγματα, ἑτοίμως ἔχουσι καὶ εἰς δηφένσορας καὶ εἰς κούρσορας καὶ εἰς ἑκάστην χρείαν τάσσεσθαι. Τῆς οὖν τοιαύτης γυμνασίας κατορθωμένης εἰς τὰ πλείονα ἢ καὶ πάντα γινώσκουσιν οἱ στρατιῶται ὡς πούβλικα· διὰ τῶν εἰρημένων ἐννέα τούτων κινήσεων πρὸς πᾶσαν χρείαν ἑτοίμως καθίστανται τὰ τάγματα, εἴτε εἰς κούρσορας, εἴτε εἰς δηφένσορας, εἴτε εἰς πλαγιοφύλακας, εἴτε εἰς ὑπερκεραστὰς χρὴ ἀφορισθῆναι, ἐν συνηθείᾳ πάσης τάξεως γενομένα.
