On Human Nature and Solon's Law
Ἀποσπάσματα
by Philemon Syracusius
eul_wid: lpe-aa    eul_aid: lpe

Period   Hellenistic
Dialect  Attic Comedy
Domain   Comedy
Format   Verse

"On Human Nature and Solon's Law" is a lost comedic verse work attributed to Philemon Syracusius. Known only by its title and described as a collection of 608 passages, no substantive content or specific poetic form survives. The title suggests its thematic scope likely encompassed philosophical and social critiques, examining human nature alongside the laws and legislative legacy of the Athenian statesman Solon. The attribution to a Syracusan author hints at a potential connection to Sicilian comic traditions, positioning the work as a piece of social and ethical commentary delivered in a satirical vein. Its complete absence from standard scholarly catalogs of ancient Greek literature indicates it is entirely lost, with no documented influence on the historical record.

Text
----

book 2-3.1	ὦ πῶς
book 94.1	ἀνὴρ δίκαιός ἐστιν οὐχ ὁ μὴ ἀδικῶν, ἀλλ’ ὅστις ἀδικεῖν δυνάμενος μὴ βούλεται· οὐδ’ ὃς τὰ μικρὰ λαμβάνειν ἀπέσχετο, ἀλλ’ ὃς τὰ μεγάλα καρτερεῖ μὴ λαμβάνων,[ln_5]ἔχειν δυνάμενος καὶ κρατεῖν ἀζημίως· οὐδ’ ὅς γε
book 94.2	ταῦτα πάντα διατηρεῖ μόνον, ἀλλ’ ὅστις ἄδολον γνησίαν τ’ ἔχων φύσιν εἶναι δίκαιος κοὐ δοκεῖν εἶναι θέλει.
book 95.1	κἂν δοῦλος ᾖ τις, σάρκα τὴν αὐτὴν ἔχει· φύσει γὰρ οὐδεὶς δοῦλος ἐγενήθη
book 95.2	ποτέ [ἀπὸ τοῦ πάλαι
book 95.3	πλάσαντος ἀνθρώπων γένος. ἴσην δὲ πάντων διάθεσιν
book 95.4	τοῦ σώματος[ln_5]ἐποίησεν οὗτος ὡς ἐλευθέρου γένους. ἐλευθέρους ἐποίησε πάντας τῇ φύσει, δοῦλον δὲ μετεποίησεν ἡ πλεονεξία]. ἡ δ’ αὖ τύχη τὸ σῶμα κατεδουλώσατο.
book 96.1	νὴ τὸν Δία τὸν μέγιστον ᾤμην, Σωσία, ἐγὼ πρότερον μὲν
book 96.2	τοὺς πένητας ζῆν μόνους ὀδυνωμένους, τῶν
book 96.3	πλουσίων δὲ τὸν βίον ἱλαρόν
book 96.4	τιν’ εἶναι καὶ φέρειν εὐθυμίαν·[ln_5]νυνὶ δὲ διαφέροντα
book 96.5	τοῖς καθ’ ἡμέραν δαπανήμασιν δὴ τὸν βίον ὁρῶ μόνον, λύπας δ’ ἔχοντας μείζονας
book 96.6	τοὺς μείζονας.
book 97.1	τὸν μὴ λέγοντα τῶν δεόντων μηδὲ ἓν μακρὸν νόμιζε, κἂν δύ’ εἴπῃ συλλαβάς, τὸν δ’ εὖ λέγοντα μὴ νόμιζ’ εἶναι μακρόν, μηδ’ ἂν
book 97.2	σφόδρ’ εἴπῃ πολλὰ καὶ πολὺν
book 97.3	χρόνον.[ln_5]τεκμήριον δὲ τοῦδε τὸν Ὅμηρον λαβέ· οὗτος γὰρ ἡμῖν μυριάδας ἐπῶν γράφει, ἀλλ’ οὐδὲ εἷς Ὅμηρον εἴρηκεν μακρόν.
book 98.1	ἐγὼ τὸν ἀγρὸν ἰατρὸν ἐλελήθειν ἔχων· τρέφει γὰρ οὗτος ὥσπερ ἀρρωστοῦντά με, σιτάρια μικρὰ προσφέρων οἴνου θ’ ὅσον ὀσμήν, λαχάνου τ’ ἀεί τι καὶ νὴ τὸν Δία[ln_5]τὰ πετραῖα
book 98.2	ταῦτ’ ὀψάρια, κάππαριν, θύμον, ἀσπάραγον, αὐτὰ ταῦτα· καὶ δέδοικα μὴ λίαν ἀπισχναίνων με
book 98.3	ποιήσῃ νεκρόν.
book 99.1	ἂν οἷς ἔχομεν
book 99.2	τούτοισι μηδὲ χρώμεθα, ἃ δ’ οὐκ ἔχομεν ζητῶμεν, ὧν μὲν διὰ τύχην, ὧν δὲ δι’ ἑαυτοὺς ἐσόμεθ’ ἐστερημένοι· [εἰ δ’ εὐτυχῶν
book 99.3	τις καὶ βίον κεκτημένος[ln_5]μηδὲν δόμοισι τῶν καλῶν
book 99.4	πειράσεται, ἐγὼ μὲν αὐτὸν οὔποτ’ ὄλβιον καλῶ, φύλακα δὲ μᾶλλον
book 99.5	χρημάτων εὐδαίμονα.]
book 100.1	ὅταν δὲ παρατηροῦντ’ ἴδω τίς ἔπταρεν, ἢ τίς ἐλάλησεν, ἢ τίς ἐστιν ὁ προϊὼν
book 100.2	σκοποῦντα, πωλῶ τοῦτον εὐθὺς ἐν ἀγορᾷ. αὑτῷ βαδίζει καὶ λαλεῖ καὶ πτάρνυται[ln_5]ἕκαστος ἡμῶν, οὐχὶ τοῖς ἐν τῇ πόλει. τὰ πράγμαθ’ ὡς πέφυκεν οὕτω γίνεται.
book 101.1	ἐγὼ λίθον μὲν τὴν Νιόβην, μὰ τοὺς θεούς, οὐδέποτ’ ἐπείσθην, οὐδὲ νῦν
book 101.2	πεισθήσομαι ὡς
book 101.3	τοῦτ’ ἐγένετ’ ἄνθρωπος· ὑπὸ δὲ τῶν κακῶν [τῶν
book 101.4	συμπεσόντων
book 101.5	τοῦ τε
book 101.6	συμβάντος πάθους][ln_5]οὐδὲν λαλῆσαι δυναμένη
book 101.7	πρὸς οὐδένα, προσηγορεύθη διὰ τὸ μὴ φωνεῖν λίθος.
book 102.1	πρόσεστι δὲ τῷ πένητι ἀπιστία· κἂν
book 102.2	σοφὸς ὑπάρχῃ κἂν λέγῃ τι
book 102.3	συμφέρον, δοκεῖ τι
book 102.4	φράζειν
book 102.5	τοῖς ἀκούουσιν κακῶς. τῶν γὰρ
book 102.6	πενήτων πίστιν οὐκ ἔχει λόγος.[ln_5]ἀνὴρ δὲ πλουτῶν, κἂν ἄγαν
book 102.7	ψευδηγορῇ, δοκεῖ τι
book 102.8	φράζειν
book 102.9	τοῖς ἀκούουσιν ἀσφαλές.
book 103.1	ἤκουσα
book 103.2	τούτων αὐτός, οὐδὲ φύεται αὐτόματον ἀνθρώποισιν, ὦ βέλτιστε, νοῦς ὥσπερ ἐν ἀγρῷ θύμος· ἐκ δὲ τοῦ λέγειν
book 103.3	τε καὶ ἑτέρων ἀκούειν καὶ θεωρῆσαι . .[ln_5]κατὰ μικρὸν ἀεί, φασί, φύονται
book 103.4	φρένες.
book 104.1	[spk_β]τί ζῆν ὄφελος ᾧ μή ’στι τὸ ζῆν εἰδέναι; Β. ἀλλ’ οἶνος ἦν· οὐδεὶς δὲ μεθύων, ἂν
book 104.2	σκοπῇς, ὃς οὐχὶ δοῦλός ἐστι
book 104.3	τοῦ πεπωκέναι· ὅσα μ’ οὗτος ἠνάγκαζεν, ἐποίουν
book 104.4	ταῦτ’ ἐγώ.[ln_5]ὁ πονηρὸς οἶνος οὗτός ἐστι, Νικοφῶν.
book 105.1	δικαιότατον κτῆμ’ ἐστὶν ἀνθρώποις ἀγρός· ὧν ἡ φύσις δεῖται γὰρ ἐπιμελῶς φέρει, πυρούς, ἔλαιον, οἶνον, ἰσχάδας, μέλι· τὰ δ’ ἀργυρώματ’ ἐστὶν ἥ τε
book 105.2	πορφύρα[ln_5]εἰς
book 105.3	τοὺς
book 105.4	τραγῳδοὺς εὔθετ’, οὐκ εἰς τὸν βίον.
book 106.1	πολλῶν φύσει
book 106.2	τοῖς πᾶσιν αἰτία κακῶν λύπη· διὰ λύπην καὶ μανία γὰρ γίνεται
book 106.3	πολλοῖσι καὶ νοσήματ’ οὐκ ἰάσιμα· αὑτούς τ’ ἀνῃρήκασι διὰ λύπην
book 106.4	τινές,[ln_5]ἐπὰν τὸ λυποῦν
book 106.5	πλεῖον ἢ τὸ σῷζον ᾖ.
book 107.1	ἂν γνῷς τί ἐστ’ ἄνθρωπος, εὐδαίμων ἔσει. τέθνηκέ τις, μὴ δεινὸν ἔστω
book 107.2	τοῦτό σοι. κεκύηκέ τις, οὐ κεκύηκέ τις· ἠτύχηκέ τις· βήττει
book 107.3	τις· οἰμώζει
book 107.4	τις· ἡ φύσις φέρει[ln_5]ἅπαντα
book 107.5	ταῦτα. φεῦγε τὰς λύπας.
book 108.1	τί ποτ’ ἐστὶν ἆρα διότι βούλεταί μ’ ἰδεῖν; ἢ καθάπερ οἱ νοσοῦντες ἀλγοῦντες
book 108.2	σφόδρα, τὸν ἰατρὸν ἂν ἴδωσιν, οὐκ ἀλγοῦς’ ἔτι, οὕτως, ἐπάν
book 108.3	τις
book 108.4	τυγχάνῃ λυπούμενος,[ln_5]ἧττον ὀδυνᾶται, φίλον ἐὰν
book 108.5	παρόντ’ ἴδῃ;
book 109.1	ὅταν ξενισθῇς ἐν πόλει
book 109.2	πρὸς τὸν φίλον, ἐν
book 109.3	ταῖς
book 109.4	περισσαῖς καὶ πυκναῖς ὁμιλίαις, ἐὰν μεγίστην ὁ φίλος λέγῃ πόλιν, σὺ τὴν ἑαυτοῦ πατρίδα μὴ συγκρίνῃς·[ln_5]ἐχθροὺς
book 109.5	ποιοῦσι
book 109.6	τοὺς φίλους αἱ συγκρίσεις.
book 110-111.1	μὴ λύπει
book 110-111.2	σεαυτόν, τοῦτο γινώσκων ὅτι, ὅταν
book 110-111.3	ποτ’ ἀνθρώποισιν ἡ τύχη γελᾷ, πάντων ἀφορμὴ τῶν καλῶν εὑρίσκεται·[ln_5]ὅταν δὲ δυστυχῇ τις, οὐδ’ εὐφραίνεται.[ln_5]. . . . . . . . . . . . ἅπαντα νικᾷ καὶ μεταστρέφει τύχη.
book 112-113.1	ἆρ’ ἐστὶ τοῖς νοσοῦσι
book 112-113.2	χρήσιμος λόγος.[ln_1]. . . . . . . . . . . ὡς
book 112-113.3	σπληνίον
book 112-113.4	πρὸς ἕλκος οἰκείως
book 112-113.5	τεθὲν τὴν
book 112-113.6	φλεγμονὴν ἔπαυσεν, οὕτω καὶ λόγος εὔκαιρος εἰς τὰ σπλάγχνα κολληθεὶς φίλων[ln_5]εὐψυχίαν
book 112-113.7	παρέσχε τῷ λυπουμένῳ.
book 114.1	ὡς εὐφυὲς ζῷον κοχλίας, νὴ τὸν θεόν. ὅταν
book 114.2	πονηρῷ περιπέσῃ τῷ γείτονι, τὸν οἶκον ἄρας εἰς ἕτερον
book 114.3	πορεύεται, νέμεται δ’ ἀμέριμνος
book 114.4	τοὺς κακοὺς
book 114.5	φεύγων ἀεί.
book 115.1	ὃ δεῖ παθεῖν
book 115.2	σε μηδαμοῦ σκέψῃ φυγεῖν· οὐ γὰρ δυνήσῃ φεύγειν ὅ σε δεῖ παθεῖν· τὸ πεπρωμένον γὰρ οὐ μόνον βροτοῖς ἄφευκτόν ἐστιν, ἀλλὰ καὶ τὸν οὐρανόν.
book 116.1	εἴ ποτέ τις ἡμῶν εἰς τὸν ἀγρὸν ἐξιὼν μνήματα
book 116.2	παρελθὼν καὶ τάφους ἀνθρωπίνους· τούτων ἕκαστος ἔλεγεν ‘εἰς ὥρας ἐγὼ πλεύσω, φυτεύσω, τοῖχον ἄρας κτήσομαι—‘
book 117.1	ἄνθρωπος εἶ δήπουθεν, ὧν ἐστ’ οὐδὲ εἷς ᾧ μὴ κακόν
book 117.2	τι γέγονεν ἢ γενήσεται, ὁ ποιῶν δ’ ἐλάχιστον τὸ γεγενημένον . . ἀμφότερον οὗτος εὐτυχεῖ τε καὶ φρονεῖ.
book 118ab.1	θεὸν νόμιζε καὶ σέβου, ζήτει δὲ μή· πλεῖον γὰρ οὐδὲν ἄλλο
book 118ab.2	τοῦ ζητεῖν ἔχεις. εἴτ’ ἔστιν εἴτ’ οὐκ ἔστι μὴ βούλου μαθεῖν, ὡς ὄντα
book 118ab.3	τοῦτον καὶ παρόντ’ ἀεὶ σέβου.
book 119.1	σοὶ γάρ τίς ἐστιν, εἰπέ μοι, παρρησία; σὺ λαλεῖς ἐν ἀνθρώποισιν ὡς ἄνθρωπος ὤν; τὸ δ’ ὅλον
book 119.2	περιπατεῖς, ἢ τὸν αὐτὸν ἀέρα ἑτέροισιν ἕλκεις, εἰπέ μοι, τοιοῦτος ὤν;
book 120.1	ἂν μὲν
book 120.2	πλέωμεν ἡμερῶν
book 120.3	πλοῦν
book 120.4	τεττάρων, σκεπτόμεθα τἀναγκαῖ’ ἑκάστης ἡμέρας· ἂν δέῃ δὲ φείσασθαί τι
book 120.5	τοῦ γήρως χάριν, οὐ φειδόμεσθ’ ἐφόδια
book 120.6	περιποιούμενοι;
book 121.1	[spk_β]πολλάκις ἔχων
book 121.2	τις οὐδὲ τἀναγκαῖα νῦν αὔριον ἐπλούτης’, ὥστε χἀτέρους
book 121.3	τρέφειν. Β. θησαυρὸν εὑρὼν τήμερόν
book 121.4	τις αὔριον ἅπαντα τἀκ τῆς οἰκίας ἀπώλεσεν.
book 122.1	τὸν βολβόν, εἰ βούλει, σκόπει ὅσα δαπανήσας εὐδοκιμεῖ, τυρόν, μέλι, σήσαμον, ἔλαιον, κρόμμυον, ὄξος, σίλφιον· αὐτὸς δ’ ἐφ’ αὑτοῦ ’στιν
book 122.2	πονηρὸς καὶ πικρός.
book 123.1	Σφίγγ’ ἄρρεν’, οὐ μάγειρον εἰς τὴν οἰκίαν εἴληφ’· ἁπλῶς γὰρ οὐδὲ ἕν, μὰ τοὺς θεούς, ὧν ἂν λέγῃ συνίημι· καινὰ ῥήματα
book 123.2	πεπορισμένος γάρ ἐστι.
book 124.1	γυναικὸς ἐξόπισθ’ ἐλευθέρας βλέπω μόνην θεράπαιναν κατόπιν ἀκολουθεῖν καλὴν ἐκ
book 124.2	τοῦ Πλαταιικοῦ τε
book 124.3	παρακολουθοῦντά τινα
book 124.4	ταύτῃ κατιλλώπτειν.
book 125.1	[spk_β]Σύρα, Σύρα. Β. τί ἐστι; Α. πῶς ἡμῖν ἔχεις; Β. μηδέποτ’ ἐρώτα
book 125.2	τοῦτ’, ἐπὰν γέροντ’ ἴδῃς ἢ γραῦν
book 125.3	τιν’· ἴσθι δ’ εὐθὺς ὅτι κακῶς ἔχει.
book 126.1	μῦς λευκός, ὅταν αὐτήν
book 126.2	τις (ἀλλ’ αἰσχύνομαι λέγειν), κέκραγε
book 126.3	τηλικοῦτον εὐθὺς ἡ κατάρατος, ὥστ’ οὐκ ἔστι
book 126.4	πολλάκις λαθεῖν.
book 127.1	ἐὰν γέρων γένηται
book 127.2	πλούσιος γεγώς, καλὸν τὸ γῆράς ἐστιν ἐπὶ τούτῳ μόνον, ἔχει γὰρ
book 127.3	χειραγωγὸν τὸν
book 127.4	πλοῦτον ὁ γέρων.
book 128	ὦ γέρον, ἐπὰν ἴδῃς γέροντα καὶ μόνον, μηδὲν ἐπερώτα· πάντα γὰρ κακῶς ἔχει. καλὸν τὸ θνῄσκειν ἔστιν ἐπὶ τούτῳ λέγειν.
book 129	ἐπὰν ἐγγὺς θάνατος ἔλθῃ, οὐδεὶς ἑαυτῷ ὃ θέλει βουλεύεται· θνῄσκει δ’ ὁ θνῄσκων κατ’ ἰδίαν εἱμαρμένην.
book 130.1	εἰ ταῖς ἀληθείαισιν οἱ τεθνηκότες αἴσθησιν εἶχον, ἄνδρες, ὥς
book 130.2	φασίν
book 130.3	τινες, ἀπηγξάμην ἂν ὥστ’ ἰδεῖν Εὐριπίδην.
book 131.1	ὁ φθόνος ἐν αὑτῷ τοῦθ’ ἓν ἐπιεικῶς
book 131.2	ποιεῖ· τὸν αἱρετιστὴν ὄντα τῶν αὐτοῦ τρόπων λυμαίνεται μάλιστα διὰ παντὸς
book 131.3	συνών.
book 132	ἀγαθῆς γυναικός ἐστιν, ὦ Νικοστράτη, μὴ κρείττον’ εἶναι τἀνδρός, ἀλλ’ ὑπήκοον· γυνὴ δὲ νικῶς’ ἄνδρα κακόν ἐστιν μέγα.
book 133	οὐκ ἂν δύναιο μὴ γενέσθαι, δέσποτα, ἄνθρωπος ὢν ἄνθρωπος· ἄλλως οὖν βοᾷς. τὸν ζῶντ’ ἀνάγκη πόλλ’ ἔχειν ἐστὶν κακά.
book 134.1	οὔτε γὰρ ἰατρὸς οὐδὲ εἷς, ἂν εὖ σκοπῇς, τοὺς αὐτὸς αὑτοῦ βούλεθ’ ὑγιαίνειν φίλους, οὔτε
book 134.2	στρατιώτης πόλιν ὁρᾶν ἄνευ κακοῦ.
book 135.1	ἐγὼ δὲ λυποῦμαι μὲν εἰς ὑπερβολὴν ἐπὶ τοῖς
book 135.2	παροῦσιν, ἐν δὲ τῇ λύπῃ φρονῶ. τοῦτό με τὸ τηροῦν ἐστι κἄνθρωπον
book 135.3	ποιοῦν.
book 136.1	οὕτως ἄνανδρος γέγονας; οὐκ εὐψυχία
book 136.2	τοῦτ’ ἔσθ’ ὃ ποιεῖς νῦν γάρ, ἀλλ’ ἀνανδρία, τὸ μὴ δύνασθαι καρτερεῖν λυπούμενον.
book 137	οὐκ ἔστιν ἡμῖν οὐδεμία τύχη θεός, οὐκ ἔστιν, ἀλλὰ ταὐτόματον, ὃ γίνεται ὡς ἔτυχ’ ἑκάστῳ, προσαγορεύεται τύχη.
book 138.1	ὁρῶσι πάντες
book 138.2	πρῶτον, εἶτ’ ἐθαύμασαν, ἔπειτ’ ἐπεθεώρησαν, εἶτ’ εἰς ἐλπίδα ἐνέπεσον· οὕτω γίνετ’ ἐκ
book 138.3	τούτων ἔρως.
book 139.1	ἀλλ’ ἐν Σάμῳ μὲν
book 139.2	τοῦ λιθίνου ζῴου
book 139.3	ποτὲ ἄνθρωπος ἠράσθη
book 139.4	τις, εἶτ’ εἰς τὸν νεὼν κατέκλεισεν αὑτόν.
book 140-141.1	καλῶς
book 140-141.2	ποιήσας καλῶς ὠνείδισας ἔργον καθεῖλες
book 140-141.3	πλουσίου
book 140-141.4	πτωχὸς λόγῳ. καυχώμενος τὸ δῶρον ὃ δέδωκας φίλῳ ἔργῳ στρατηγὸς γέγονας ἐν λόγῳ φονεύς.
book 142.1	βουνὸν ἐπὶ ταύτῃ καταλαβὼν ἄνω
book 142.2	τινά—
book 142.1	[spk_β]Β. τίς ἔσθ’ ὁ βουνός; ἵνα
book 142.2	σαφῶς
book 142.3	σου μανθάνω.
book 143	χαλεπόν γ’ ἀκροατὴς ἀσύνετος καθήμενος· ὑπὸ γὰρ ἀνοίας οὐχ ἑαυτὸν μέμφεται.
book 144.1	[spk_β]παρὰ τοῦ βασιλέως γράμμαθ’ ἥκει
book 144.2	σοι, Μάγα. Β. Μάγα κακόδαιμον, γράμματ’ οὐκ ἐπίστασαι.
book 145.1	οὐ τοὺς ἀώρους εἶπά σοι, μαστιγία, πόδας
book 145.2	πρίασθαι; σὺ δὲ φέρεις ὀπισθίους.
book 146	καὶ τοῦ θέρους μὲν εἶχεν ἱμάτιον δασύ, ἵν’ ἐγκρατὴς ᾖ, τοῦ δὲ χειμῶνος ῥάκος.
book 147.1	μὴ νουθέτει γέρονθ’ ἁμαρτάνοντά τι· δένδρον
book 147.2	παλαιὸν μεταφυτεύειν δύσκολον.
book 148	ὦ Πάμφιλ’, ὁ χρόνος οὐ μόνον τὰ σώματα αὔξει βαδίζων, ἀλλὰ καὶ τὰ πράγματα.
book 149	ὅσαι τέχναι γεγόνασι, ταύτας, ὦ Λάχης, πάσας ἐδίδαξεν ὁ χρόνος, οὐχ ὁ διδάσκαλος.
book 150.1	ὅσα διὰ τοὺς
book 150.2	πράττοντας αὐτοὺς γίνεται, οὐδενὶ πρόσεστιν οὐδὲ κοινωνεῖ τύχη.
book 151.1	ἐπὰν ὁ νοῦς ᾖ μὴ καθεστηκώς
book 151.2	τινι, οὐκ ἔστ’ ἀκούειν οὐδὲν αὐτὸν οὐδ’ ὁρᾶν.
book 152.1	τὸ γνῶθι
book 152.2	σαυτόν· οὐ μάτην εὖ ἴσθ’ ὅτι τὸ ῥῆμα
book 152.3	τοῦτο δόξαν ἐν Δελφοῖς ἔχει.
book 153	ὡς ἡδέως μοι γέγονε τὰ πρότερον κακά· εἰ μὴ τότ’ ἐπόνουν, νῦν ἂν οὐκ εὐφραινόμην.
book 154.1	πολλά με διδάσκεις ἀφθόνως διὰ φθόνον, ὅπως ἀκούων
book 154.2	πολλὰ μηδὲ ἓν μάθω.
book 155.1	στρατιῶτα, κοὐκ ἄνθρωπε, καὶ σιτούμενε ὥσπερ ἱερεῖον, ἵν’ ὅταν ᾖ καιρὸς
book 155.2	τυθῇς.
book 156	ἔτεκές με, μῆτερ, καὶ γένοιτό σοι τέκνων ὄνησις, ὥσπερ καὶ δίκαιόν ἐστί σοι.
book 157.1	ὅστις πένης ὢν ζῆν
book 157.2	παρ’ ὃ ζῆν βούλεται· ἡ γὰρ
book 157.3	σπάνις
book 157.4	πρόχειρος εἰς τὸ δρᾶν κακά.
book 158	τοιοῦτος ὁ βίος ἐστὶν ἀνθρώπου, γύναι· εὐφραινόμεσθ’ ἐλάττον’ ἢ λυπούμεθα.
book 159.1	οὕτως, ὅταν ἐμπέσῃ τις εἰς τὸν νοῦν φόβος, κἀκ
book 159.2	τοῦ καθεύδειν οὗτος οὐκ ἐξέρχεται.
book 160	ἀγαθὴ γὰρ ἡ λύπη καθ’ αὑτῆς ἀναπλάσαι ἀτεχνῶς διπλάσια τῆς ἀληθείας κακά.
book 161.1	πόλλ’ ἔστιν ἐν
book 161.2	πολλαῖσιν οἰκίαις κακά, ἃ καλῶς ὅταν ἐνέγκῃς ἀγαθὰ γενήσεται.
book 162	ἐνταῦθ’ ἀνὴρ γάρ ἐστιν ἀνδρὸς διάφορος, ἐν τῷ τό τε κακὸν εὖ φέρειν καὶ τἀγαθόν.
book 163.1	αἰτῶ δ’ ὑγίειαν
book 163.2	πρῶτον, εἶτ’ εὐπραξίαν, τρίτον δὲ χαίρειν, εἶτ’ ὀφείλειν μηδενί.
book 164	μὴ λέγ’ ὅτι δώσεις· οὐ δίδωσι γὰρ ὁ λέγων, καὶ τὴν ἀπ’ ἄλλων ἐμποδίζεται δόσιν.
book 165	μηδέποτε μέμφου τὴν τύχην, εἰδὼς ὅτι καιρῷ πονηρῷ καὶ τὰ θεῖα δυστυχεῖ.
book 166.1	τί ἐστιν ὁ θεὸς οὐ θέλει
book 166.2	σε μανθάνειν· ἀσεβεῖς τὸν οὐ θέλοντα μανθάνειν θέλων.
book 167.1	πονηρὸς ἂν ᾖ δοῦλος, εὑρήσει δίκην· σὺ μὴ γενηθῇς τῆς δίκης
book 167.2	προηγέτης.
book 168	ἅπαν διδόμενον δῶρον, εἰ καὶ μικρὸν ᾖ, μέγιστόν ἐστι μετ’ εὐνοίας διδόμενον.
book 169	ἐὰν γυνὴ γυναικὶ κατ’ ἰδίαν ὁμιλεῖ, μεγάλων κακῶν θησαυρὸς ἐξορύσσεται.
book 170.1	σαπρὰν γυναῖκα δ’ ὁ τρόπος εὔμορφον
book 170.2	ποιεῖ· πολὺ γὰρ διαφέρει
book 170.3	σεμνότης εὐμορφίας.
book 171.1	γνώμην
book 171.2	πονηρὰν τῇ γυναικὶ μὴ δίδου· ἐλαφρὸν τὸ γένος γάρ ἐστι καὶ λίαν κακόν.
book 172.1	ὅταν
book 172.2	τινὰ τάφον
book 172.3	στεφανοῖς κόσμῳ ποικίλῳ, τὸ ζῆν τὸ σαυτοῦ στεφάνοις
book 172.4	παρηγόρει.
book 173	ζῶν γὰρ ἀσκοῦ σαυτῷ στεφάνων καὶ μύρα· χρήσῃ γὰρ αὐτοῖς αἰσθόμενος μεθ’ ἡδονῆς.
book 174	κἂν μέχρι νεφέων τὴν ὀφρὺν ἀνασπάσῃς, ὁ θάνατος αὐτὴν πᾶσαν ἑλκύσει κάτω.
book 175	μὴ λέγε ἐκφυγὼν θάνατον ὅτι [καὶ] φεύξομαι πάλιν· ὡς γὰρ πέφευγας, προσδόκα καὶ μὴ φυγεῖν.
book 176	ἐὰν ὁρῶν πένητα γυμνὸν ἐνδύσῃς, μᾶλλον ἀπέδυσας αὐτόν, ἂν ὀνειδίσῃς.
book 177.1	ἀνὴρ γυναικὸς λαμβάνων
book 177.2	συμβουλίαν
book 177.3	πεσεῖν δεδοικώς, βούλεται πάλιν
book 177.4	πεσεῖν.
book 178.1	ὁ γῆρας αἰτῶν
book 178.2	παρὰ θεῶν ἁμαρτάνει· τὸ γὰρ
book 178.3	πολὺ γῆρας ἐσχάτων πόνων γέμει.
book 179.1	γέρων γενόμενος μὴ φρόνει νεώτερα, μηδ’ εἰς ὄνειδος ἕλκε τὴν
book 179.2	σεμνὴν
book 179.3	πολιάν.
book 180.1	οὐχ ἡ πόλις
book 180.2	σου τὸ γένος εὐγενὲς
book 180.3	ποιεῖ, σὺ δ’ εὐγενίζεις τὴν πόλιν
book 180.4	πράττων καλῶς.
book 181.1	οἱ γὰρ θεὸν σέβοντες ἐλπίδας καλὰς ἔχουσιν εἰς
book 181.2	σωτηρίαν.
book 182	δύ’ εἰ λάβοι τάλαντα, χρυσοῦς ἓξ ἔχων ἀποίσεται.
book 183	νόμῳ τεθαύμακ’, οὐκ ἐπεὶ πέπλευκεν, ἀλλ’ εἰ δὶς πέπλευκεν.
book 184-185	μαινόμεθα πάντες, ὁπόταν ὀργιζώμεθα. τὸ γὰρ κατασχεῖν ἐστι τὴν ὀργὴν πόνος.
book 186-187.1	μὴ λέγε τίς ἦσθα
book 186-187.2	πρότερον, ἀλλὰ νῦν τίς εἶ. πρὸς τὴν
book 186-187.3	παροῦσαν πάντοθ’ ἁρμόζου τύχην.
book 188.1	ὄνος βαδίζεις εἰς ἄχυρα
book 188.2	τραγημάτων.
book 189	Κροίσῳ λαλῶ σοι καὶ Μίδᾳ καὶ Ταντάλῳ.
book 190.1	σαυτὴν ἐπαινεῖς ὥσπερ Ἀστυδάμας
book 190.2	ποτέ.
book 191	ἄλλος κατ’ ἄλλην δαιμονίζεται τύχην.
book 192	χρόνος τὰ κρυπτὰ πάντα εἰς φάος ἄγει.
book 193-194.1	ἅπας
book 193-194.2	πονηρὸς οἶνος ὁ πολύς ἐστ’ ἀεί. ἐμέθυον· ἱκανὴ πρόφασις εἰς θἀμαρτάνειν.
book 195.1	ἄνθρωπος ὢν
book 195.2	τοῦτ’ ἴσθι καὶ μέμνης’ ἀεί.
book 196	ἀθάνατόν ἐστι κακὸν ἀναγκαῖον γυνή.
book 197.1	τὸν δὲ μόνον ὄντα καὶ κακὴ τύχη
book 197.2	τρέφει.
book 198	γαμεῖν ὃς ἐθέλει εἰς μετάνοιαν ἔρχεται.
book 199.1	βούλου γονεῖς
book 199.2	πρώτιστον ἐν
book 199.3	τιμαῖς ἔχειν.
book 200.1	ἡδύ γε
book 200.2	πατὴρ τέκνοισιν εἰ στοργὴν ἔχοι.
book 201.1	πλοῦτον μεταλήψεθ’ ἕτερον, οὐχὶ τὸν
book 201.2	τρόπον.
book 202.1	νόσον
book 202.2	πολὺ κρεῖττόν ἐστιν ἢ λύπην φέρειν.
book 203	θανεῖν κράτιστόν ἐστιν ἢ ζῆν ἀθλίως.
book 204	χρόνῳ τὰ πάντα γίνεται καὶ κρίνεται.
book 205-206.1	κρίσει δικαίᾳ καὶ δίδου καὶ λάμβανε. εἰς
book 205-206.2	χεῖρα δοῦλον δεσπότῃ μὴ συμβάλῃς.
book 207	ψυχῆς πόνος γὰρ ὑπὸ λόγου κουφίζεται.
book 208.1	ἡ μὲν
book 208.2	χελιδὼν τὸ θέρος, ὦ γύναι, λαλεῖ.
book 209	μεθύει, διαγραμμίζει, κυβεύει –⏑–.
book 210.1	μεμίσθωνταί με δείλης
book 210.2	πρωίας.
book 211	ἀλλ’ ἀπόλλυμαι κατὰ μυὸς ὄλεθρον.
book 213.1	ὦ Κλέων, παῦσαι
book 213.2	φλυαρῶν· ἂν ὀκνῇς τὸ μανθάνειν, ἀνεπικούρητον
book 213.3	σεαυτοῦ τὸν βίον λήσεις
book 213.4	ποιῶν. οὔτε γὰρ ναυαγός, ἂν μὴ γῆς λάβηται
