Scholia-Clouds
Σχόλια εἰς Νεφέλας
by Aristophanes Scholia
eul_wid: mlw-ar    eul_aid: mlw

Period   Hellenistic
Dialect  Technical Koine
Domain   Grammar
Format   Verse

The Scholia to Aristophanes' Clouds is a corpus of ancient and Byzantine explanatory annotations on the Athenian comic playwright's work. Compiled over many centuries, from the Hellenistic period to the Middle Ages, these notes represent a layered tradition of scholarship rather than a unified composition by a single author. Transmitted in the margins and between the lines of medieval manuscripts of the play, the scholia comprise thousands of individual glosses that address the linguistic, historical, and cultural challenges posed by Old Comedy. Their content is diverse, encompassing lexical explanations of obscure terms, commentary on Athenian legal and social institutions, identifications of contemporary figures such as Socrates, notes on mythological references, and records of variant readings from different textual traditions. This compilation served a fundamentally pedagogical function, aiming to elucidate a complex and historically distant literary work for students and readers in later periods. The scholia survive in a fragmentary state, having been copied, abbreviated, and sometimes corrupted through successive generations of scribes. The most significant witness to the tradition is the 10th-century Codex Ravennas. As a repository of ancient exegetical activity, the scholia provide modern scholars with an invaluable resource for understanding classical Athenian society, the history of textual criticism, and the reception of Aristophanes' comedy across antiquity.

Text
----

book 1a	προλογίζει ὁ Στρεψιάδης supra text. V57VtChisParlChalcb (ὁ om. V57VaChalc).
book 216	ἀπαγαγεῖν] ὥστε Vd HoBa(m4) ἀποστῆσαι ChisRegParCrHo Ba(m4), ἀπάξαι lChalcHarl.5.
book 217	οἰμώξεσθ’] κλαύσετε Cant.2, θρηνήσετε lHarl.5, μέλλετε λοιπὸν θρηνήσειν Chalc.
book 218a	φέρε] εἴα Par, εἰπὲ lChalc δή Lb.
book 218b	γὰρ] περισσόν Cr (cf. Tz 218a, l. 11), δέ Ba(m4).
book 218c	τῆς κρεμάθρας] τοῦ καλαθίσκου Cant.2 (cf. Tz 218a, l. 12).
book 220a	ἀποστροφὴ πρὸς τὸν μαθητήν Par(int.), τὸ “ἀναβόησον αὐτὸν τὸν Σωκράτην ἕνεκεν ἐμοῦ μεγάλως” φησὶν ὁ Στρεψιάδης πρὸς τὸν μαθητήν Harl.5 (mrg.) (cf. sch.vet. 220a).
book 220b	ἴθ’] ἐλθέ ChisRegParCrLbh, ἄγε Cant.2.
book 220c	οὗτος] ὦ φίλε Cr.
book 220d	ἀναβόησον] εἰπέ Cr, κάλεσον lChalcHoBa(m4), ἀνακάλεσον Harl.5, κράζον (sic) Ba(m4).
book 220e	αὐτόν] γρ. ἀντίον Cr.
book 220f	μοι] περισσόν Cr, ἀντ’ ἐμοῦ Par, ἕνεκεν ἐμοῦ LbChalcb, χάριν ἐμοῦ VaHoBa(m4) (Cang).
book 220g	μέγα] πολύ Cr, μεγαλοφώνως Cant.2, μεγάλως lChalcHarl.5 (= sch.vet. 220b).
book 221a	μὲν οὖν] μᾶλλον ParHoHarl.5 μέ(`)ν ParHo οὖν Par.
book 221b	σὺ] ἀργὸν διὰ καλλιφράδ〈ε〉ιαν Cr.
book 221c	σχολή] ἄδεια ParCrCant.2lChalcHo καὶ ἡσυχία Par, ἄνεσις Lb Harl.5 ἢ καιρὸς ἀργείας Chalc.
book 222	ὦ Σώκρατες] ἰαμβικὸν μονόμετρον ἀκατάληκτον ChisPar. [κατα‐ ληκτικόν Reg(c.t.).] (cf. 222 Tr2).
book 223a	καλεῖς] φωνεῖς Lb, λαλεῖς Chalc.
book 223b	ὑποκοριστικῶς ἐνταῦθα ὁ Στρεψιάδης τὸν Σωκράτη(ν) ἢ διὰ τὸ τῆς ἀγάπης πολύ—εἰώθαμεν γὰρ οὕτως καλεῖν τοὺς φιλουμένους—ἢ διὰ τὸ ὑπάρχειν μικρόσωμον.
book 223c alpha	ὦ γήϊνε καὶ φθαρτέ, καθόσον ὡς ἰδιώτης καὶ ἄγροικος ὢν ἀθανα‐ σίαν οὐκ οἶδας. οἱ γὰρ φιλόσοφοι ἀθανάτους ἑαυτοὺς οἴδασι περὶ ψυχῆς μόνον τὸν λόγον ποιούμενοι, ἣν ἀθάνατον εἶναί φασι. τὸ δὲ σχῆμα εἰρωνικόν.
book 223c beta	ὡς ὑπερηφανῶν ὁ Σωκράτης, ὅτι τὰ μετέωρα καὶ θεῖα ἦν ἐξετάζων ἀφεὶς τὰ ἀνθρώπινα καὶ γήϊνα, ἐφήμερον οὖν λέγει αὐτόν.
book 223c gamma	ἦθος φιλοσόφων ἀπομιμούμενος τοῦτό φησιν, ὡς ἀποτεθεωμένος ἀπὸ φιλοσοφίας M(mrg.).
book 223c delta	’φήμερε] φθαρτέ Lb, ὀλιγοήμερε HoBa(m4), ὁ ἐπὶ τῆς ἡμέρας ζῶν A, σημερινέ (Cang).
book 224	κάτειπέ μοι] πᾶν κατὰ τάξιν δίδαξόν με Par, ἀντὶ τοῦ Cant.2 εἰπέ Cant.2Va (cf. Tz 224a, 1. 5), κατὰ μέρος λέξον μοι HoBa(m4).
book 225a	ἀεροβατῶ] ἐν τῷ ἀέρι βαίνω ChisParCrCant.2lChalcHarl.5, ἐ. τ. ἀ. κατὰ διάνοιαν διατρίβω Reg, ἐπὶ τοῦ ἀέρος Pa εἰς τὸν ἀέρα HoBa(m4) βαίνω PaHoBa(m4).
book 225b	καὶ ... ἥλιον: ἤγουν περισκοπῶ καὶ περιεργάζομαι καὶ ἐξετάζω τὸν δρόμον αὐτοῦ.
book 225c	περιφρονῶ] σημαίνει τὸ ὑπερφρονῶ ἀττικῶς Cr.
book 226a	ἔπειτ’] ἆρα Cr.
book 226b	ταρός ἐστιν ὁ μικρὸς καλαθίσκος, ταλαρὸς δὲ ὁ μέγας καὶ γεωργικός.
book 226c	ὑπερφρονεῖς] περιφρονεῖς Par, περιεργάζῃ LbChalc καὶ Lb ἐξετά‐ ζεις LbHarl.5 καὶ σκοπεῖς Harl.5, περισκοπεῖς Va.
book 226d	τοὺς θεοὺς ὑπερφρονεῖς: φρονεῖς ὑπὲρ τοὺς θεούς· μείζονα τῶν θεῶν, ἤγουν μείζονα ἑαυτόν, ἡγῇ M(mrg.).
book 227a	εἴπερ] ἐξῆν ParCant.2 καταφρονεῖν Par, καταφρονητὴς τῶν θεῶν ἐβούλου γενέσθαι (cf. Tz1 227), τέως καταφρονεῖν ἔμελλες (cf. sch.vet. 227b) Cr, ἐβούλου τοῦτο Lb σκοπεῖν αὐτούς Chalc, βούλει τοῦτο ποιεῖν Va, ἤθελες τοῦτο Harl.5, ἔξεστι περιφρονεῖν τοὺς θεοὺς δηλονότι A (mrg. εἴπερ ⸓, ἔδει καταφρονῆσαι ἐκείνους Vict.
book 227b	ἄν] τὸ ἄν καὶ τὸ εἰ ἐκ παραλλήλου Cr (repetitur ad v. 229).
book 228a	ἐξεῦρον] ἐπενόησα Cr, ἐνόησα Cant.2l, κατέλαβον Cant.2.
book 228b	ὀρθῶς] ἀσφαλῶς Lb, βεβαίως Chalc.
book 228c	τὰ μετέωρα] τὰ ὑψηλότατα Cr, τὰ ὑψηλά ParCant.2lChalch καὶ οὐράνια ὅσα ὑπὸ τὴν σελήνην Par καὶ θεῖα VaHarl.5.
book 229a	κρεμάσας] ἐμαυτόν Lv(m2), ὑψώσας Par ἑαυτὸν δηλονότι ChisPar, μετεωρίσας lHoHarl.5(VaHo –ρή–), μετέωρον ποιήσας Chalc.
book 229b	τὸ νόημα] τὰ νοήματα Chis, τὴν εἴδησιν Par, τὸ λεπτότατον τοῦ νοός Cr, τὴν μελέτην Cant.2, τὸ ἐνθύμημα Lb.
book 229c	τὴν φροντίδα] τὴν σκέψιν ChisPar, τὸ νόημα Cant.2.
book 229/30	εἰ μὴ ἀερώδη καὶ λεπτὴν τὴν φροντίδα ποιήσας M(mrg.).
book 230a	καταμίξας] ἀνακατώσας Cant.2, ἑνώσας Ba(m4).
book 230b	λεπτὴν καταμίξας] ψυχρὰ ἡ κατὰ Σωκράτους ἀπόκρισις ChisPar (cf. sch.vet. 232a), ἀναμίξας τὴν λεπτότητα Ho.
book 230c	τὸν ... ἀέρα] ἤτοι τὸν λεπτὸν ἐσκόπουν ChisPar, ἤγουν λεπτὸν ὄντα καὶ αὐτὸν Reg, τὸν λεπτόν Cr, λεπτὸν ὄντα lChalc.
book 231a	χάμαι] κατὰ γῆς ChisPar, κάτω Cant.2LbChalc.
book 231b	τἄνω] τὰ μετέωρα LbChalc.
book 231c	κάτωθεν] ἀποκάτω Ba(m4).
book 231d	ἐσκόπουν] ἐξήταζον ChisParVaChalcHoBa(m4), ἠρεύνων Cr, ἐλογι‐ ζόμην, περιειργαζόμην Cant.2, ἐσκεπτόμην LbHarl.5, ἐζήτουν Lb.
book 231e	εἰς τὸ “εἰ μὴ κρεμάσας” ἢ κάτωθεν λάμβανε τὸ “ἐσκόπουν” λέγων οὕτως· (5) εἰ μὴ ... (6) τὸ σῶμα ... (8) ἀέρα λεπτήν· ἢ (2) λάμβανε ἔξωθεν τὸ “ἐμαυτὸν” λέγων οὕτως· εἰ μὴ (3) ... (4) φροντίδα λεπτὴν εἰς τὸν ὅμοιον ἀέρα· (8) ὅμοιον δὲ ... ἀσώματον εἶναι.
book 232a	εὗρον] ἐπενόησα ChisPar ἐνόησα lHarl.5 τὴν ἀλήθειαν Par.
book 232b	γάρ· ἀλλ’] περισσόν (sc. γάρ)· γάρ (sc. ἀλλ’) Cr (cf. sch.vet. 232e; Tz 231a, 1. 21, et Tz1 232b).
book 232c	τὸ “ἀλλὰ” ἀντὶ τοῦ “ὅτι” Harl.5(mrg.).
book 232d	βίᾳ] βιαίως ChisParlChalch, βιαστικῶς Cr.
book 233a	ἕλκει] σύρει ChisParCant.2lChalcHarl.5, ἐπισπᾶται RegBa(m4), ἀναγκάζει Cant.2, φέρει (Cang).
book 233b	αὐτὴν] τὰ γήϊνα Cr.
book 233c	τὴν ἰκμάδα] τὴν λεπτότητα ChisParCant.2, τὸ νοητικὸν γόνιμον Cr (cf. sch.vet. 233a in.), τὴν πιότητα lChalc(hic ποιό–) Harl.5, τὴν αὔξησιν Ba(m4).
book 234a alpha	τὸ πάσχειν οὐ μόνον ἐπὶ τῶν ὑφισταμένων τι πάθος λέγεται, ὅπερ ἀπὸ μὲν τοῦ ποιοῦντος λέγεται “δρᾶσις” ἢ “ποίησις” καὶ “ἐνέργεια”, ἀπὸ δὲ τοῦ πάσχοντος “πάθος”, ἀλλὰ καὶ ἐπὶ τῶν ποιούντων ἐνίοτε. ὁ γὰρ λουόμενος καὶ πάσχει καὶ ποιεῖ.
book 234a beta	τὰ κάρδαμα p.i.m.] θερμὰ γὰρ ὄντα ἕλκουσι τὴν ἰκμάδα τῶν λοιπῶν βοτανῶν Lb (cf. Th2Tr1/2 234, l. 3—4).
book 234b	καταχρηστικῶς ἔοικε τῷ ὀνόματι τῆς βοτανῆς ταύτης εἰπεῖν· ὤφειλε γὰρ μᾶλλον τὴν σκάρφην εἰπεῖν. αὕτη γὰρ τοιαύτην ἔχουσα εὑρίσκεται δύναμιν καὶ οὐ τὰ κάρδαμα. αὕτη γάρ, ἡ σκάρφη δηλονότι, τῶν περὶ αὐτὴν φυομένων βοτανῶν τὴν πιότητα ἐπισπᾶται καὶ ταύτας ξηραίνεσθαι ποιεῖ.
book 236a	δέον εἰπεῖν “ἡ γῆ ἕλκει”, “ἡ φροντὶς” εἶπεν, ὡς ἰδιώτης συγχέας τὴν φράσιν.
book 236b	ἡ φροντὶς] ἡ σκέψις ChisPar.
book 236c	ἕλκει] σύρει ChisParCant.2lChalcHarl.5, φέρει (Cang).
book 236d	τὴν ἰκμάδ’] τὴν ὑγρότητα ParVa, τὸ ἐφεύρημα Cr, τὴν λεπτότητα Cant.2, τὴν πιότητα LbChalcHarl.5.
book 237a	ἴθι] εἴα ChisPar, ἄγε Cant.2l, ἐλθέ h.
book 237b	Σωκρατίδιον] ὑποκοριστικῶς ChisParCant.2.
book 238	ἐκδιδάξῃς] ἀργόν (sc. ἐκ–) ChisReg (text. ἵνα μ’ ἐκδιδάξῃς).
book 239a	κατὰ τί] διὰ τί RegCrh (= sch.vet. 239b), ἕνεκα τίνος Par, τίνος ἕνεκεν LbHarl.5, τίνος χάριν Va, διὰ ποίαν αἰτίαν Cant.2, κατὰ τίνα σκοπόν Chalc.
book 239b	λέγειν] διαλέγεσθαι Chalc (= sch.vet. 239c).
book 240a	τόκων] ὠφελειῶν Cr, χρεῶν Va.
book 240b	χρήστης ... διαφέρει· δανειστὴς μὲν γάρ ἐστιν ὁ ... (8) τόκων δανείζων χρήματα, χρήστης ... τινι ἱμάτια ἢ σκεύη ἀργυρᾶ ἢ τοιαῦτά ... (9) ἀπολάβῃ ταῦτα συντόμως. ἐνταῦθα δὲ ὁ ποιητὴς κατὰ παράχρησιν χρήστας ... εἶπεν.
book 240c alpha	χρήστης λέγεται ὁ δανειστὴς καὶ ὁ δεδανεισμένος, ἀπὸ τοῦ χράω Va χρῶ τὸ δανείζω.
book 240c beta	χρήστης ὁ δανείζων καὶ ὁ δανειζόμενος. ἐπὶ πλέον δὲ συνήθως λέγεται ὁ δανειζόμενος “χρήστης”· ὁ δὲ Ἀριστοφάνης τὸ ἐναντίον ἐνταῦθά φησιν.
book 240c gamma	χρήστης ὁ δανείζων· ἔστι δὲ ὅτε καὶ ἐπὶ τοῦ δανειζομένου M(mrg.) (cf. Th2Tr1/2 240b).
book 240d	δυσκολωτάτων] ὀργιλωτάτων Par, ὀργίλων Cr, κακοτρόπων Cant.2 Chalc, δυσχερῶν ἀνθρώπων Lb, δυσκόλων Va.
book 241a	μὴ λάβῃς ἔξωθεν τὸ “διά” εἰς “τὰ χρήματα”, ἀλλ’ ἢ οὕτω ... (2) τουτέστιν ἐνέχυρον διδοὺς ταῦτα λαμβάνω καὶ μὴ εὐπορῶν ἀποδοῦναι ἀπόλ‐ λυμαι. (4) ἢ τὰ χρήματα μὴ νομίσῃς τὰ δανεισθέντα λέγειν, ἀλλ’ ... (6) γὰρ οὐ μόνον τὰ νομίσματα λέγεται, ἀλλὰ καὶ τὰ πράγματα ... (7) τὰ ἄλλα ... ἀρετῆς”.
book 241b	ἄγομαι] ἀκουσίως Cr, σύρομαι Cant.2, ὀχλήσεις ἔχω Lb, πειρά‐ ζομαι Chalc.
book 241c	φέρομαι] ἄγομαι ἄκων ChisPar, πιέζομαι l. ἀναισχυντῶμαι Chalc.
book 241d	τὰ χρήματ’] τὰ πράγματα Cr.
book 241e	ἐνεχυράζομαι] διδοὺς ἐνέχυρα λαμβάνω χρήματα Reg, ὡς ἐνέχυρα λαμβάνω Par, ἐνέχυρά μου τίθεται τὰ χρήματά μου Cr, εἰς ἐνέχυρον ὑποτίθημι Cant.2, ἐνέχυρον τίθεμαι l A, εἰς τὰς χεῖρας ἐκείνων δίδωμι ἐνέχυρα Chalc, ἐνέχυρα ἀπαιτοῦμαι Harl.5 (cf. sch.vet. 241) δίδωμι Ba(m4), ἐνέχυρα τὰ ὑπὲρ τοῦ χρέους διδόμενα M(mrg.).
book 242a	πόθεν] ἀπὸ ποίου τόπου Chis, ἀπὸ ποίας αἰτίας ChisRegPar Cant.2, ἐκ ποίου τρόπου Chalc, ἀπὸ ποίας ἀφορμῆς HoBa(m4).
book 242b	ὑπόχρεως] ὑπόχρεως λέγεται ὁ ὑπὸ χρεῶν ἤτοι ὁ ὀφειλέτης ChisPar, κατάχρεως lChalch, ὑπόχρεως ὁ πολλῶν χρεῶν ἔμπλεως HoBa(m4) (mrg.).
book 242c alpha	ἔλαθες γενόμενος] σημείωσαι τὸ λανθάνω αἰτιατικῇ Cr, ἀντὶ τοῦ ἐγένου Cant.2.
book 242c beta	γενόμενος] ὑπάρξας Lb, γεγονώς VaHarl.5.
book 243a	νόσος] ἀσθένεια Cant.2.
book 243b	δεινὴ] χαλεπή ChisPar.
book 243c	φαγεῖν] εἰς τό ChisParChalc, περιουσίαν βίου Cr, κατατρῖψαί τινα Lb, ἀφανίσαι VaHarl.5 τινὰ ἢ ἐκτρίψαι(sic) Va.
book 243d	ἐπειδὴ ὑπὸ τῆς νόσου μάλιστα πάσχομεν, ἡ δὲ ἱππικὴ ἐγένετο αἰτία τοῦ παθεῖν τὸν Στρεψιάδην, ἅ φησιν· ὅθεν καὶ εἰκότως ἐκάλεσεν αὐτὴν νόσον HoHarl.5(mrg.).
book 244	τὸν ἕτερον] τὸν ἄδικον Cr, τὸν ἕνα Cant.2lHoBa(m4).
book 245a	τὸν ... ἀποδιδόντα] ἤγουν τὸν διδάσκοντα μηδὲν ἀποδιδόναι Chis RegPar, ἀποδώσοντα Va, λέγοντα μηδενὶ ἀποδοῦναι Chalc, τὸν ἄδικον Cr, τοῖς δανεισταῖς HoBa(m4).
book 245b	μισθὸν] ἀπεκβολήν Cant.2.
book 246a	πράττῃ] ζητήσῃς Par, ζητεῖ A, ἀπαιτήσεις lChalc(hic –σης) Ba(m4) (cf. Th2Tr1/2 246a), ἀπαιτεῖς Harl.5 (cf. sch.vet. 246a et Tz1 246b).
book 246b	πράττω τὸ ποιῶ καὶ ἐργάζομαί τι, ὅθεν καὶ πρᾶξις· πράττομαι δὲ παθητικῶς τὸ ἀπαιτῶ ἀττικῶς, ὅπερ εἰσπράττω φασὶν οἱ λογογράφοι l(mrg.).
book 246c	ὀμοῦμαί] ὀμνύω ParChalcHarl.5(hic mrg.).
book 246d	καταθήσειν] ἀποδοῦναι Reg, δοῦναι l, καταβαλεῖν Cant.2Chalc.
book 247	ὀμεῖ] τοὺς ὅρκους ποιεῖ Chis ποιῆσαι Par, ὀμώσεις Reg, ὀμήσεις Cr.
book 248a	νόμισμ’ κτλ.] νόμιμον ἔθος Lv(m2), νενόμισται Chis, νενομισμένον ἐστὶν ParCr A ἐν ἡμῖν τὸ θεοὺς σέβειν Cr, συνήθεια Cant.2.
book 248b	νόμισμα δύο σημαίνει, τό ... (2) ἢ ἀργυρίου [ἀργύρου] ἢ χρυσοῦ Reg. ἐπὶ τοῦ κόμματος οὖν ἐνόησεν ὁ Στρεψιάδης τὸ νόμισμα· διὸ καὶ οὐ πρὸς τὴν ὑπὸ τοῦ Σωκράτους ῥηθεῖσαν ἀπήντησεν ἔννοιαν Reg ... (4) ὀμνύετε Reg ... (5) φαίνονται δὲ οἱ Βυζάντιοι λεπτῷ κεχρῆσθαι νομίσματι· τοῦτο γὰρ ἐνέφηνε διὰ τοῦ σιδηροῦν τοῦτο εἰπεῖν, ἢ ὅτι καὶ τῇ ἀληθείᾳ σιδηροῦν ἦν, ἢ ὡς φαῦλον κωμῳδῶν αὐτοὺς τοῦτο εἴρηκεν Reg.
book 248c	νομίζω κυρίως τὸ νόμιμον ἡγοῦμαι τόδε τι, τουτέστιν ἀπὸ νόμου δίκαιον καὶ καλόν ἡγοῦμαι Va, καὶ τὸ ἁπλῶς ὑπολαμβάνω· συντάσσονται δὲ ἀμφότερα αἰτιατικῇ. νομίζω δὲ καὶ τὸ πρόσκειμαι, οὗ καὶ τὰ ῥήματα πάντα καὶ τὰ ὀνόματα συντάσσονται μετὰ δοτικῆς, ὡς ἐνταῦθα.
book 248d	τῷ] ἔν τινι lb (cf. sch.vet. 248c, Tz1 248b, Th2Tr1/2 248b).
book 249a	249] ἐνταῦθα διασύρει τοὺς τῆς Κωνσταντινουπόλεως ἀνθρώπους, ὅτι ἐπίστευον εἰς σιδηροῦν νόμισμα Cr.
book 249b	εἰς τὸ Βυζάντιον εἰκόνα νομισμάτων ἐσέβοντο. φησὶ γοῦν ἐνταῦθα ὁ Στρεψιάδης “ἢ σιδαρέοισιν ὥσπερ ἐν Βυζαντίῳ” μὴ νοήσας, ὅπερ ὁ Σωκράτης εἶπε· νόμισμα γὰρ καὶ νενομισμένον ἔφησεν ἐκεῖνος. τὸ βούλομαι ἀντὶ τοῦ αὐτὸς ἐγὼ βούλομαι, τὸ δὲ βουλεύομαι, ὅτε μετὰ πολλῶν Cr(mrg.).
book 249c	λοιδορεῖ τοὺς Βυζαντίους ὡς κούφους, ἐπεὶ ἐν τοῖς παρ’ αὐτοῖς νομίσμασι σιδηρέοις οὖσιν ὤμνυον Lb(mrg.).
book 249d alpha	ἰστέον, ὅτι HoBa(m4) πρῶτον Βυζάντιοι ἐκ σιδήρου νόμισμα ἐχάραξαν HoBa(m4) (mrg.) (M11m8; hic gl. ὥσπερ ἐν Βυζαντίῳ]).
book 249d beta	ὅτι οἱ Βυζάντιοι ὡς φιλάργυροί τινες ἐν τοῖς αὐτῶν νομίσμασιν ὤμνυον καίπερ σιδηρέοις οὖσι· σιδήρεα δὲ ἦσαν ταῦτα σιδήρου αὐτόθι γινομένου HoHarl.5(mrg.).
book 250	σαφῶς] φανερῶς ChisParlChalc, ἀσφαλῶς Lb, καθαρῶς Chalc.
book 251	ὀρθῶς] φανερῶς ChisParLb, ἀληθῶς Cant.2l, ὁμολογουμένως Chalc.
book 252a	ξυγγενέσθαι] ὁμιλῆσαι ChisCant.2HoBa(m4) καὶ ἐλθεῖν Cant.2 HoBa(m4), συνομιλῆσαι ParA.
book 252b	νεφέλη ἐτυμολογεῖται παρὰ τὸ νᾶμα ἐφέλκειν ἐκ τῆς ἁλός, ἢ ἀπὸ τοῦ νε στερητικοῦ μορίου καὶ τοῦ φάος, τὸ φῶς, Reg ἡ ἐστερημένη φωτός παρὰ τὸ ** Chis, ἢ παρὰ τὸ νίφω τὸ βρέχω. τὸ δὲ [γὰρ] νίφειν κυρίως ἐπὶ τῆς ἐκ νεφῶν καταφορᾶς τῶν ὑδάτων [τοῦ ὄμβρου] λέγεται Reg· νείφω [νείφειν] δὲ τὸ χιονίζω δίφθογγον καὶ ἀπὸ τούτου νιφετὸς διὰ τοῦ ι Reg.
book 252c	λόγους] ὁμιλίαν Va.
book 253	δαίμοσιν] θεοῖσιν Chis, θεαῖς ParCant.2VaChalcHarl.5 (cf. sch.vet. 253 in.); ταῖς ... δαίμοσι] μετὰ τῶν ἡμετέρων θεῶν Lb.
book 254a	τοίνυν] λοιπόν Cant.2VaChalcHo(Lb ad v. 255).
book 254b alpha	οὐχ ὅτι ἱερὸν ἦν ἐκεῖσε, ὅπου ἦν ὁ σκίμπους, τοῦτό φησιν, ἀλλ’ ὅτι τοῖς διδασκομένοις μόνοις καθέζεσθαι ἐξῆν ἐπ’ αὐτοῦ HoHarl.5(mrg.).
book 254b beta	τὸν ἱερὸν] τὸν σεβάσμιον, τὸν τεταμιευμένον τοῖς μαθηταῖς Lb.
book 254c	σκιμπάζειν ○○○ πόδας σκαμβούς. σκίμπους καὶ ὁ δίφρος, ἐφ’ οὗ κά‐ θηταί τις· φέρτρον δὲ λέγεται ἡ νεκροφόρος κλίνη.
book 254d alpha	σκίμπους τὸ ὑποπόδιον l. σκιμπάζειν δὲ εἴρηται παρὰ τοῖς πα‐ λαιοῖς τὸ χωλαίνειν l·
book 254d alpha,c2	ἰστέον, ὅτι σκιμπάζειν ἐλέγετο παρὰ τοῖς παλαιοῖς τὸ χωλαίνειν Ho Harl.5.
book 254d beta	σκίμποδα] τὸ ὑποπόδιον Chalc.
book 255a	ἰδοὺ] ἀρτίως· ἐπίρρημα ChisPar, ἔστω τοῦτα Chalc.
book 255b	λαβὲ] λάβε Chisl (λαβὲ errans Va) Harl.5, ὡς ἰδέ A· ἀττικόν Harl.5A (cf. Tz 255, l. 1, et Tr2 255).
book 257a	ὅπως μὴ] δέδοικα ChisPar, σκόπει μή πως Cant.2; ὅπως] ἵνα Lb ChalcHarl.5.
book 257b	θύσετε] θυσίαν ποιήσετε ChisPar, θυσιάσητε CrlChalcHarl.5 (–σητε] CrVa), σφάξετε Cant.2.
book 257c alpha	ὁ Ἀθάμας ○○○ (1) Φρύξον [Φρῦξον] ○○○ (2) ζηλοτυπήσασα δὲ Va ○○○ (3) πρὸς οὐρανὸν Va ○○○ (5) ἡ οὖν Νεφέλη θέλουσα αὐτὸν καὶ τὴν γυναῖκα αὐτοῦ ἀπολέσθαι πέπεικε δώροις τοὺς θεωροὺς ὡς οὐκ ἄλλως ... (7) ἔχρησεν ὁ Ἀπόλλων ... (8) τοὺς ἰδίους θύσειε παῖδας ○○○ (8) ὁ Ἀθάμας Va ○○○ (9) τοὺς ἰδίους παῖδας ○○○ (12) ἐκλήθη Ἑλλήσποντος· Φρύξος [Φρῦξος] ○○○ (14) σῴζεται. [διασῴζεται.] Σοφοκλῆς οὖν ἐν δράματι αὐτοῦ Ἀθάμαντι καλουμένῳ εἰσάγει τὸν αὐτὸν Ἀθάμαντα ἐστεφανωμένον ὥσπερ ἱερεῖον δίκας ἀπαιτούμενον περὶ Φρύξου καὶ Ἕλλης τῶν αὐτοῦ [αὑτοῦ] παίδων.
book 257c beta	ὁ Σοφοκλῆς ἐποίησε δρᾶμα Ἀθάμαντα καλούμενον, ἐν ᾧ εἰσάγει τὸν Ἀθάμαντα ἐστεφανωμένον, ὥσπερ ἱερεῖόν τι ὄντα, διὰ τὸ δίκας ἀπαιτεῖσθαι περὶ τοῦ υἱοῦ αὐτοῦ Φρίξου.
book 257c gamma	ὥσπερ τὸν Ἀθάμαντα: Ἀθάμας εἰς θυσίαν ἀγόμενος ὁλοκαυτωθῆ‐ ναι στέφανον φορῶν ἀπήρχετο τυθησόμενος. ὑποσχεθεὶς γὰρ θῦσαι τοῖς θεοῖς τὸν Φρίξον καὶ τὴν Ἕλλην καὶ ἀποτυχὼν ἐκείνων ἀποφυγόντων ἑαυτὸν ἔμελλε θύσειν· ὃν ὁ Ἡρακλῆς ἐπιφανεὶς ἐρρύσατο. τούτου μέμνηται ὁ Στρεψιάδης, ὅτι στέφανον ἠναγκάζετο λαβεῖν.
book 258a	τοὺς τελουμένους: ἤγουν τοὺς διδασκομένους φησί· τοῦτο δὲ ἐπὶ τῶν μυστηρίων ἔλεγον. παραβάλλει δὲ τὰ τῶν φιλοσόφων μαθήματα οἱονεὶ τοῖς μυστηρίοις, ἵνα μᾶλλον πείσῃ προσέχειν τὸν γέροντα ὡς θειοτέρῳ τῷ πράγ‐ ματι.
book 258b	τοὺς τελουμένους] εἰς τοὺς μαθητάς HoBa(m4) (cf. Tz1 258c).
book 258c	τελεῖται ὁ δεῖνα ἀντὶ τοῦ μυεῖται M(mrg.).
book 259	κερδανῶ] ἤγουν τί πλέον ἔσται μοι ἐκ τούτου Chis(paraphr.)Reg, κερδήσω ChisPar, μέλλω κερδάναι (sic) Lb.
book 260a	λέγειν] ἐν τῷ δημηγορεῖν Cr, ῥητορεύειν Cant.2.
book 260b	τρίμμα] τετριμμένος LbHarl.5 (cf. sch.vet. 260b).
book 260c	κρόταλον] δεκτικός Chis(pro κ η ex ? cod.) Par, κροῦμα Cant.2, κρότον παρέχων Chalc.
book 260d	παιπάλη] λεπτότατος ὥσπερ λεπτὸν ἄλευρον Cant.2, ὄργανον τοῦ λόγου, λάλος A.
book 260e	κρόταλον: τουτέστιν εὐγλωττότατος, εὐστομώτατος, ἐκ μεταφορᾶς τοῦ κροτάλου. κρόταλος γὰρ κυρίως ὁ σχιζόμενος κάλαμος ἢ ξύλον πρὸς τὸ ἦχον ἀποτελεῖν, εἴ τις αὐτὸν δονοίη ταῖς χερσίν.
book 261a	ἔχ’ ἄτρεμας] ἡσύχαζε ChisPar.
book 261b	ψεύσῃ] γρ. ψεύδῃ Cr(text. ψεύσῃ Th2 et Cant.2, –σει Tr1 (–ει ex –η Ps) Tr2 (praeter Cant.2) et Vt).
book 261c alpha	οὐ ψεύσῃ(ει) γέ με] οὐ ψεύδη λέξεις ἐμοί ChisPar [περὶ ἐμοῦ Reg] (μοι superscr. με text. Chis), οὐ ποιήσεις ἐμὲ LbChalc ψευσθῆναι LbChalcHoHarl.5, οὐ ψεύσῃ λέγων ταῦτα πρὸς ἐμέ Ho(mrg.), εἰς ἐμέ Ba(m4).
