Fragments on the Palici and Thebes
Ἀποσπάσματα περὶ Παλικῶν καὶ Θηβῶν
by Aeschylus the Tragedian
eul_wid: emo-ah    eul_aid: emo

Period   Classical
Dialect  Attic Drama
Domain   Drama
Format   Verse

The Fragments on the Palici and Thebes is a modern scholarly designation for a collection of 1240 fragmentary passages attributed to the lost plays of Aeschylus. These fragments, drawn from approximately eighty lost tragedies in addition to his seven surviving works, are compiled in modern critical editions such as Stefan Radt’s Tragicorum Graecorum Fragmenta. The title references two distinct mythological cycles treated by Aeschylus: the Sicilian chthonic deities known as the Palici, and the stories of the Theban cycle. The fragments are preserved indirectly through quotations by later Greek authors such as Strabo and Athenaeus, through papyrus discoveries, and via ancient plot summaries.

Collectively, these fragments illustrate the vast thematic and geographical scope of Aeschylean drama. Inferred subjects from play titles and the fragmentary content include divine justice and retribution, the nature of chthonic powers and associated cult practices, foundational city myths and civic strife as seen in Theban narratives, and profound familial conflicts. The material is particularly significant for demonstrating the interplay between Athenian tragedy and the wider Greek world, especially in its engagement with Sicilian religious cult. These remnants are crucial for understanding the breadth of classical Athenian tragedy, the development and treatment of major mythological cycles, and the extensive influence of Aeschylus on subsequent literature.

Text
----

book 1*.1	τὸν μὲν
book 78a**,col1.9	πατ̣[ ὁ̣ρ̣ῶ̣ν̣ μύουρα καὶ βραχέα τὰ̣ φ̣[αλλί]α[ln_30]ὡς ἐξέτριβες Ἰσθμιαστικὴν̣ [....]ν κοὐκ ἠμέλησας, ἀλλ’ ἐγυμνάζ[ου κα]λῶς. εἰ δ’ οὖν ἐσῴζου τὴν πάλαι
book 78a**,col1.10	παρο̣[ιμία]ν̣, τοὔρχημα μᾶλλον εἰκὸς ἦν
book 78a**,col1.11	σε.[.....]ε̣ιν. σὺ δ’ ἰσθμ̣ιάζεις καὶ τρόπους και[νοὺς μ]α̣θὼν̣[ln_35]βραχί̣ο̣[ν’ ἀ]σ̣κ̣εῖς, χρήματα
book 78a**,col1.12	φθείρων ἐμὰ κτεα[8—9 litt.]ε
book 78a**,col1.13	ταῦτ’ ἐπ.ρανῳ πονων̣[ln_36]***
book 78a**,col2.1	[ ].ου[ [ ]ντο[ ....[.]...δηδ.[ σάκει καλύψασ[...]εν[[ln_65]σπείρεις δὲ μῦθον τ[ό]ν̣δε.[ καὶ ῥηματίζεις ε̣ἰ̣ς ἔμ’ ἐ̣κ̣τρ..[ ὡς οὐδέ̣ν εἰμι τὴν
book 78a**,col2.2	σιδηρῖτι[ν γύννις δ’ ἄναλκις οὐδ̣ενειμ.[ καὶ νῦν τάδ’ ἄλλα καὶ ποται̣ν̣[ι[ln_70]ἔχθιστα πάντων
book 78a**,col2.3	τω[ πλύνεις τ’ ἔμ’ αὐτ̣ὸν [ ἐφ’ ἣν ἀγείρω
book 78a**,col2.4	πλ[
book 78b**	...[ln_1][ ]..[ [ ]τιτοι[ [ ]ς.λευ.[ [ο]ὐδαμωσ[[ln_5][].χυπωσκ.[ []οσσαδημ̣[ [ ].ασυν.[ [ ]σαλλο.[ [ ]ισφι.[[ln_10][].ουκε[ [ ]ρωντ[ [ ]..[[ln_12]...
book 78c**,col1.1	[ ] ἔ̣ν̣ο̣ρκόν ἐστι
book 78c**,col1.2	σο[ι] κα[...]φ̣ρ̣ον̣εῖν ]κ̣α̣κῶς ὄλοιο καὶ τ̣.ε......ε ]α̣...ιῃ σοι
book 78c**,col1.3	πρ...[ca. 6 litt.]...νε..ν [ ].[.]ο̣νοντωσῆ.[[ln_5][ ]ο̣υ̣λον η
book 78c**,col1.4	τριδουλ[ [ ]αξ δ̣ικα[..(.)].[.]θενα[....].[..].. [ ]ῳ τε κο̣[ίτ]ω̣ι̣ καὶ κακαῖς δ[υσ]αυ̣λ̣ί̣α̣ι̣ς ]ει
book 78c**,col1.5	παλαιο̣. το̣ῦ̣δ̣’ ἐνοικτε...[...]. [ ].δεπ̣[.].[.]ας π̣ο̣λυπ̣[.]δ̣ο̣[ ca. 8 litt. ]..[ln_10]φ]εύγων[...]..[.]α̣τ̣ο̣νδ’ [.].[ π]ό̣τερα
book 78c**,col1.6	παθων̣ τι δε[ [ ]υ
book 78c**,col1.7	πολλὰ δράξας ω[ [ ].α θαρσῶν .εξ[ [ ]ω̣ι ἱερῷ μ̣ε̣ν[[ln_15][ ].[..]σ̣τ[.]..[ [ ]ν.[[ln_16]***
book 78c**,col2.1	κοὐδεὶς
book 78c**,col2.2	παλαιῶν οὐδὲ τῶν νεωτέρω[ν ἑκὼν ἄπεστι τῶνδε διστοίχω[ν σὺ δ’ ἰσθμιάζεις καὶ πίτυος ἐστ[εμμένος[ln_40]κλάδοισι̣ κισσοῦ̣ δ’ ο̣ὐ̣δ[α]μοῦ τιμη[ ταῦτ’ οὖν δακρύσεις οὐ κ̣απνῶ[ι ⸐παρόντα δ’ ἐγγὺς οὐχ ὁρᾶ̣ι̣ς
book 78c**,col2.3	τα[ ἀλλ’ οὔποτ’ ἔξειμ’ ε[ τοῦ ἱεροῦ και
book 78c**,col2.4	τι μο.[[ln_45]ταῦτ’ ἀπειλεῖς ε.[ Ἴσθμιον αντε[ Ποσειδᾶνοσο[ ⸏σὺ δ’ ἄλλοις
book 78c**,col2.5	ταῦτ[..]εμπε[ ....[.]α̣ καινὰ ταῦτα μα̣[...]νειν
book 78c**,col2.6	φιλεῖ[ ἐγ̣ὼ [φέ]ρ̣ω
book 78c**,col2.7	σοι νεοχμὰ [....] ἀθύρματα̣ ἀπὸ [σκε]πάρνου κἄκμ[ονος ν]εόκτ[ιτα. ⸏τουτ[ὶ τὸ] πρῶτόν ἐστί σοι τ[ῶ]ν π̣αι̣γ̣[νίω]ν. ⸏ἐμοὶ μὲν οὐχί· τῶν φίλων νεῖμόν
book 78c**,col2.8	τι̣νι. ⸏μὴ ἄπειπε μηδ’ ὄρνιθος οὕνεκ’, ὠγαθέ, —[ln_55]⸏τί δὴ γανοῦσθαι
book 78c**,col2.9	τοῦτο; καὶ τί χρήσομαι; ⸏ἥνπερ μεθειλ[.. τὴ]ν τέχνην
book 78c**,col2.10	ταύτη̣[ι] π̣ρεπ̣[ ⸏τί δ’ ἀ̣ντιποιεῖν [...]τιπλουν μου[.]ανδαν[ ⸏ξυνισθμιάζειν [.....] ἐμμελέστατο̣ν. ⸏φέρω[ ca. 17 litt. ] ἐμβήσεται.
book 78c**,col2.1	[ln_60]ἐπισ̣[ ca. 17 litt. ]β̣άδην ἐλ[ᾶ]ι̣ς ..]ει̣[ ca. 19 litt. ]φ.ρ̣ων
book 78c**,col2.2	σφυρά ..]σε̣[[ln_62]...
book 78d**	...[ln_1][ ]δε.[ []ελφ[ [ ]τιπ̣[ [ ]δ.[[ln_4]...
book 79.1	καὶ μὴν
book 79.2	παλαιῶν τῶνδέ σοι
book 79.3	σκωπευμάτων
book 80	ἀποστάς (= φυγών)
book 81	ἰαμβίς
book 82	ῥύπου γε καὶ ψόθου (?)
book 83.1	[spk_〈αγγ.〉]〈ΑΓΓ.〉 τὸ ξίφος (sc. cui incumbebat Aiax) ἐκάμπτετο οὐδαμῇ ἐνδιδόντος
book 83.2	τοῦ χρωτὸς τῇ σφαγῇ, × – ⏑ τόξον ὥς
book 83.3	τις ἐντείνων ⏑ –, πρὶν δή τις
book 83.4	παροῦσα δαίμων ἔδειξεν αὐτῷ κατὰ ποῖον μέρος δεῖ χρήσασθαι[ln_5]τῇ σφαγῇ
book 84	τὸ συγκλινές τ’ ἐπ’ Αἴαντι
book 84a	τρόποι δ’ ἀμεμφεῖς, φιλόμουσοι, φιλοσυμπόται
book 85	ἄγαις
book 86.1	στέλλειν ὅπως τάχιστα· ταῦτα γὰρ
book 86.2	πατὴρ Ζεὺς ἐγκαθίει Λοξίᾳ θεσπίσματα
book 87	εὐφαμεῖτε μελισσονόμοι δόμον Ἀρτέμιδος πέλας οἴγειν
book 88	Κασωλάβα
book 90.1	βίου
book 90.2	πονηροῦ θάνατος εὐκλεέστερος
book 91.1	τὸν δ’ ἡμίοπον
book 91.2	ταχέως ὁ μέγας καταπίνει
book 92a*	μέγαν ἀλάστορον
book 93	ἱερεῖτιν
book 94	[ln_1]οὔτοι γυναιξὶ 〈–〉 κυδάζεσθαι. τί γάρ;
book 95	ὄρνιθα δ’ οὐ ποιῶ σε τῆς ἐμῆς ὁδοῦ
book 96*	μήποτε κρωσσοὺς μήτ’ οἰνηροὺς μήθ’ ὑδατηροὺς λείπειν ἀφνεοῖσι δόμοισι
book 96a	ξυμφορά (ἐπὶ ἀγαθοῦ)
book 97.1	[spk_〈χο]〈ΧΟ. (οἱ Κάβειροι
book 97.2	παίζοντες ἠπείλησαν Plut.)〉 ὄξους
book 97.3	σπανίζειν δῶμα (?)
book 98	[ln_1]Πανίας βήσσας
book 99**.1	[spk_〈ευρωπη·〉]〈ΕΥΡΩΠΗ·〉 ταύρῳ τε λειμὼν ξένια πάμβοτος πάρα. τοιόνδε μὲν Ζεὺς κλέμμα
book 99**.2	πρεσβύτου
book 99**.3	πατρὸς αὐτοῦ μένων ἄμοχθον ἤνυσεν λαβεῖν. τί οὖν; τὰ πολλὰ κεῖνα διὰ παύρων λέγω.[ln_5]γυνὴ θεῷ μειχθεῖσα
book 99**.4	παρθένου σέβας ἤμειψε, παίδων δ’ ἐζύγη ξυνάονι. καὶ τρὶς γοναῖσι
book 99**.5	τοὺς γυναικείους πόνους ἐκαρτέρης’ ἄρουρα, κοὐκ ἐμέμψατο
book 99**.6	τοῦ μὴ ’ξενεγκεῖν
book 99**.7	σπέρμα γενναῖον
book 99**.8	πατρός.[ln_10]ἐκ τῶν μεγίστων δ’ ἠρξάμην
book 99**.9	φυτευμάτων Μίνω
book 99**.10	τεκοῦσα ***[ln_12]Ῥαδάμανθυν, ὅσπερ ἄφθιτος
book 99**.11	παίδων ἐ̣μῶν. ἀλλ’ οὐκ ἐν αὐγαῖς
book 99**.12	ταῖς ἐμαῖς ζόη
book 99**.13	σφ’ ἔχει· τὸ μὴ παρὸν δὲ τέρψιν οὐκ ἔχει φίλοις.
book 99**.1	[ln_15]τρ̣ίτον δέ, τοῦ νῦν
book 99**.2	φροντίσιν
book 99**.3	χειμάζομαι, Σαρπηδόν’, αἰχμὴ μὴ ’ξ Ἄρεως καθίκετο. κ̣λέος γὰρ ἥκειν Ἑλλάδος λωτίσματα π̣ά̣σης, ὑπερφέροντας ἀλκίμῳ σθένει, α̣ὐχεῖν δὲ Τρώων ἄστυ
book 99**.4	πορθήσειν βίᾳ.[ln_20]πρὸς οὗ δέδοικα μή τι μαργαίνων δόρει ἀνυπέρβατον δράξῃ τε καὶ πάθῃ κακόν. λεπτὴ γὰρ ἐλπὶς ἠδ’ ἐπὶ ξυροῦ μένει μὴ πάντα
book 99**.5	παίσας’ ἐκχέω
book 99**.6	πρὸς ἕρματι
book 100.1	ἀλλ’ Ἄρης
book 100.2	φιλεῖ ἀεὶ τὰ λῷστα πάντ’ ἀπανθίζειν
book 100.3	στρατοῦ
book 101	Μύλασος
book 102.1	ἀμφωτίδες
book 102.2	τοι
book 102.3	τοῖς ἐνωτίοις πέλας
book 103	ἄμβωνες
book 104	ἀπεψύχη
book 105	ἀτίσεις
book 106	εὐληματεῖ
book 107*	ὄρον
book 108	στενόστομον τὸ τεῦχος (de amphora)
book 109.1	καὶ τῆς
book 109.2	σισύρνης τῆς λεοντέας ⏑ –
book 110	πυρσοκόρσου λέοντος
book 111	κακοποιεῖν
book 112	λογγάσω
book 113	νοσσόν
book 113a.1	μανόσπορος ὤφθη ὠχρόν, ὃ ἔσχατόν ἐστιν ..ε
book 113a.2	πλάνησ[
book 114	αὐτόφορβος
book 115	ζυγώσω
book 116.1	λευκοῖς
book 116.2	τε γὰρ μόροισι καὶ μελαγχίμοις καὶ μιλτοπρέπτοις βρίθεται (sc. ἡ βάτος) ταὐτοῦ χρόνου
book 117*	αὐτορέγμονος πότμου
book 118	πισσοκωνήτῳ πυρί
book 119	ἀτόπαστον
book 120	ἐπιξενοῦσθαι
book 121	ἀράχνου
book 122*	χυτρίζειν
book 123	[ln_1]ὁδοιπόρων δήλημα, χωρίτης δράκων
book 123a	ἀείζωος
book 123b	φαυνός
book 124.1	κἀκ τῶνδ’ ἔπινε βρῦτον ἰσχναίνων
book 124.2	χρόνῳ κἀσεμνοκόμπει
book 124.3	τοῦτ’ ἐν ἀνδρείᾳ τιθείς
book 125.1	καὶ τούσδε κημοὺς
book 125.2	στόματος 〈– × – ⏑ –?〉
book 126	ἄκουε δ’ ἀν’ οὖς ἔχων
book 127**.1	καὶ μὴν
book 127**.2	πελάζει καὶ καταψύχει
book 127**.3	πνοὴ ἄρκειος ὣς ναύτησιν ἀσκεύοις μολών
book 128*	χαλκὸν ἀθέρητον(?) ἀσπίδος 〈θ’〉 ὑπερτενῆ
book 129*.1	ξὺν δόρει
book 129*.2	στρατόν
book 130*	γονίας
book 131	⸤τάδε μὲν λεύσσεις, φαίδιμ’ Ἀχιλλεῦ,⸥ δοριλ⸤υμάντους Δαναῶν μόχθους,⸥ οὓς σὺ π̣⸤ροπιν εἴσω⸥ κλισία⸤ς[ln_5]οὕνε̣[ δηΐ.[ ηρ.[ τον̣[[ln_8]...
book 132	Φθιῶτ’ Ἀχιλλεῦ, τί ποτ’ ἀνδροδάικτον ἀκούων, ἰή, κόπον οὐ πελάθεις ἐπ’ ἀρωγάν;
book 132a**,2	...[ln_1][ ]..[ []ω̣λει.[ []κοτα [ [] [[ln_4](...)
book 132a**,3	...[ln_1][ ].[ []εν.[ [ ].[[ln_3]...
book 132a**,4,col1	[]ν.[.]φήσομεν̣ []εν̣ω̣ν κακανδρίαι [ ].α.αις ἄτερ δίκης [ ]αινεσω[ln_5][ ]..ησχεασ[ [ ].μερ̣ο̣ς̣ [ ]α [ ]η̣ν[[ln_8]...
book 132a**,4,col2	[ .[ ..[ στεν̣[[ln_5]ε̣πρ[ αβλ̣[ θ..[ ...
book 132a**,5	...[ln_1][]διο[ [ ]....[ [].μ̣μα.[ [ ]δον[[ln_5][ ].λλο[ [ ]η[[ln_6]...
book 132a**,6	...[ln_1][]..[ [ ]π̣ρα.[ [ ]κ̣ρο[ [ ]ρ.[[ln_4]...
book 132a**,7	...[ln_1][ ]..[ [].υδ[ [ ].ν[[ln_3]...
book 132a**,8.1	[ ]σδ’ ἀνόνητον [] διαφθορά̣ς [].ασσεις [].ν ἄνα̣ξ̣ Ἀ̣χ̣ιλλεῦ[ln_5][]λ̣λανα μὴ π̣ρ̣οδῷς σ̣[ [ ]φιστονως ζε]ύγνυται μελα[ [ ]ν
book 132a**,8.2	φράσαι .ελ̣[ [ ]ν̣εδ.[[ln_10][ ]ο̣ρτ.[[ln_10]...
book 132a**,9	...[ln_1][ ]ν [ ] [ ]πτως [ ]ον[ln_5][].τις [].ρι [ ]...[[ln_7]...
book 132b**	...
book 132b**	[ln_1][spk_〈φοι.〉]〈ΦΟΙ.〉 ].[ [ ]τι.α.ωγε.|...[ [ ]. ἐπῳδὴν |ο|ὐκ ἔχω̣ σο[ [ ]π̣εσεισαπ|α|σαν̣ ἡνίαν̣ [
book 132b**.1	[ln_5][spk_〈αχ.〉][ ].. δ’ Ἀχιλ̣λ̣εῦ |π|ρᾶσς’ ὅπῃ [ 〈ΑΧ.〉 Φοῖ]νιξ γεραιέ, τῶν | ἐμῶν
book 132b**.2	φρε[νῶν
book 132b**.3	πολ]λ̣ῶν ἀκούων |δ|υσ̣τ̣όμων λ[ πάλ]αι
book 132b**.4	σιωπῶ κο̣ὐ̣δ|εν̣ [.]σ̣τ̣.μ[ [ ] ἀντέλεξα. σὲ δε.|[..]α̣ξιωτ̣[
book 132c**.1	〈ΑΧ.〉 λ̣εύσουσι
book 132c**.2	τοὐμὸν σῶμα· μὴ δόκει
book 132c**.3	ποτὲ π̣έτρ[ο]ις καταξα̣νθέντα
book 132c**.4	Πηλέως γόνον ...]..[.].(.)ησειν
book 132c**.5	Τρωϊκὴν ἀνὰ χθόνα ..]η̣μένοισι
book 132c**.6	Τρωσὶ τὴν ἄ[ν]ε̣υ δορ̣ὸ̣ς[ln_5]...]. γένοιτ’ ἂν εὐπετεστερ̣.. λ̣εχους ...] τοῦτο δή, βροτοῖσιν ἰατρὸν πόνων· ....]ιδ’ Ἀχαιῶν
book 132c**.7	χεῖρ’ ἐφορμήσω δορὶ ...]ωσαν ὀρ̣γῇ ποιμένος κακοῦ διαὶ ....]περ εἷς ὤν, ὡς λέγουσι σύμμαχοι[ln_10].....]ν
book 132c**.8	τοσαύτην ἔκτις’ οὐ παρὼν μάχῃ .....]μ’ ἐγὼ τὰ πάντ’ Ἀχαιϊκῷ στρατῷ .....].’ ἀφεῖναι
book 132c**.9	τοὖπος οὐκ αἰδώς μ’ ἔχει ......] τ̣οιούτ[ο]υ̣ς̣ εὐγενεστέρους ἐμοῦ ......]ν̣...οι καὶ στρατοῦ τὰ β̣έ̣λ̣τ̣ατα·
book 132c**.1	[ln_15]......]..[..].. ὑμᾶς εἷς ἀνὴρ ἠ[ι]κί̣ζετο ......].αράσσων καὶ πο̣λυσκεδεῖς σ̣υ̣θε̣ὶς ......]α̣ τεύχ̣[η π]ερὶ νέοις βραχ[ίο]σ̣ιν ......].ε̣υ.[..]..δ̣ε †πανθίμων̣† στρατὸν [ ]...[..]ων εὐμαρῶς ἐ̣τρ̣[έ]ψατο̣·[ln_20][ ]..[.].δ..ς
book 132c**.2	προδοσίαν̣ ...[.]μ̣εμοι· [ ].[. ἄ]ν̣δρα τόνδ’ α...[...]θ̣ανεῖν· [ ]..α[ ca. 1311. ]..[..]ν [ ]οισε̣[..].ι̣δο̣υ̣σ̣ι̣ν̣..ο̣στ̣[.]μ̣.ν [ ].ικα..νηστρ[.]τ̣..[[ln_25][ ] τόνδ’ ἀπολλυ...[..]...ν [ ]ας εἶπον οὐ̣ ψευ̣δ̣ῆ̣ λ̣έ̣γ̣ω̣ν̣ [ ]οι τόνδ’ ἀπ̣οφθερεῖ̣ στρατὸν [ ]η̣νισως ὁρᾶν πάρα· [ ].(.)κατ....ουμένην[ln_30][ ]φ̣α̣νῶς κατήγορο̣ς̣ [ ].. ἐλε[ύ]θερον λέγεις [ ]... εὐτυ̣χεστερα [ ].α.. ο̣ὐ̣δεῖς
book 132c**.3	φρονεῖ [ ο]ὐ̣δαμῶς
book 132c**.4	πρέ̣π̣ει τόδ̣ε[ln_35][ ]..αι διαλ̣[λα]γαὶ [ ]υχω μειλί[γ]ματι
book 133	δεκέμβολος (sc. navis Nestoris)
book 134.1	†ἀπὸ δ’ αὖτε† ξουθὸς ἱππαλεκτρυὼν
book 134.2	στάζει †κηρόθεν τῶν† φαρμάκων
book 134.3	πολὺς πόνος
book 135.1	σέβας δὲ μηρῶν ἁγνὸν οὐκ ἐπῃδέσω, ὦ δυσχάριστε τῶν
book 135.2	πυκνῶν
book 135.3	φιλημάτων
book 136**.1	[spk_αχ]ΑΧ. (ad Patroclum mortuum) μηρῶν
book 136**.2	τε τῶν σῶν εὐσεβὴς ὁμιλία †καλλίω†
book 137	[spk_〈αχ.〉]〈ΑΧ.〉 καὶ μήν, φιλῶ γάρ, ἀβδέλυκτ’ ἐμοὶ τάδε
book 138.1	〈ΑΧ.〉 Ἀντίλοχ’, ἀποίμωξόν με
book 138.2	τοῦ τεθνηκότος τὸν ζῶντα μᾶλλον· τἀμὰ γὰρ διοίχεται
book 139.1	ὧδ’ ἐστὶ μύθων τῶν Λιβυστικῶν κλέος, πληγέντ’ ἀτράκτῳ τοξικῷ τὸν αἰετὸν εἰπεῖν ἰδόντα μηχανὴν
book 139.2	πτερώματος· ‘τάδ’ οὐχ ὑπ’ ἄλλων, ἀλλὰ τοῖς αὑτῶν
book 139.3	πτεροῖς[ln_5]ἁλισκόμεσθα‘
book 140	ὅπλων ὅπλων δεῖ
book 141	ἀγρεμόνα (= τὸν ἐπιμήνιον)
book 142	ἐγκουράδι vel ἐν κουράδι
book 143*	ἰὼ Κάικε Μύσιαί τ’ ἐπιρροαί
book 144.1	ποταμοῦ Καΐκου
book 144.2	χαῖρε
book 144.3	πρῶτος ὀργεών, εὐχαῖς δὲ σῴζοις δεσπότας
book 144.4	παιωνίαις
book 144a	εἶδον καλπάζοντας ἐν αἰχμαῖς
book 145	Οἶος
book 146.1	αὔρας ὑπηκόοισιν ἐν
book 146.2	ψυκτηρίοις
book 146a	πρὸς δ’ ἐπὶ τοῖς ἀμφιλαφῆ πήματ’ ἔχων ἀθανάτων
book 146b	καὶ καρτερὸς γὰρ καὶ ⏑ – ἀρείφατος
book 147(?)	ἀρείφατον λῆμα
book 148	ἀφοίβατον (= ἀκάθαρτον)
book 149	Ὀκτώπας (fluvius)
book 150.1	δελφινηρὸν
book 150.2	πεδίον πόντου διαμειψάμεναι
book 151	ἐναροκτάντας δὲ †φθογγ[...]κότος† ὑψοῦ τέλος ἀθανάτων ἀπολείψει
book 152	κάμακος †εἶσι κάμακος† γλώσσημα †διπλάσιον†
book 153.1	λεπτὸς δὲ σινδὼν ἀμφιβαλλέσθω
book 153.2	χροΐ
book 154	ἀθήρ (= ἐπιδορατίς)
book 154a.1	ο]ὐ̣δὲν εἰ μὴ πατέρ’ ἀναστενά̣ζ̣ε[ται τὸν ] δ̣όντα καὶ φύσαντ̣α, Ταντάλου β[ίαν, εἰς οἷ]ο̣ν ἐξώκειλεν ἀλ̣ίμενον γάμ̣ον. [ ]ς κακοῦ γὰρ
book 154a.2	πνεῦ̣μα
book 154a.3	προσβ[....].δο[[ln_5][ ]δ’ ὁρᾶτε
book 154a.4	τοὐπι[τ]έ̣ρ̣μιον γάμ̣ου
book 154a.5	τριταῖ]ον ἦμαρ τόνδ’ ἐφημένη τάφον τέκν⸥οις ἐπῴζει – ⏑ τοῖς
book 154a.6	τεθνηκόσιν [ ]υ̣σα τὴν τάλαιναν εὔμορφον
book 154a.7	φυήν [ ]ς κακωθεὶς δ’ οὐδὲν ἄλλ’ ε[ἰ] μὴ σ̣κ̣ι̣ά̣[ln_10][ ] μὲν ἥξει δεῦρο
book 154a.8	Ταντάλου βία [ ]κόμιστρα τῆσδε καὶ πεφα̣[.....]ν̣ [ ]δε μῆνιν τίνα φέρων Ἀμ̣φίονι [ ].ον αἰ̣κῶς ἐξεφύλλασεν γέ̣ν̣ο̣ς̣ [ ]ος ὑμᾶς· οὐ γάρ ἐ̣σ̣τε δύσφρονε[ς[ln_15][ ] θεὸς μὲν αἰτίαν φύει β⸤ροτοῖς, ὅταν κα⸥κῶσαι δῶμα
book 154a.9	παμπήδη⸤ν θέλῃ [ ]ε θνητὸν ὄντα
book 154a.10	χρὴ τὸν .[ [ π]εριστέλλοντα μὴ θρασυστομ[εῖν [ ] εὖ πράσσοντες οὔποτ’ ἤλ̣πισα[ν[ln_20][ ]ν̣τες ἐκχεῖν ἣν ἔχωσ[ [ γ]ὰ̣ρ ἐξα̣ρθεῖσα [κ]αλλισ̣[τ [ ]..[[ln_22]...
book 155.1	Ἴστρος
book 155.2	τοιαύτας
book 155.3	παρθένους ἐξεύχεται
book 155.4	τρέφειν ὅ θ’ ἁγνὸς Φᾶσις
book 157a**.1	τί δαὶ σὺ θάσσεις τάσδε
book 157a**.2	τυμβήρεις ἕδρας φάρει καλυπτόσ(, ὦ ξένη?);
book 158.1	[spk_τανταλος]ΤΑΝΤΑΛΟΣ· σπείρω δ’ ἄρουραν δώδεχ’ ἡμερῶν ὁδόν, Βερέκυντα χῶρον, ἔνθ’ Ἀδραστείας ἕδος Ἴδη
book 158.2	τε μυκηθμοῖσι καὶ βρυχήμασιν[ln_5]βρέμουσι μήλων, πᾶν δ’ †ἐρέχθει† πέδον
book 159.1	ΤΑΝΤΑΛΟΣ· θυμός
book 159.2	ποθ’ ἁμὸς οὐρανῷ κυρῶν ἄνω ἔραζε πίπτει καί με
book 159.3	προσφωνεῖ τάδε· ‘γίγνωσκε τἀνθρώπεια μὴ σέβειν ἄγαν‘
book 160	× – μέλαθρα καὶ δόμους Ἀμφίονος καταιθαλώσ(ω) πυρφόροισιν αἰετοῖς
book 161.1	μόνος θεῶν γὰρ Θάνατος οὐ δώρων ἐρᾷ, οὐδ’ ἄν
book 161.2	τι θύων οὐδ’ ἐπισπένδων ἄνοις, οὐδ’ ἔστι βωμὸς οὐδὲ παιωνίζεται· μόνου δὲ Πειθὼ δαιμόνων ἀποστατεῖ
book 162.1	[spk_νιοβη]ΝΙΟΒΗ· οἱ θεῶν ἀγχίσποροι, 〈οἱ〉 Ζηνὸς ἐγγύς, ὧν κατ’ Ἰδαῖον πάγον Διὸς
book 162.2	πατρῴου βωμός ἐστ’ ἐν αἰθέρι,[ln_5]κοὔ πώ σφιν ἐξίτηλον αἷμα δαιμόνων
book 163	ΝΙΟΒΗ· Σίπυλον Ἰδαίαν ἀνὰ χθόν(α)
book 164(?).1	†σοφοῖς *ἐστι γὰρ
book 164(?).2	πρὸς
book 164(?).3	σοφοὺς ἐπιτήδεια†
book 164a	αὐλῶνες (οἱ ἐπ’ εὐθείας τόποι)
book 165	ἠμορίς
book 166	κάκαλα
book 167**	κραταίλεως (sc. Nioba)
book 167a**	νοβακκίζειν?
book 168**.1	...[ln_1][ ]..[.]..[ [ ]ραιν’ ἀλοιφᾷ [ ]δ’ οὐ πλέον Ἥρας [ ]υπεροπλότεροι[ln_5]...]..[..]θ̣ε̣κ̣.....γνύμεναι ⸏.π̣ω̣θ̣ό̣νειρα[ ca. 6 litt. ]θ̣η̣.[ μένο..εω̣ν.[ca. 5 litt.]ό̣σ̣ιμος βιοτά· φιλο.σιν ἐν μ.κεσι.ι̣στις
book 168**.2	φθονερ[ δόξα τ’ ἀεικής. [Σ]εμ̣έλας δ’ ε[[ln_10]χ̣όμεθ̣’ εἶναι διὰ πᾶν ⸏εὐθύπορον λα[ τὰ γὰρ ἄλλα τάδ’[ Κάδμῳ Σεμέ̣[λα ..παντοκρα[τ
book 168**.1	[ln_15][spk_⸤]⸏Ζ̣ηνί, γάμων δ[ ⸤ΗΡΑ·⸥ νύμφα̣ι ναμερτεῖς κ[.......]ι̣αισιν ἀγείρ⸤ω Ἰ̣ν̣άχου Ἀργείου
book 168**.2	ποταμοῦ παισὶν βιοδώροι⸤ς, αἵτε π̣αρίστανται πᾶσιν βροτέοισιν̣ ἐπ’ ἔργ̣[οις ε.[ ca. 14 litt. ]τ̣ε̣ κα̣ὶ̣ εὐμόλποις ὑμ[εναίοις[ln_20]και τ[ ca. 13 litt. ν]εολέκτρους ἀρτιγάμ̣[ λευκο.[ ca. 13 litt. ]μ̣μασιν ε[ὔ]φρονεσ[ φῶς δεκ[ ca. 14 litt. ]περ ὄμματος εστ̣[ αἰδὼς γὰρ καθαρὰ καὶ ν[υ]μφο̣κ̣όμ̣ος μέ[γ]’ ἀρ̣ί̣[στα
book 168**.3	παίδων δ’ εὔκαρπον
book 168**.4	τε[λ]έ̣θει γένος, οἷσ[[ln_25]ἵλαοι ἀντιάσουσι μελίφ[ρον]α̣ θ̣υ̣μ̣ὸ̣ν ἐ̣χ̣[ ἀ̣μφότεραι σύμεναι μ[ τ̣ραχεῖαι
book 168**.5	στυγεραί τε καὶ̣ [ ἀ]γ̣χίμολοι· πολλὰς μεν[ .....]γον εὐναίου
book 168**.6	φωτὸ̣[ς[ln_30].....]ε̣λ̣α̣σιν
book 168**.7	τε μίτραισ[
book 168a**	...[ln_1][ ]ωσ[.]ο.[ μέ]μφομα[ι [ ]λλαδιο.[ [ ]φρεσίν, ε̣[[ln_5][]δαιμων[ []ιρετεμ̣ε[ .]..ηνος δ[ εὔκλει̣[ά]ν θ’[ Κάδμου̣ τ̣’ ἀ.[[ln_9]...
